motion_summary,family,scale_id,latent,k,incremental_gain_neg_mse,ci95_low,ci95_high,n_images,n_sessions,scale
temporal_pca,brownian,rel_0p25x,gabor_local_field,4,3.787227955188799,0.2518253062338349,8.119796390551343,256,29,0.25
temporal_pca,brownian,rel_0p5x,gabor_local_field,4,5.1474964122993,0.4706585685939616,10.298789512135391,256,29,0.5
temporal_pca,brownian,rel_1x,gabor_local_field,4,8.587425380713999,3.504582604251461,14.528982113131493,256,29,1.0
temporal_pca,brownian,rel_1p5x,gabor_local_field,4,9.834591624999687,3.995357682619303,17.237923716393762,256,29,1.5
temporal_pca,brownian,rel_2x,gabor_local_field,4,9.67270794246367,3.4276706280885554,17.129796623859985,256,29,2.0
temporal_pca,empirical,rel_0p25x,gabor_local_field,4,14.305929320271584,7.446084327557616,21.788073353065744,256,29,0.25
temporal_pca,empirical,rel_0p5x,gabor_local_field,4,13.03818160837193,6.809148114465866,20.89003190672729,256,29,0.5
temporal_pca,empirical,rel_1x,gabor_local_field,4,9.099036239287406,3.7339753154792334,14.857783467760608,256,29,1.0
temporal_pca,empirical,rel_1p5x,gabor_local_field,4,9.980703713474838,5.359842478028976,15.87391976537507,256,29,1.5
temporal_pca,empirical,rel_2x,gabor_local_field,4,9.070732396181285,3.870926330194972,15.734230227383096,256,29,2.0
temporal_pca,ou,rel_0p25x,gabor_local_field,4,-6.93800627001653,-11.584398629466676,-1.758568577113553,256,29,0.25
temporal_pca,ou,rel_0p5x,gabor_local_field,4,-6.551701890135266,-12.700333945203717,-1.003665693100152,256,29,0.5
temporal_pca,ou,rel_1x,gabor_local_field,4,-8.060950530427755,-13.404907900150391,-2.894372458586315,256,29,1.0
temporal_pca,ou,rel_1p5x,gabor_local_field,4,-8.713806410048962,-12.674210552736469,-4.596680467004404,256,29,1.5
temporal_pca,ou,rel_2x,gabor_local_field,4,-8.963322386720815,-13.248327459950742,-5.2282878437525735,256,29,2.0
temporal_pca,rotated,rel_0p25x,gabor_local_field,4,-0.9593006738468516,-7.875961939364051,5.162416774860231,256,29,0.25
temporal_pca,rotated,rel_0p5x,gabor_local_field,4,1.8290128057722064,-2.911639166694713,6.250935992575418,256,29,0.5
temporal_pca,rotated,rel_1x,gabor_local_field,4,3.4645994337940507,-1.874665368473708,8.982431407943167,256,29,1.0
temporal_pca,rotated,rel_1p5x,gabor_local_field,4,1.4001269320690892,-3.256770547641717,6.530335303660827,256,29,1.5
temporal_pca,rotated,rel_2x,gabor_local_field,4,1.5209830335342815,-3.1444837148443154,6.340224218058285,256,29,2.0
