decoder_mode,latent,feature_space_mode,contrast,lhs,rhs,observation_scale,prior_family,mean_feature_cosine_delta,ci_low,ci_high,fraction_positive,n
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,0.5,all,0.009766760010894472,-0.014847977433430519,0.03622811029803265,0.5078125,256
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,0.5,all,0.010583699190150541,-0.007627748340241971,0.027641147210704493,0.546875,256
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,0.5,all,0.01298329290337831,-0.014058287766487048,0.04095887982245843,0.5234375,256
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,0.5,all,0.018066640520989184,-0.01105598566981254,0.04669975725754625,0.5390625,256
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,1.0,all,0.02536864234243169,0.0006211505883556393,0.05136595664909767,0.5234375,256
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,1.0,all,0.0009361597474242078,-0.017848769984652433,0.0182134758278503,0.5078125,256
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,1.0,all,0.028048208938412783,0.0021102046230436046,0.053920006510490545,0.515625,256
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,1.0,all,0.028706838908044326,0.0015147283488514019,0.05489636708852019,0.515625,256
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,2.0,all,0.027715272359555388,-0.0008450738312198278,0.05611882192379103,0.546875,256
linear_gaussian,pyramid_local_field,fold_zscore_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,2.0,all,-0.0036773192201718704,-0.022818860696529466,0.014858104225781718,0.4609375,256
linear_gaussian,pyramid_local_field,fold_zscore_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,2.0,all,0.029089047061809432,0.0035621416641699374,0.05510006616559915,0.5390625,256
linear_gaussian,pyramid_local_field,global_centered_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,2.0,all,0.02068767596452917,-0.008877871860884127,0.0474468538361142,0.5625,256
linear_gaussian,pyramid_local_field,fold_centered_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,all,all,0.02095022490429385,0.006482689728158845,0.035766996969042814,0.5260416666666666,768
