decoder_mode,latent,feature_space_mode,contrast,lhs,rhs,observation_scale,prior_family,mean_feature_cosine_delta,ci_low,ci_high,fraction_positive,n
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,0.5,all,-0.1239437913348351,-0.16309696820840713,-0.08621948976168829,0.3828125,256
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,1.0,all,-0.10940681600911256,-0.1512747561486212,-0.06925767860643078,0.4453125,256
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,2.0,all,-0.11245474496393319,-0.1527486283838738,-0.0734602690277054,0.4375,256
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_minus_hidden,known_eye,hidden_eye_tau_marginal,all,all,-0.11526845076929364,-0.13744616264905865,-0.09187057342163898,0.421875,768
mlp,pyramid_local_field,fold_zscore_whitened_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,0.5,all,0.13904199712197077,0.09652940710886666,0.18063788951692925,0.609375,256
mlp,pyramid_local_field,fold_zscore_whitened_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,1.0,all,0.1589510895279905,0.11588586664242931,0.20209673335195277,0.609375,256
mlp,pyramid_local_field,fold_zscore_whitened_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,2.0,all,0.19917072156517446,0.15526156131512692,0.24437952866499904,0.6796875,256
mlp,pyramid_local_field,fold_zscore_whitened_pca,hidden_minus_zero_eye_model,hidden_eye_tau_marginal,zero_eye_on_motion,all,all,0.16572126940504525,0.14222252565491045,0.1912018168214885,0.6328125,768
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,0.5,all,0.015098205787135666,-0.020759276336963867,0.051919844701149506,0.4921875,256
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,1.0,all,0.04954427351887795,0.01433499341296877,0.08601204991576948,0.5859375,256
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,2.0,all,0.08671597660124124,0.048643486446021976,0.12229816152890984,0.640625,256
mlp,pyramid_local_field,fold_zscore_whitened_pca,known_minus_zero_eye_model,known_eye,zero_eye_on_motion,all,all,0.05045281863575161,0.02858197619837847,0.07131257807577486,0.5729166666666666,768
