decoder_mode,observer_mode,observer_label,train_bank,test_input,latent,feature_space_mode,fold,n_fit_sources,n_test_rows,feature_dim,raw_feature_dim,response_dim,feature_fit_scope,feature_preprocessing,feature_whitened,feature_weighted,feature_variance_fraction,interpretation,n_train_samples,ridge,noise_variance,response_map_fro_norm,posterior_gain_fro_norm,mlp_hidden_dim,mlp_layers,mlp_dropout,mlp_learning_rate,mlp_weight_decay,mlp_batch_size,mlp_epochs_requested,mlp_epochs_trained,mlp_best_epoch,mlp_best_val_loss,mlp_final_train_loss,mlp_final_val_loss,mlp_n_fit_rows,mlp_n_val_rows,mlp_device,target_standardized_for_training,response_standardized_for_training
mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,0,102,156,32,3072,800,fold,zscore,True,False,0.6515567488573997,Feature posterior from measured-motion response family.,2478,,,,,512,4,0.0,0.001,1e-05,512,300,41,0,0.794411838054657,0.014588064514100552,0.9412519931793213,2082,396,cuda,True,True
mlp,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_whitened_pca,0,102,156,32,3072,800,fold,zscore,True,False,0.6515567488573997,Feature posterior after treating trajectory as nuisance variation.,39648,,,,,512,4,0.0,0.001,1e-05,512,300,74,33,1.047881841659546,0.0038093796483735787,1.090145230293274,32352,7296,cuda,True,True
mlp,zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,fold_zscore_whitened_pca,0,102,156,32,3072,800,fold,zscore,True,False,0.6515567488573997,Zero-eye response model applied to moving-response observations.,2478,,,,,512,4,0.0,0.001,1e-05,512,300,41,0,1.1706547737121582,0.002569243824109435,1.3367186784744263,2058,420,cuda,True,True
mlp,zero_static,0x stabilized,zero,zero_static,pyramid_local_field,fold_zscore_whitened_pca,0,102,156,32,3072,800,fold,zscore,True,False,0.6515567488573997,Stabilized 0x counterfactual response and zero-eye response model.,2478,,,,,512,4,0.0,0.001,1e-05,512,300,47,6,0.9293825626373291,0.00022978668130235747,0.9437481760978699,2010,468,cuda,True,True
mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,1,102,156,32,3072,800,fold,zscore,True,False,0.6529153585020098,Feature posterior from measured-motion response family.,2436,,,,,512,4,0.0,0.001,1e-05,512,300,41,0,1.118162751197815,0.004811399965547025,1.1901707649230957,1920,516,cuda,True,True
mlp,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_whitened_pca,1,102,156,32,3072,800,fold,zscore,True,False,0.6529153585020098,Feature posterior after treating trajectory as nuisance variation.,38976,,,,,512,4,0.0,0.001,1e-05,512,300,81,40,0.7370560169219971,0.001341619441995672,0.7503716349601746,31200,7776,cuda,True,True
mlp,zero_eye_on_motion,zero-eye model,zero,observed,pyramid_local_field,fold_zscore_whitened_pca,1,102,156,32,3072,800,fold,zscore,True,False,0.6529153585020098,Zero-eye response model applied to moving-response observations.,2436,,,,,512,4,0.0,0.001,1e-05,512,300,41,0,1.3224085569381714,0.0003854965907521546,1.7850611209869385,1932,504,cuda,True,True
mlp,zero_static,0x stabilized,zero,zero_static,pyramid_local_field,fold_zscore_whitened_pca,1,102,156,32,3072,800,fold,zscore,True,False,0.6529153585020098,Stabilized 0x counterfactual response and zero-eye response model.,2436,,,,,512,4,0.0,0.001,1e-05,512,300,41,0,1.3442901372909546,0.0030469674384221435,1.5845106840133667,1980,456,cuda,True,True
mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,2,102,156,32,3072,800,fold,zscore,True,False,0.6448650654842578,Feature posterior from measured-motion response family.,2454,,,,,512,4,0.0,0.001,1e-05,512,300,300,289,0.9638230800628662,0.0005005359998904169,0.9699572324752808,2010,444,cuda,True,True
mlp,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_whitened_pca,2,102,156,32,3072,800,fold,zscore,True,False,0.6448650654842578,Feature posterior after treating trajectory as nuisance variation.,39264,,,,,512,4,0.0,0.001,1e-05,512,300,78,37,0.6814751029014587,0.003225291392300278,0.7364075779914856,30720,8544,cuda,True,True
