table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,observation_scale,axis_catalog_mode,n_candidates,n_prior_trajectories,n_timebins,n_units,true_candidate_index,true_source_row,true_candidate_id,decoder_mode,observer_mode,observer_label,train_bank,test_input,latent,feature_space_mode,feature_fit_scope,feature_preprocessing,feature_whitened,feature_weighted,feature_variance_fraction,fold,n_train_samples,n_fit_sources,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,25,source_row:25,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,0.9812590045565013,-0.9812590045565013,0.9905851828876209,2.8017980006510124,0.013608429585181015,2.298875268440312,1.6332276612488443
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,25,source_row:25,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,0.9812590045565013,-0.9812590045565013,0.9905851828876209,2.8017980006510124,0.013608429585181015,2.298875268440312,1.6332276612488443
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,25,source_row:25,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,1.0115428072006798,-1.0115428072006798,1.005754844482829,2.84470428298012,-0.014253442298237398,2.298875268440312,1.6431175451620563
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,25,source_row:25,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,1.0115428072006798,-1.0115428072006798,1.005754844482829,2.84470428298012,-0.014253442298237398,2.298875268440312,1.6431175451620563
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,25,source_row:25,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,0.7870067783143355,-0.7870067783143355,0.8871340250009214,2.509193939597871,0.15476021741579254,2.298875268440312,1.4224525397365322
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,25,source_row:25,mlp,known_eye,known eye,known,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,26,127,0.7870067783143355,-0.7870067783143355,0.8871340250009214,2.509193939597871,0.15476021741579254,2.298875268440312,1.4224525397365322
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,25,source_row:25,mlp,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,416,127,0.9811465410029133,-0.9811465410029133,0.9905284150406354,2.801637436932785,-0.09084648237075459,2.298875268440312,1.4060735171801406
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,25,source_row:25,mlp,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,416,127,0.9811465410029133,-0.9811465410029133,0.9905284150406354,2.801637436932785,-0.09084648237075459,2.298875268440312,1.4060735171801406
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,25,source_row:25,mlp,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,416,127,0.9851585362384193,-0.9851585362384193,0.9925515282535307,2.8073596652205706,-0.07511159122822444,2.298875268440312,1.4479007043239223
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,25,source_row:25,mlp,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,fold_zscore_whitened_pca,fold,zscore,True,False,0.26795841605859516,0,416,127,0.9851585362384193,-0.9851585362384193,0.9925515282535307,2.8073596652205706,-0.07511159122822444,2.298875268440312,1.4479007043239223
