table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,observation_scale,axis_catalog_mode,n_candidates,n_prior_trajectories,n_timebins,n_units,true_candidate_index,true_source_row,true_candidate_id,observer_mode,observer_label,train_bank,test_input,latent,feature_space_mode,feature_fit_scope,feature_preprocessing,feature_whitened,feature_weighted,feature_variance_fraction,fold,n_train_samples,n_fit_sources,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,25,source_row:25,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,5.509080759417836,-5.509080759417836,2.347143105866755,6.638723226294548,0.7890176739401807,3.7174380186666656,9.166624022030932
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,25,source_row:25,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,5.509080759417836,-5.509080759417836,2.347143105866755,6.638723226294548,0.7890176739401807,3.7174380186666656,9.166624022030932
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,25,source_row:25,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,0.5118966361884687,-0.5118966361884687,0.7154695214951289,2.023653401526,0.8395553719462795,3.7174380186666656,3.2492051272503586
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,25,source_row:25,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,0.5118966361884687,-0.5118966361884687,0.7154695214951289,2.023653401526,0.8395553719462795,3.7174380186666656,3.2492051272503586
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,25,source_row:25,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,3.5183180320598,-3.5183180320598,1.8757180044078587,5.305331682041982,-0.5143369354613848,3.7174380186666656,2.3286213950614902
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,25,source_row:25,known_eye,known eye,known,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,26,128,3.5183180320598,-3.5183180320598,1.8757180044078587,5.305331682041982,-0.5143369354613848,3.7174380186666656,2.3286213950614902
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,416,128,2.260533456093679,-2.260533456093679,1.5035070522261207,4.252560128763546,0.12818038410449162,3.7174380186666656,2.595931090388029
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,416,128,2.260533456093679,-2.260533456093679,1.5035070522261207,4.252560128763546,0.12818038410449162,3.7174380186666656,2.595931090388029
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,416,128,1.5081378395093141,-1.5081378395093141,1.2280626366392369,3.4734856723577416,0.3603995598103418,3.7174380186666656,1.5415605926218605
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,pyramid_local_field,global_centered_whitened_pca,global,centered,True,False,0.40020061763128495,0,416,128,1.5081378395093141,-1.5081378395093141,1.2280626366392369,3.4734856723577416,0.3603995598103418,3.7174380186666656,1.5415605926218605
