observer_mode,observer_label,observation_scale,prior_family,n,mean_feature_cosine,median_feature_cosine,mean_feature_mse,median_feature_mse,mean_feature_rmse,median_feature_pred_norm,median_feature_true_norm
hidden_eye_prior_mean,prior mean,0.5,axis_edge_orthogonal,4,0.06590928939172731,0.06248802456956307,2.944322883082671,2.4943309500190773,1.6668654264575196,7.623934058218161,5.076420722054129
hidden_eye_tau_marginal,hidden eye,0.5,axis_edge_orthogonal,4,0.03788931928938038,0.016975352848421194,1.9279849165334826,1.8336748101087135,1.367875444634791,6.207249541649771,5.076420722054129
known_eye,known eye,0.5,axis_edge_orthogonal,4,0.29852599796087287,0.33877743784359865,1.1390666745908162,1.1999919182516532,1.0541853051810308,5.219127870462843,5.076420722054129
zero_eye_on_motion,zero-eye model,0.5,axis_edge_orthogonal,4,0.1496419368077118,0.22335848183474666,39.27199791792701,10.640106897081786,5.112789746205001,18.769952215705743,5.076420722054129
zero_static,0x stabilized,0.5,axis_edge_orthogonal,4,0.2116730365807409,0.15974396074052916,3.7075218554709313,3.9270791553333675,1.8773254924325782,9.88197195692139,5.076420722054129
hidden_eye_prior_mean,prior mean,0.5,axis_edge_parallel,4,0.06590928939172731,0.06248802456956307,2.944322883082671,2.4943309500190773,1.6668654264575196,7.623934058218161,5.076420722054129
hidden_eye_tau_marginal,hidden eye,0.5,axis_edge_parallel,4,0.03788931928938038,0.016975352848421194,1.9279849165334826,1.8336748101087135,1.367875444634791,6.207249541649771,5.076420722054129
known_eye,known eye,0.5,axis_edge_parallel,4,0.29852599796087287,0.33877743784359865,1.1390666745908162,1.1999919182516532,1.0541853051810308,5.219127870462843,5.076420722054129
zero_eye_on_motion,zero-eye model,0.5,axis_edge_parallel,4,0.1496419368077118,0.22335848183474666,39.27199791792701,10.640106897081786,5.112789746205001,18.769952215705743,5.076420722054129
zero_static,0x stabilized,0.5,axis_edge_parallel,4,0.2116730365807409,0.15974396074052916,3.7075218554709313,3.9270791553333675,1.8773254924325782,9.88197195692139,5.076420722054129
hidden_eye_prior_mean,prior mean,1.0,axis_edge_orthogonal,4,0.10427903178993314,0.1217586578383541,2.748532732285433,2.204654517092351,1.60364994847846,7.040990756911368,5.076420722054129
hidden_eye_tau_marginal,hidden eye,1.0,axis_edge_orthogonal,4,0.07502782499033749,0.0577192223930095,1.7146336073191994,1.7505597942130178,1.2917577545156236,5.5499411778585195,5.076420722054129
known_eye,known eye,1.0,axis_edge_orthogonal,4,0.29081627260070936,0.26750038781711816,1.1835251212251887,1.2609185121447175,1.0695662041254916,4.497294940157797,5.076420722054129
zero_eye_on_motion,zero-eye model,1.0,axis_edge_orthogonal,4,0.13060030376636156,0.21795139293945381,65.66153862113367,47.31893854700313,7.839585662500059,39.50515673647098,5.076420722054129
zero_static,0x stabilized,1.0,axis_edge_orthogonal,4,0.2116730365807409,0.15974396074052916,3.7075218554709313,3.9270791553333675,1.8773254924325782,9.88197195692139,5.076420722054129
hidden_eye_prior_mean,prior mean,1.0,axis_edge_parallel,4,0.10427903178993314,0.1217586578383541,2.748532732285433,2.204654517092351,1.60364994847846,7.040990756911368,5.076420722054129
hidden_eye_tau_marginal,hidden eye,1.0,axis_edge_parallel,4,0.07502782499033749,0.0577192223930095,1.7146336073191994,1.7505597942130178,1.2917577545156236,5.5499411778585195,5.076420722054129
