table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,observation_scale,axis_catalog_mode,n_candidates,n_prior_trajectories,n_timebins,n_units,true_candidate_index,true_source_row,true_candidate_id,observer_mode,observer_label,train_bank,test_input,fold,n_train_samples,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
12,6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,87,source_row:87,known_eye,known eye,known,observed,0,90,1.2269062213694837,-1.2269062213694837,1.1076579893493677,6.2658598040351565,0.1689984274375155,2.711714419417268,6.125516459130728
13,6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,87,source_row:87,known_eye,known eye,known,observed,0,90,1.2269062213694837,-1.2269062213694837,1.1076579893493677,6.2658598040351565,0.1689984274375155,2.711714419417268,6.125516459130728
14,7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,87,source_row:87,known_eye,known eye,known,observed,0,90,1.558328230520495,-1.558328230520495,1.2483301768845032,7.061621865878677,0.058726817235388334,2.711714419417268,6.68140252954017
15,7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,87,source_row:87,known_eye,known eye,known,observed,0,90,1.558328230520495,-1.558328230520495,1.2483301768845032,7.061621865878677,0.058726817235388334,2.711714419417268,6.68140252954017
16,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,87,source_row:87,known_eye,known eye,known,observed,0,90,2.797068405092994,-2.797068405092994,1.6724438421343164,9.46077105541487,-0.08346315002743783,2.711714419417268,8.840314940646016
17,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,87,source_row:87,known_eye,known eye,known,observed,0,90,2.797068405092994,-2.797068405092994,1.6724438421343164,9.46077105541487,-0.08346315002743783,2.711714419417268,8.840314940646016
18,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,369,source_row:369,known_eye,known eye,known,observed,1,90,1.1730776151338225,-1.1730776151338225,1.0830870764319103,6.126865730884131,-0.05298838137691838,5.021976583708456,3.2537014676068217
19,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,369,source_row:369,known_eye,known eye,known,observed,1,90,1.1730776151338225,-1.1730776151338225,1.0830870764319103,6.126865730884131,-0.05298838137691838,5.021976583708456,3.2537014676068217
20,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,369,source_row:369,known_eye,known eye,known,observed,1,90,0.9635087937689397,-0.9635087937689397,0.9815848377847631,5.552682360860026,0.1265093537177177,5.021976583708456,3.088013907102593
21,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,369,source_row:369,known_eye,known eye,known,observed,1,90,0.9635087937689397,-0.9635087937689397,0.9815848377847631,5.552682360860026,0.1265093537177177,5.021976583708456,3.088013907102593
22,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,369,source_row:369,known_eye,known eye,known,observed,1,90,2.122154735927554,-2.122154735927554,1.456761729291223,8.240688778838923,-0.023368850295463046,5.021976583708456,6.417355304038029
23,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,369,source_row:369,known_eye,known eye,known,observed,1,90,2.122154735927554,-2.122154735927554,1.456761729291223,8.240688778838923,-0.023368850295463046,5.021976583708456,6.417355304038029
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,25,source_row:25,known_eye,known eye,known,observed,2,90,1.5400344574789475,-1.5400344574789475,1.240981247835336,7.020050045357676,0.5085564482496818,7.6405318580811175,6.33545547851644
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,25,source_row:25,known_eye,known eye,known,observed,2,90,1.5400344574789475,-1.5400344574789475,1.240981247835336,7.020050045357676,0.5085564482496818,7.6405318580811175,6.33545547851644
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,25,source_row:25,known_eye,known eye,known,observed,2,90,1.5960150562303088,-1.5960150562303088,1.2633348947251908,7.146501367758204,0.4084914219165186,7.6405318580811175,4.681850598520637
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,25,source_row:25,known_eye,known eye,known,observed,2,90,1.5960150562303088,-1.5960150562303088,1.2633348947251908,7.146501367758204,0.4084914219165186,7.6405318580811175,4.681850598520637
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,25,source_row:25,known_eye,known eye,known,observed,2,90,2.8064278319946503,-2.8064278319946503,1.67523963420003,9.4765864436425,0.2826352332697177,7.6405318580811175,8.1670897289239
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,25,source_row:25,known_eye,known eye,known,observed,2,90,2.8064278319946503,-2.8064278319946503,1.67523963420003,9.4765864436425,0.2826352332697177,7.6405318580811175,8.1670897289239
6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,76,source_row:76,known_eye,known eye,known,observed,3,90,0.6162484043810115,-0.6162484043810115,0.7850149071075093,4.44071491318598,0.5695374975332127,5.130864860399802,4.312739281794958
7,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,76,source_row:76,known_eye,known eye,known,observed,3,90,0.6162484043810115,-0.6162484043810115,0.7850149071075093,4.44071491318598,0.5695374975332127,5.130864860399802,4.312739281794958
8,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,76,source_row:76,known_eye,known eye,known,observed,3,90,0.6162484043810115,-0.6162484043810115,0.7850149071075093,4.44071491318598,0.5695374975332127,5.130864860399802,4.312739281794958
9,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,76,source_row:76,known_eye,known eye,known,observed,3,90,0.6162484043810115,-0.6162484043810115,0.7850149071075093,4.44071491318598,0.5695374975332127,5.130864860399802,4.312739281794958
10,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,76,source_row:76,known_eye,known eye,known,observed,3,90,0.6162484043810115,-0.6162484043810115,0.7850149071075093,4.44071491318598,0.5695374975332127,5.130864860399802,4.312739281794958
11,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,76,source_row:76,known_eye,known eye,known,observed,3,90,0.6162484043810115,-0.6162484043810115,0.7850149071075093,4.44071491318598,0.5695374975332127,5.130864860399802,4.312739281794958
12,6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,87,source_row:87,hidden_eye_tau_marginal,hidden eye,prior_all,observed,0,1440,1.2922625017223237,-1.2922625017223237,1.1367772436683994,6.430583181571821,-0.005877902908616828,2.711714419417268,5.81494916196194
13,6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,87,source_row:87,hidden_eye_tau_marginal,hidden eye,prior_all,observed,0,1440,1.2922625017223237,-1.2922625017223237,1.1367772436683994,6.430583181571821,-0.005877902908616828,2.711714419417268,5.81494916196194
14,7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,87,source_row:87,hidden_eye_tau_marginal,hidden eye,prior_all,observed,0,1440,1.4273269353481015,-1.4273269353481015,1.1947078870368695,6.758288387686579,0.06355458039410754,2.711714419417268,6.365141607213414
15,7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,87,source_row:87,hidden_eye_tau_marginal,hidden eye,prior_all,observed,0,1440,1.4273269353481015,-1.4273269353481015,1.1947078870368695,6.758288387686579,0.06355458039410754,2.711714419417268,6.365141607213414
16,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,87,source_row:87,hidden_eye_tau_marginal,hidden eye,prior_all,observed,0,1440,2.809926229445355,-2.809926229445355,1.6762834573679224,9.48249119916551,0.1013192962593027,2.711714419417268,9.365388757447402
17,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,87,source_row:87,hidden_eye_tau_marginal,hidden eye,prior_all,observed,0,1440,2.809926229445355,-2.809926229445355,1.6762834573679224,9.48249119916551,0.1013192962593027,2.711714419417268,9.365388757447402
18,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,369,source_row:369,hidden_eye_tau_marginal,hidden eye,prior_all,observed,1,1440,1.276584258124799,-1.276584258124799,1.12986028256807,6.391454940777848,0.03982860860545922,5.021976583708456,4.158610866033714
19,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,369,source_row:369,hidden_eye_tau_marginal,hidden eye,prior_all,observed,1,1440,1.276584258124799,-1.276584258124799,1.12986028256807,6.391454940777848,0.03982860860545922,5.021976583708456,4.158610866033714
20,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,4,16,40,756,0,369,source_row:369,hidden_eye_tau_marginal,hidden eye,prior_all,observed,1,1440,0.9823277223556591,-0.9823277223556591,0.9911244736942273,5.606646690793089,0.05188386439191147,5.021976583708456,2.7669772323700905
21,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,4,16,40,756,0,369,source_row:369,hidden_eye_tau_marginal,hidden eye,prior_all,observed,1,1440,0.9823277223556591,-0.9823277223556591,0.9911244736942273,5.606646690793089,0.05188386439191147,5.021976583708456,2.7669772323700905
22,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,4,16,40,756,0,369,source_row:369,hidden_eye_tau_marginal,hidden eye,prior_all,observed,1,1440,2.046164632079502,-2.046164632079502,1.4304421107054637,8.091802532597052,-0.1288242253264091,5.021976583708456,5.730787687720708
23,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,4,16,40,756,0,369,source_row:369,hidden_eye_tau_marginal,hidden eye,prior_all,observed,1,1440,2.046164632079502,-2.046164632079502,1.4304421107054637,8.091802532597052,-0.1288242253264091,5.021976583708456,5.730787687720708
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,2,1440,2.7680057877917044,-2.7680057877917044,1.6637324868474812,9.4114921882417,0.1324327910494688,7.6405318580811175,6.599549921337603
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,4,16,40,756,0,25,source_row:25,hidden_eye_tau_marginal,hidden eye,prior_all,observed,2,1440,2.7680057877917044,-2.7680057877917044,1.6637324868474812,9.4114921882417,0.1324327910494688,7.6405318580811175,6.599549921337603
