run_family,run_slug,run_label,n,feature_rank,image_rank,feature_minus_image_rank,image_accuracy,mean_feature_cosine,mean_map_feature_cosine,feature_gain_vs_zero,image_gain_vs_zero,feature_gap_to_finite_joint,feature_gap_to_known_eye,image_gap_to_finite_joint,mean_true_mass,median_N_eff_fraction
no_anchor,noanchor_quadratic_scale_conditioned_calibrated,No-anchor quadratic scale-calibrated,768,1,6,-5,0.7083333333333334,0.9358345595810328,0.9160372052514415,0.10937216452634924,0.26302083333333337,-0.009302557592228311,0.023480916998026125,0.06119791666666663,0.5929003071492361,
catalog_residual,catalog_residual_smooth6,Catalog residual smoothed anchor,768,2,3,-1,0.84375,0.9300512848843097,0.9688233565139887,0.10358888982962611,0.3984375,-0.0035192828955051825,0.029264191694749253,-0.07421875,0.46408336929833593,
catalog_residual,catalog_residual_all,Catalog residual all anchors,768,3,4,-1,0.7981770833333334,0.9300156107579017,0.9571750792389936,0.10355321570321818,0.35286458333333337,-0.0034836087690972573,0.02929986582115718,-0.02864583333333337,0.4671716718451017,
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,768,4,1,3,0.8502604166666666,0.9299503589078038,0.9694627715443874,0.1034879638531202,0.40494791666666663,-0.003418356918999277,0.02936511767125516,-0.08072916666666663,0.4637717843487319,
catalog_residual,catalog_residual_ctf_keep8,Catalog residual CTF keep 8,768,5,2,3,0.8450520833333334,0.9298762303494938,0.9688775763677825,0.1034138352948103,0.39973958333333337,-0.003344228360689372,0.029439246229565064,-0.07552083333333337,0.46345602696734245,
no_anchor,noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,768,6,6,0,0.7083333333333334,0.9107641759832686,0.9160372052514415,0.08430178092858509,0.26302083333333337,0.015767826005535834,0.04855130059579027,0.06119791666666663,0.418844384878203,
no_anchor,noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,768,7,5,2,0.7096354166666666,0.9107301152458938,0.9160398064217956,0.0842677201912102,0.26432291666666663,0.01580188674291072,0.048585361333165156,0.05989583333333337,0.4188936972814365,
no_anchor,noanchor_quadratic_poisson,No-anchor quadratic,768,8,8,0,0.69140625,0.9097575204753009,0.9167006710470167,0.08329512542061734,0.24609375,0.01677448151350358,0.049557956103758016,0.078125,0.4154895583845377,
pure_continuous,poisson_k10_timevary_smooth,Poisson k=10 smooth A(t),768,9,11,-2,0.5598958333333334,0.8712869561551974,0.8519983309142468,0.044824561100513804,0.11458333333333337,0.05524504583360712,0.08802852042386156,0.20963541666666663,0.39522299912779246,
no_anchor,noanchor_ar1,No-anchor AR(1),768,10,10,0,0.5611979166666666,0.8711918921075584,0.8526632424777368,0.04472949705287488,0.11588541666666663,0.05534010988124605,0.08812358447150048,0.20833333333333337,0.39533532662592036,
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,768,11,14,-3,0.5572916666666666,0.8711401009251821,0.8517793948903774,0.044677705870498574,0.11197916666666663,0.05539190106362235,0.08817537565387679,0.21223958333333337,0.3946530629408147,
no_anchor,noanchor_dct_ctf,No-anchor DCT CTF,768,12,11,1,0.5598958333333334,0.8703632572440233,0.8524289512283358,0.04390086218933975,0.11458333333333337,0.056168744744781174,0.08895221933503561,0.20963541666666663,0.3939962945375233,
no_anchor,noanchor_residual_ctf,No-anchor residual CTF,768,13,9,4,0.5625,0.8700060961951848,0.8526646283119811,0.04354370114050121,0.1171875,0.05652590579361971,0.08930938038387415,0.20703125,0.39399780289710334,
no_anchor,noanchor_axis_interleaved,No-anchor axis basis,768,14,13,1,0.55859375,0.869487545490368,0.8500874049414365,0.043025150435684445,0.11328125,0.05704445649843648,0.08982793108869092,0.2109375,0.39458679929451973,
pure_continuous,poisson_k10_matched_brownian,Poisson k=10 Brownian,768,15,15,0,0.546875,0.8659444993074326,0.8463961479972496,0.039482104252749006,0.1015625,0.06058750268137192,0.09337097727162635,0.22265625,0.39104001057126364,
pure_continuous,poisson_k10_timevary,Poisson k=10 A(t),768,16,16,0,0.5403645833333334,0.8639363550884299,0.840225243127207,0.03747396003374637,0.09505208333333337,0.06259564690037456,0.09537912149062899,0.22916666666666663,0.38846151911132676,
pure_continuous,poisson_k20_timevary,Poisson k=20 A(t),768,17,17,0,0.53515625,0.862193342878358,0.8383696078498973,0.035730947823674475,0.08984375,0.06433865911044645,0.09712213370070089,0.234375,0.3879354232519707,
pure_continuous,poisson_k10,Poisson k=10,768,18,18,0,0.4973958333333333,0.842477878776728,0.821726595397069,0.01601548372204442,0.052083333333333315,0.0840541232120765,0.11683759780233094,0.2721354166666667,0.3562782297079587,
pure_continuous,poisson_k5,Poisson k=5,768,19,19,0,0.4908854166666667,0.8419857312653066,0.8205305188870234,0.015523336210623073,0.045572916666666685,0.08454627072349785,0.11732974531375229,0.2786458333333333,0.3564315348514695,
pure_continuous,poisson_k20,Poisson k=20,768,20,20,0,0.4830729166666667,0.8404979110687917,0.8142312179162609,0.01403551601410813,0.037760416666666685,0.0860340909200128,0.11881756551026723,0.2864583333333333,0.35440397400496076,
