run_slug,run_label,split_key,calibration_mode,eval_split,prior_scale,prior_family,selected_temperature,default_temperature,default_mean_feature_cosine,eval_mean_feature_cosine,delta_vs_default,eval_image_accuracy,eval_mean_true_mass,eval_median_N_eff_fraction,n_eval
affine_x1000_smoke64,Affine x1000 smoke64,table_index,global,0,all,all,0.25,1.0,0.9395044951597218,0.9626376276350124,0.023133132475290585,0.8125,0.6256286840432854,0.48991767071469117,32
affine_x1000_smoke64,Affine x1000 smoke64,table_index,scale_specific,0,0.5,all,0.25,1.0,0.9248696458759306,0.9402772382208877,0.015407592344957144,0.8181818181818182,0.571604804159959,0.5001506547956766,11
affine_x1000_smoke64,Affine x1000 smoke64,table_index,scale_specific,0,1.0,all,0.125,1.0,0.9441308571755365,0.98007039300164,0.03593953582610354,0.8181818181818182,0.6707606925720956,0.2936256273485846,11
affine_x1000_smoke64,Affine x1000 smoke64,table_index,scale_specific,0,2.0,all,0.25,1.0,0.9505138311544954,0.9749251619974151,0.024411330842919687,0.8,0.6869524923808782,0.48991767071469117,10
affine_x1000_smoke64,Affine x1000 smoke64,table_index,scale_specific,0,all,all,"0.5:0.25,1.0:0.125,2.0:0.25",1.0,0.9395044951597216,0.9647836113569361,0.025279116197214513,0.8125,0.6417357933706682,0.48991767071469117,32
affine_x1000_smoke64,Affine x1000 smoke64,table_index,global,1,all,all,0.125,1.0,0.938586593142505,0.9634988981969765,0.024912305054471506,0.75,0.673029061069488,0.287910702200161,32
affine_x1000_smoke64,Affine x1000 smoke64,table_index,scale_specific,1,0.5,all,0.125,1.0,0.9298348498806049,0.9506277432835047,0.020792893402899804,0.8181818181818182,0.6870004512094979,0.29164929262203215,11
affine_x1000_smoke64,Affine x1000 smoke64,table_index,scale_specific,1,1.0,all,0.125,1.0,0.9417212825139868,0.9744507076961682,0.03272942518218136,0.7272727272727273,0.6773645200804268,0.3353396121698188,11
affine_x1000_smoke64,Affine x1000 smoke64,table_index,scale_specific,1,2.0,all,0.125,1.0,0.944765352421965,0.9656101781526848,0.020844825730719774,0.7,0.6528915270034445,0.27505620572822054,10
affine_x1000_smoke64,Affine x1000 smoke64,table_index,scale_specific,1,all,all,"0.5:0.125,1.0:0.125,2.0:0.125",1.0,0.9385865931425049,0.9634988981969765,0.02491230505447158,0.75,0.673029061069488,0.29164929262203215,32
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,table_index,global,0,all,all,0.25,1.0,0.9400079797012956,0.946672922142711,0.006664942441415467,0.78125,0.590294082467641,0.3868359424405976,32
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,table_index,scale_specific,0,0.5,all,0.125,1.0,0.9421459295026704,0.9790229704358986,0.03687704093322819,0.9090909090909091,0.6766612146553981,0.2748969191132376,11
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,table_index,scale_specific,0,1.0,all,0.25,1.0,0.9441139721688683,0.960773477720534,0.016659505551665732,0.8181818181818182,0.6052858378094557,0.413996455701357,11
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,table_index,scale_specific,0,2.0,all,0.5,1.0,0.9331396432054533,0.9248998586282378,-0.008239784577215525,0.6,0.5354910292235403,0.5050919203105128,10
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,table_index,scale_specific,0,all,all,"0.5:0.125,1.0:0.25,2.0:0.5",1.0,0.9400079797012956,0.955836234875098,0.015828255173802434,0.78125,0.6080102459171498,0.413996455701357,32
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,table_index,global,1,all,all,0.5,1.0,0.9403580334809353,0.9536893210820566,0.013331287601121344,0.75,0.5485823329517383,0.5039871671025788,32
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,table_index,scale_specific,1,0.5,all,0.125,1.0,0.946281846956736,0.9812259078312877,0.03494406087455171,0.9090909090909091,0.685047818521105,0.3116126849771145,11
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,table_index,scale_specific,1,1.0,all,0.25,1.0,0.9462340377209053,0.9622879141244983,0.016053876403593015,0.7272727272727273,0.6067203860472786,0.35476103465816355,11
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,table_index,scale_specific,1,2.0,all,1,1.0,0.9273782339935878,0.9273782339935878,0.0,0.6,0.47462664518582864,0.6416385052888698,10
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,table_index,scale_specific,1,all,all,"0.5:0.125,1.0:0.25,2.0:1",1.0,0.9403580334809354,0.9578885744202976,0.01753054093936225,0.75,0.5923661469409534,0.35476103465816355,32
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,global,0,all,all,0.125,1.0,0.9392795279063285,0.9526640682938756,0.013384540387547106,0.78125,0.6771387417024834,0.2723281645992539,32
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_specific,0,0.5,all,0.125,1.0,0.9498657982758605,0.9407726641110891,-0.009093134164771421,0.8333333333333334,0.7443904082717183,0.25686265927210283,12
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_specific,0,1.0,all,0.125,1.0,0.9261496808807786,0.9530748591810216,0.02692517830024299,0.7,0.5665384034409829,0.326108712883599,10
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_specific,0,2.0,all,0.25,1.0,0.93970585048844,0.9649187248777704,0.025212874389330397,0.8,0.6740051293456235,0.4373466258502061,10
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_specific,0,all,all,"0.5:0.125,1.0:0.125,2.0:0.25",1.0,0.9392795279063284,0.9521627440600309,0.012883216153702401,0.78125,0.6668162570977089,0.326108712883599,32
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_family_specific,0,0.5,axis_edge_orthogonal,0.125,1.0,0.9464446697441763,0.9399284653847664,-0.006516204359409916,0.8333333333333334,0.7468720758831431,0.25524669568459957,6
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_family_specific,0,0.5,axis_edge_parallel,0.125,1.0,0.9532869268075448,0.9416168628374115,-0.01167006397013326,0.8333333333333334,0.7419087406602934,0.2644772542603799,6
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_family_specific,0,1.0,axis_edge_orthogonal,0.125,1.0,0.9261114099238806,0.9469943206754172,0.020882910751536587,0.6,0.5553430086976298,0.3817122439671978,5
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_family_specific,0,1.0,axis_edge_parallel,0.125,1.0,0.9261879518376765,0.9591553976866262,0.03296744584894962,0.8,0.5777337981843361,0.27050518180000016,5
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_family_specific,0,2.0,axis_edge_orthogonal,0.25,1.0,0.9369283766162312,0.9678965852378745,0.03096820862164329,0.8,0.6695789729862267,0.38927307940331807,5
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_family_specific,0,2.0,axis_edge_parallel,0.25,1.0,0.942483324360649,0.9619408645176662,0.019457540157017283,0.8,0.67843128570502,0.48542017229709417,5
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_family_specific,0,all,all,"0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.125,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.25,2.0:axis_edge_parallel:0.25",1.0,0.9392795279063286,0.952162744060031,0.012883216153702338,0.78125,0.6668162570977088,0.326108712883599,32
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,global,1,all,all,0.25,1.0,0.9388115603958981,0.9708693785388254,0.0320578181429273,0.78125,0.6134873119254465,0.49724479699887286,32
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_specific,1,0.5,all,0.5,1.0,0.9003359874011567,0.9190306491223452,0.0186946617211885,0.8,0.3890498768946161,0.7534703812486201,10
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_specific,1,1.0,all,0.125,1.0,0.9569063939814142,0.9974152929888062,0.04050889900739196,0.8333333333333334,0.7636661087306598,0.31448261975920166,12
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_specific,1,2.0,all,0.125,1.0,0.9555733330880203,0.9756476658978543,0.02007433280983406,0.7,0.6543699539315387,0.3448915834606525,10
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_specific,1,all,all,"0.5:0.5,1.0:0.125,2.0:0.125",1.0,0.9388115603958982,0.9661177083146146,0.027306147918716536,0.78125,0.6124434879071707,0.3448915834606525,32
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_family_specific,1,0.5,axis_edge_orthogonal,0.5,1.0,0.9099030660443196,0.936070330265483,0.026167264221163444,0.8,0.441649524054577,0.7442939088671582,5
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_family_specific,1,0.5,axis_edge_parallel,0.5,1.0,0.8907689087579937,0.9019909679792075,0.011222059221213776,0.8,0.3364502297346552,0.8156520632250709,5
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_family_specific,1,1.0,axis_edge_orthogonal,0.25,1.0,0.9547295096724083,0.9907546629845684,0.03602515331216005,0.8333333333333334,0.7236847073547542,0.39200593325669164,6
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_family_specific,1,1.0,axis_edge_parallel,0.125,1.0,0.9590832782904201,0.9974995557641515,0.03841627747373144,0.8333333333333334,0.7482831045618953,0.3377368404413876,6
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_family_specific,1,2.0,axis_edge_orthogonal,0.25,1.0,0.9526023282276987,0.968699606491153,0.016097278263454307,0.6,0.5765804230999448,0.37309451064765653,5
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_family_specific,1,2.0,axis_edge_parallel,0.125,1.0,0.958544337948342,0.9860266679073886,0.027482329959046536,0.8,0.7206335264689997,0.4238428672431539,5
affine_x1000_smoke64,Affine x1000 smoke64,trial_id,scale_family_specific,1,all,all,"0.5:axis_edge_orthogonal:0.5,0.5:axis_edge_parallel:0.5,1.0:axis_edge_orthogonal:0.25,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.25,2.0:axis_edge_parallel:0.125",1.0,0.9388115603958982,0.96542072424089,0.026609163844991852,0.78125,0.6002617308840869,0.40792440024992277,32
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,global,0,all,all,0.25,1.0,0.9362771864744827,0.9375269202747663,0.0012497338002835923,0.78125,0.5719866813546827,0.41932106058994195,32
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_specific,0,0.5,all,0.25,1.0,0.9523252717629366,0.9836994705506176,0.031374198787680996,1.0,0.6937021692494806,0.4284876035877555,12
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_specific,0,1.0,all,0.25,1.0,0.9467589755197208,0.9648262565722348,0.018067281052513984,0.8,0.5677309831736469,0.3515421411565588,10
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_specific,0,2.0,all,0.125,1.0,0.9065376950830999,0.823474999663228,-0.08306269541987188,0.5,0.3948366780770712,0.404381051083171,10
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_specific,0,all,all,"0.5:0.25,1.0:0.25,2.0:0.125",1.0,0.9362771864744827,0.9277314440300637,-0.008545742444418969,0.78125,0.5609407076094046,0.404381051083171,32
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_family_specific,0,0.5,axis_edge_orthogonal,0.25,1.0,0.9536443364828943,0.9843882514685286,0.030743914985634335,1.0,0.7007961934630685,0.3998969401406909,6
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_family_specific,0,0.5,axis_edge_parallel,0.125,1.0,0.9510062070429788,0.9918963651160001,0.04089015807302132,1.0,0.7402878148509654,0.38744848165903856,6
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_family_specific,0,1.0,axis_edge_orthogonal,0.5,1.0,0.9465854393118255,0.9620668493019208,0.015481409990095285,0.8,0.5276095339921455,0.5033812530291918,5
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_family_specific,0,1.0,axis_edge_parallel,0.25,1.0,0.9469325117276159,0.9641264194252559,0.017193907697639954,0.8,0.5701560727865849,0.33081064231919227,5
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_family_specific,0,2.0,axis_edge_orthogonal,0.125,1.0,0.9178022474697485,0.8713122946590216,-0.046489952810726876,0.6,0.47637840130672016,0.43009655309404915,5
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_family_specific,0,2.0,axis_edge_parallel,0.125,1.0,0.895273142696451,0.7756377046674342,-0.11963543802901677,0.4,0.31329495484742215,0.27654291359210603,5
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_family_specific,0,all,all,"0.5:axis_edge_orthogonal:0.25,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.5,1.0:axis_edge_parallel:0.25,2.0:axis_edge_orthogonal:0.125,2.0:axis_edge_parallel:0.125",1.0,0.9362771864744827,0.9288570012429792,-0.007420185231503378,0.78125,0.5651155895171427,0.3936727108998647,32
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,global,1,all,all,0.5,1.0,0.9440888267077482,0.9606284795075606,0.0165396527998124,0.75,0.551250348582321,0.5041259404255691,32
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_specific,1,0.5,all,0.125,1.0,0.934480227989823,0.9663540616209154,0.03187383363109242,0.8,0.6071557000874666,0.28232651829606703,10
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_specific,1,1.0,all,0.25,1.0,0.9438531961325253,0.9587843953810841,0.01493119924855879,0.75,0.6378965525573007,0.4569997020548864,12
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_specific,1,2.0,all,2,1.0,0.9539801821159412,0.9318465844304024,-0.022133597685538797,0.7,0.40907660892097314,0.7412750304529834,10
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_specific,1,all,all,"0.5:0.125,1.0:0.25,2.0:2",1.0,0.9440888267077483,0.9527318501589432,0.008643023451195053,0.75,0.5567838037741252,0.4569997020548864,32
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_family_specific,1,0.5,axis_edge_orthogonal,0.125,1.0,0.9374468595253458,0.9691332264220541,0.03168636689670834,0.8,0.614002105754216,0.3116126849771145,5
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_family_specific,1,0.5,axis_edge_parallel,0.125,1.0,0.9315135964543,0.963574896819777,0.03206130036547705,0.8,0.6003092944207175,0.25209070115600335,5
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_family_specific,1,1.0,axis_edge_orthogonal,0.25,1.0,0.9459412030618052,0.959589431128902,0.013648228067096868,0.6666666666666666,0.6412324631194201,0.3951489004219303,6
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_family_specific,1,1.0,axis_edge_parallel,0.125,1.0,0.9417651892032453,0.9425529476828176,0.0007877584795723536,0.8333333333333334,0.6661233058559154,0.3447770069802042,6
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_family_specific,1,2.0,axis_edge_orthogonal,1,1.0,0.9369542205174268,0.9369542205174268,0.0,0.6,0.44840918427240367,0.7007208440858513,5
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_family_specific,1,2.0,axis_edge_parallel,2,1.0,0.9710061437144551,0.9409986699401689,-0.030007473774286253,0.8,0.42743029120510967,0.7215514301230612,5
affine_x1000_ablate_intercept_smoke64,Affine x1000 intercept ablated smoke64,trial_id,scale_family_specific,1,all,all,"0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.25,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:1,2.0:axis_edge_parallel:2",1.0,0.9440888267077482,0.9520674794177328,0.00797865270998472,0.75,0.5717152810035702,0.36996295370106724,32
