run_slug,run_label,split_key,calibration_mode,eval_split,prior_scale,prior_family,selected_temperature,default_temperature,default_mean_feature_cosine,eval_mean_feature_cosine,delta_vs_default,eval_image_accuracy,eval_mean_true_mass,eval_median_N_eff_fraction,n_eval
origin_scale_conditioned,Origin scale-conditioned,table_index,global,0,all,all,0.25,1.0,0.9103811563083329,0.9322110126386393,0.02182985633030632,0.7161458333333334,0.5654466882208138,0.49667407936240027,384
origin_scale_conditioned,Origin scale-conditioned,table_index,scale_specific,0,0.5,all,0.125,1.0,0.9162272956133124,0.9574941961048385,0.04126690049152615,0.828125,0.6794154456802561,0.3208830379205303,128
origin_scale_conditioned,Origin scale-conditioned,table_index,scale_specific,0,1.0,all,0.125,1.0,0.9103420618089979,0.9407091891264949,0.030367127317497022,0.703125,0.6223183137221389,0.38875503415245916,128
origin_scale_conditioned,Origin scale-conditioned,table_index,scale_specific,0,2.0,all,0.5,1.0,0.9045741115026882,0.9113518317171387,0.0067777202144505555,0.6171875,0.47921132840744457,0.6320372815124393,128
origin_scale_conditioned,Origin scale-conditioned,table_index,scale_specific,0,all,all,"0.5:0.125,1.0:0.125,2.0:0.5",1.0,0.9103811563083329,0.9365184056494907,0.02613724934115791,0.7161458333333334,0.5936483626032799,0.38875503415245916,384
origin_scale_conditioned,Origin scale-conditioned,table_index,global,1,all,all,0.25,1.0,0.9111471956582043,0.9327933138155314,0.021646118157327088,0.7005208333333334,0.5696333259413412,0.488510289892526,384
origin_scale_conditioned,Origin scale-conditioned,table_index,scale_specific,1,0.5,all,0.125,1.0,0.9196367462516399,0.9585438404092622,0.03890709415762228,0.8046875,0.6889363128498076,0.3046819801139272,128
origin_scale_conditioned,Origin scale-conditioned,table_index,scale_specific,1,1.0,all,0.125,1.0,0.9103820907463085,0.9366241178267893,0.026242027080480845,0.703125,0.6147643287298594,0.3648448498687915,128
origin_scale_conditioned,Origin scale-conditioned,table_index,scale_specific,1,2.0,all,0.5,1.0,0.9034227499766644,0.9102841823016741,0.0068614323250096865,0.59375,0.47275611350591046,0.6135996472042844,128
origin_scale_conditioned,Origin scale-conditioned,table_index,scale_specific,1,all,all,"0.5:0.125,1.0:0.125,2.0:0.5",1.0,0.9111471956582043,0.9351507135125753,0.024003517854370937,0.7005208333333334,0.5921522516951925,0.3648448498687915,384
affine_x1,Affine x1,table_index,global,0,all,all,0.25,1.0,0.9186486006028954,0.9348071411144727,0.01615854051157728,0.6692708333333334,0.5804296151904685,0.4691515884345361,384
affine_x1,Affine x1,table_index,scale_specific,0,0.5,all,0.25,1.0,0.9194921979465953,0.9452886515000956,0.025796453553500243,0.71875,0.6018240685172871,0.47874282795443734,128
affine_x1,Affine x1,table_index,scale_specific,0,1.0,all,0.25,1.0,0.920555461517669,0.9353196230289177,0.014764161511248708,0.6640625,0.5825043954826383,0.4807052293323971,128
affine_x1,Affine x1,table_index,scale_specific,0,2.0,all,0.25,1.0,0.9158981423444219,0.9238131488144047,0.007915006469982777,0.625,0.5569603815714803,0.46540879845458827,128
affine_x1,Affine x1,table_index,scale_specific,0,all,all,"0.5:0.25,1.0:0.25,2.0:0.25",1.0,0.9186486006028954,0.9348071411144727,0.01615854051157724,0.6692708333333334,0.5804296151904685,0.47874282795443734,384
affine_x1,Affine x1,table_index,global,1,all,all,0.25,1.0,0.9154804406270314,0.9327229391184968,0.01724249849146542,0.6692708333333334,0.5786904048455589,0.45521217287567883,384
affine_x1,Affine x1,table_index,scale_specific,1,0.5,all,0.125,1.0,0.9194451355087401,0.9412502989948448,0.02180516348610473,0.703125,0.6508131874282641,0.31332387168341036,128
affine_x1,Affine x1,table_index,scale_specific,1,1.0,all,0.25,1.0,0.9155462739901968,0.9327373874236058,0.017191113433408955,0.6640625,0.5729365172812353,0.4523212936882613,128
affine_x1,Affine x1,table_index,scale_specific,1,2.0,all,0.5,1.0,0.911449912382157,0.9206047032372391,0.009154790855082084,0.640625,0.5025318320362305,0.5683453927887637,128
affine_x1,Affine x1,table_index,scale_specific,1,all,all,"0.5:0.125,1.0:0.25,2.0:0.5",1.0,0.9154804406270314,0.9315307965518965,0.016050355924865256,0.6692708333333334,0.5754271789152433,0.4523212936882613,384
affine_x10,Affine intercept ridge x10,table_index,global,0,all,all,0.25,1.0,0.9186743222951111,0.9348884254460247,0.01621410315091354,0.671875,0.5804407942718118,0.46952646319693514,384
affine_x10,Affine intercept ridge x10,table_index,scale_specific,0,0.5,all,0.25,1.0,0.9194879015968558,0.9452656223418795,0.025777720745023713,0.71875,0.6015687057358752,0.47894501255005173,128
affine_x10,Affine intercept ridge x10,table_index,scale_specific,0,1.0,all,0.25,1.0,0.9205873745424588,0.9354270932730018,0.014839718730543017,0.671875,0.58272098758208,0.47993913232533847,128
affine_x10,Affine intercept ridge x10,table_index,scale_specific,0,2.0,all,0.25,1.0,0.9159476907460187,0.923972560723193,0.008024869977174331,0.625,0.5570326894974802,0.46532002445907295,128
affine_x10,Affine intercept ridge x10,table_index,scale_specific,0,all,all,"0.5:0.25,1.0:0.25,2.0:0.25",1.0,0.9186743222951111,0.9348884254460247,0.01621410315091369,0.671875,0.5804407942718118,0.47894501255005173,384
affine_x10,Affine intercept ridge x10,table_index,global,1,all,all,0.25,1.0,0.9155282922482436,0.932904185046969,0.017375892798725423,0.6692708333333334,0.579007804250986,0.4547109294864756,384
affine_x10,Affine intercept ridge x10,table_index,scale_specific,1,0.5,all,0.125,1.0,0.9194510821362183,0.9412641645058195,0.021813082369601222,0.703125,0.650848723246657,0.3132934068320785,128
affine_x10,Affine intercept ridge x10,table_index,scale_specific,1,1.0,all,0.25,1.0,0.9156034332356124,0.9330239862924883,0.017420553056875843,0.6640625,0.5734067968151567,0.452866277013654,128
affine_x10,Affine intercept ridge x10,table_index,scale_specific,1,2.0,all,0.5,1.0,0.9115303613729004,0.9207689239471601,0.009238562574259701,0.640625,0.5027754682459531,0.5676517027819972,128
