run_slug,run_label,split_key,calibration_mode,eval_split,prior_scale,prior_family,selected_temperature,default_temperature,default_mean_feature_cosine,eval_mean_feature_cosine,delta_vs_default,eval_image_accuracy,eval_mean_true_mass,eval_median_N_eff_fraction,n_eval
origin_scale2_parallel_k20,Origin 2.0x parallel k20,table_index,global,0,all,all,0.25,1.0,0.8956076676548634,0.8871073375160916,-0.008500330138771828,0.59375,0.5036944692272101,0.4660448395319543,64
origin_scale2_parallel_k20,Origin 2.0x parallel k20,table_index,scale_specific,0,2.0,all,0.25,1.0,0.8956076676548634,0.8871073375160916,-0.008500330138771828,0.59375,0.5036944692272101,0.4660448395319543,64
origin_scale2_parallel_k20,Origin 2.0x parallel k20,table_index,scale_specific,0,all,all,2.0:0.25,1.0,0.8956076676548634,0.8871073375160916,-0.008500330138771828,0.59375,0.5036944692272101,0.4660448395319543,64
origin_scale2_parallel_k20,Origin 2.0x parallel k20,table_index,global,1,all,all,0.5,1.0,0.9135405553505129,0.9260088501468224,0.01246829479630951,0.640625,0.49028989391070227,0.6279792704037697,64
origin_scale2_parallel_k20,Origin 2.0x parallel k20,table_index,scale_specific,1,2.0,all,0.5,1.0,0.9135405553505129,0.9260088501468224,0.01246829479630951,0.640625,0.49028989391070227,0.6279792704037697,64
origin_scale2_parallel_k20,Origin 2.0x parallel k20,table_index,scale_specific,1,all,all,2.0:0.5,1.0,0.9135405553505129,0.9260088501468224,0.01246829479630951,0.640625,0.49028989391070227,0.6279792704037697,64
affine_scale2_parallel_k20,Affine 2.0x parallel k20,table_index,global,0,all,all,0.25,1.0,0.9154816222093427,0.9127874498516061,-0.002694172357736613,0.640625,0.5599432745565429,0.4527036050169847,64
affine_scale2_parallel_k20,Affine 2.0x parallel k20,table_index,scale_specific,0,2.0,all,0.25,1.0,0.9154816222093427,0.9127874498516061,-0.002694172357736613,0.640625,0.5599432745565429,0.4527036050169847,64
affine_scale2_parallel_k20,Affine 2.0x parallel k20,table_index,scale_specific,0,all,all,2.0:0.25,1.0,0.9154816222093427,0.9127874498516061,-0.002694172357736613,0.640625,0.5599432745565429,0.4527036050169847,64
affine_scale2_parallel_k20,Affine 2.0x parallel k20,table_index,global,1,all,all,0.5,1.0,0.9163146624795012,0.9311906901325158,0.014876027653014545,0.609375,0.4946449316129714,0.6072102671583797,64
affine_scale2_parallel_k20,Affine 2.0x parallel k20,table_index,scale_specific,1,2.0,all,0.5,1.0,0.9163146624795012,0.9311906901325158,0.014876027653014545,0.609375,0.4946449316129714,0.6072102671583797,64
affine_scale2_parallel_k20,Affine 2.0x parallel k20,table_index,scale_specific,1,all,all,2.0:0.5,1.0,0.9163146624795012,0.9311906901325158,0.014876027653014545,0.609375,0.4946449316129714,0.6072102671583797,64
origin_scale2_parallel_k20,Origin 2.0x parallel k20,trial_id,global,0,all,all,0.25,1.0,0.8956076676548634,0.8871073375160916,-0.008500330138771828,0.59375,0.5036944692272101,0.4660448395319543,64
origin_scale2_parallel_k20,Origin 2.0x parallel k20,trial_id,scale_specific,0,2.0,all,0.25,1.0,0.8956076676548634,0.8871073375160916,-0.008500330138771828,0.59375,0.5036944692272101,0.4660448395319543,64
origin_scale2_parallel_k20,Origin 2.0x parallel k20,trial_id,scale_specific,0,all,all,2.0:0.25,1.0,0.8956076676548634,0.8871073375160916,-0.008500330138771828,0.59375,0.5036944692272101,0.4660448395319543,64
origin_scale2_parallel_k20,Origin 2.0x parallel k20,trial_id,scale_family_specific,0,2.0,axis_edge_parallel,0.25,1.0,0.8956076676548634,0.8871073375160916,-0.008500330138771828,0.59375,0.5036944692272101,0.4660448395319543,64
origin_scale2_parallel_k20,Origin 2.0x parallel k20,trial_id,scale_family_specific,0,all,all,2.0:axis_edge_parallel:0.25,1.0,0.8956076676548634,0.8871073375160916,-0.008500330138771828,0.59375,0.5036944692272101,0.4660448395319543,64
origin_scale2_parallel_k20,Origin 2.0x parallel k20,trial_id,global,1,all,all,0.5,1.0,0.9135405553505129,0.9260088501468224,0.01246829479630951,0.640625,0.49028989391070227,0.6279792704037697,64
origin_scale2_parallel_k20,Origin 2.0x parallel k20,trial_id,scale_specific,1,2.0,all,0.5,1.0,0.9135405553505129,0.9260088501468224,0.01246829479630951,0.640625,0.49028989391070227,0.6279792704037697,64
origin_scale2_parallel_k20,Origin 2.0x parallel k20,trial_id,scale_specific,1,all,all,2.0:0.5,1.0,0.9135405553505129,0.9260088501468224,0.01246829479630951,0.640625,0.49028989391070227,0.6279792704037697,64
origin_scale2_parallel_k20,Origin 2.0x parallel k20,trial_id,scale_family_specific,1,2.0,axis_edge_parallel,0.5,1.0,0.9135405553505129,0.9260088501468224,0.01246829479630951,0.640625,0.49028989391070227,0.6279792704037697,64
origin_scale2_parallel_k20,Origin 2.0x parallel k20,trial_id,scale_family_specific,1,all,all,2.0:axis_edge_parallel:0.5,1.0,0.9135405553505129,0.9260088501468224,0.01246829479630951,0.640625,0.49028989391070227,0.6279792704037697,64
affine_scale2_parallel_k20,Affine 2.0x parallel k20,trial_id,global,0,all,all,0.25,1.0,0.9154816222093427,0.9127874498516061,-0.002694172357736613,0.640625,0.5599432745565429,0.4527036050169847,64
affine_scale2_parallel_k20,Affine 2.0x parallel k20,trial_id,scale_specific,0,2.0,all,0.25,1.0,0.9154816222093427,0.9127874498516061,-0.002694172357736613,0.640625,0.5599432745565429,0.4527036050169847,64
affine_scale2_parallel_k20,Affine 2.0x parallel k20,trial_id,scale_specific,0,all,all,2.0:0.25,1.0,0.9154816222093427,0.9127874498516061,-0.002694172357736613,0.640625,0.5599432745565429,0.4527036050169847,64
affine_scale2_parallel_k20,Affine 2.0x parallel k20,trial_id,scale_family_specific,0,2.0,axis_edge_parallel,0.25,1.0,0.9154816222093427,0.9127874498516061,-0.002694172357736613,0.640625,0.5599432745565429,0.4527036050169847,64
