run_slug,run_label,split_key,calibration_mode,eval_split,prior_scale,prior_family,selected_temperature,default_temperature,default_mean_feature_cosine,eval_mean_feature_cosine,delta_vs_default,eval_image_accuracy,eval_mean_true_mass,eval_median_N_eff_fraction,n_eval
origin_scale2_parallel_smoke8,Origin 2.0x parallel smoke8,table_index,global,0,all,all,0.5,1.0,0.9345980458204344,0.9292162976149164,-0.0053817482055179555,0.75,0.5509532006435768,0.5214616494456921,4
origin_scale2_parallel_smoke8,Origin 2.0x parallel smoke8,table_index,scale_specific,0,2.0,all,0.5,1.0,0.9345980458204344,0.9292162976149164,-0.0053817482055179555,0.75,0.5509532006435768,0.5214616494456921,4
origin_scale2_parallel_smoke8,Origin 2.0x parallel smoke8,table_index,scale_specific,0,all,all,2.0:0.5,1.0,0.9345980458204344,0.9292162976149164,-0.0053817482055179555,0.75,0.5509532006435768,0.5214616494456921,4
origin_scale2_parallel_smoke8,Origin 2.0x parallel smoke8,table_index,global,1,all,all,1,1.0,0.9605804185016706,0.9605804185016706,0.0,0.75,0.5273648774056883,0.5681716501573841,4
origin_scale2_parallel_smoke8,Origin 2.0x parallel smoke8,table_index,scale_specific,1,2.0,all,1,1.0,0.9605804185016706,0.9605804185016706,0.0,0.75,0.5273648774056883,0.5681716501573841,4
origin_scale2_parallel_smoke8,Origin 2.0x parallel smoke8,table_index,scale_specific,1,all,all,2.0:1,1.0,0.9605804185016706,0.9605804185016706,0.0,0.75,0.5273648774056883,0.5681716501573841,4
affine_scale2_parallel_smoke8,Affine 2.0x parallel smoke8,table_index,global,0,all,all,0.125,1.0,0.9476136442369405,0.9695119726518522,0.021898328414911683,0.75,0.6681330977546425,0.4180922080945331,4
affine_scale2_parallel_smoke8,Affine 2.0x parallel smoke8,table_index,scale_specific,0,2.0,all,0.125,1.0,0.9476136442369405,0.9695119726518522,0.021898328414911683,0.75,0.6681330977546425,0.4180922080945331,4
affine_scale2_parallel_smoke8,Affine 2.0x parallel smoke8,table_index,scale_specific,0,all,all,2.0:0.125,1.0,0.9476136442369405,0.9695119726518522,0.021898328414911683,0.75,0.6681330977546425,0.4180922080945331,4
affine_scale2_parallel_smoke8,Affine 2.0x parallel smoke8,table_index,global,1,all,all,0.125,1.0,0.9512809505350899,0.9942898770485767,0.04300892651348687,1.0,0.7875973035558169,0.3571642390267877,4
