run_slug,run_label,split_key,calibration_mode,eval_split,prior_scale,prior_family,selected_temperature,default_temperature,default_mean_feature_cosine,eval_mean_feature_cosine,delta_vs_default,eval_image_accuracy,eval_mean_true_mass,eval_median_N_eff_fraction,n_eval
scale_conditioned,Scale-conditioned,table_index,global,0,all,all,0.25,1.0,0.9103811563083329,0.9322110126386393,0.02182985633030632,0.7161458333333334,0.5654466882208138,0.49667407936240027,384
scale_conditioned,Scale-conditioned,table_index,scale_specific,0,0.5,all,0.125,1.0,0.9162272956133124,0.9574941961048385,0.04126690049152615,0.828125,0.6794154456802561,0.3208830379205303,128
scale_conditioned,Scale-conditioned,table_index,scale_specific,0,1.0,all,0.125,1.0,0.9103420618089979,0.9407091891264949,0.030367127317497022,0.703125,0.6223183137221389,0.38875503415245916,128
scale_conditioned,Scale-conditioned,table_index,scale_specific,0,2.0,all,0.5,1.0,0.9045741115026882,0.9113518317171387,0.0067777202144505555,0.6171875,0.47921132840744457,0.6320372815124393,128
scale_conditioned,Scale-conditioned,table_index,scale_specific,0,all,all,"0.5:0.125,1.0:0.125,2.0:0.5",1.0,0.9103811563083329,0.9365184056494907,0.02613724934115791,0.7161458333333334,0.5936483626032799,0.38875503415245916,384
scale_conditioned,Scale-conditioned,table_index,global,1,all,all,0.25,1.0,0.9111471956582043,0.9327933138155314,0.021646118157327088,0.7005208333333334,0.5696333259413412,0.488510289892526,384
scale_conditioned,Scale-conditioned,table_index,scale_specific,1,0.5,all,0.125,1.0,0.9196367462516399,0.9585438404092622,0.03890709415762228,0.8046875,0.6889363128498076,0.3046819801139272,128
scale_conditioned,Scale-conditioned,table_index,scale_specific,1,1.0,all,0.125,1.0,0.9103820907463085,0.9366241178267893,0.026242027080480845,0.703125,0.6147643287298594,0.3648448498687915,128
scale_conditioned,Scale-conditioned,table_index,scale_specific,1,2.0,all,0.5,1.0,0.9034227499766644,0.9102841823016741,0.0068614323250096865,0.59375,0.47275611350591046,0.6135996472042844,128
scale_conditioned,Scale-conditioned,table_index,scale_specific,1,all,all,"0.5:0.125,1.0:0.125,2.0:0.5",1.0,0.9111471956582043,0.9351507135125753,0.024003517854370937,0.7005208333333334,0.5921522516951925,0.3648448498687915,384
scale_calibrated,Scale-calibrated promoted,table_index,global,0,all,all,0.25,1.0,0.9103811563083329,0.9322110126386393,0.02182985633030632,0.7161458333333334,0.5654466882208138,0.49667407936240027,384
scale_calibrated,Scale-calibrated promoted,table_index,scale_specific,0,0.5,all,0.125,1.0,0.9162272956133124,0.9574941961048385,0.04126690049152615,0.828125,0.6794154456802561,0.3208830379205303,128
scale_calibrated,Scale-calibrated promoted,table_index,scale_specific,0,1.0,all,0.125,1.0,0.9103420618089979,0.9407091891264949,0.030367127317497022,0.703125,0.6223183137221389,0.38875503415245916,128
scale_calibrated,Scale-calibrated promoted,table_index,scale_specific,0,2.0,all,0.5,1.0,0.9045741115026882,0.9113518317171387,0.0067777202144505555,0.6171875,0.47921132840744457,0.6320372815124393,128
scale_calibrated,Scale-calibrated promoted,table_index,scale_specific,0,all,all,"0.5:0.125,1.0:0.125,2.0:0.5",1.0,0.9103811563083329,0.9365184056494907,0.02613724934115791,0.7161458333333334,0.5936483626032799,0.38875503415245916,384
scale_calibrated,Scale-calibrated promoted,table_index,global,1,all,all,0.25,1.0,0.9111471956582043,0.9327933138155314,0.021646118157327088,0.7005208333333334,0.5696333259413412,0.488510289892526,384
scale_calibrated,Scale-calibrated promoted,table_index,scale_specific,1,0.5,all,0.125,1.0,0.9196367462516399,0.9585438404092622,0.03890709415762228,0.8046875,0.6889363128498076,0.3046819801139272,128
scale_calibrated,Scale-calibrated promoted,table_index,scale_specific,1,1.0,all,0.125,1.0,0.9103820907463085,0.9366241178267893,0.026242027080480845,0.703125,0.6147643287298594,0.3648448498687915,128
scale_calibrated,Scale-calibrated promoted,table_index,scale_specific,1,2.0,all,0.5,1.0,0.9034227499766644,0.9102841823016741,0.0068614323250096865,0.59375,0.47275611350591046,0.6135996472042844,128
scale_calibrated,Scale-calibrated promoted,table_index,scale_specific,1,all,all,"0.5:0.125,1.0:0.125,2.0:0.5",1.0,0.9111471956582043,0.9351507135125753,0.024003517854370937,0.7005208333333334,0.5921522516951925,0.3648448498687915,384
scale_conditioned_iter160,Scale-conditioned iter160,table_index,global,0,all,all,0.25,1.0,0.9103612648488045,0.9321781704657915,0.021816905616987015,0.7161458333333334,0.5653188443502023,0.49667236379955326,384
scale_conditioned_iter160,Scale-conditioned iter160,table_index,scale_specific,0,0.5,all,0.125,1.0,0.9161969489109183,0.9574952085468216,0.04129825963590328,0.828125,0.6794094085847715,0.3208830379205303,128
scale_conditioned_iter160,Scale-conditioned iter160,table_index,scale_specific,0,1.0,all,0.125,1.0,0.9103130272710895,0.9405592451352343,0.03024621786414472,0.703125,0.6216465351142808,0.38875503415245916,128
scale_conditioned_iter160,Scale-conditioned iter160,table_index,scale_specific,0,2.0,all,0.5,1.0,0.9045738183644054,0.9113514094739306,0.0067775911095251384,0.6171875,0.4792097436695852,0.6320374571626097,128
scale_conditioned_iter160,Scale-conditioned iter160,table_index,scale_specific,0,all,all,"0.5:0.125,1.0:0.125,2.0:0.5",1.0,0.9103612648488045,0.9364686210519956,0.026107356203191046,0.7161458333333334,0.5934218957895459,0.38875503415245916,384
scale_conditioned_iter160,Scale-conditioned iter160,table_index,global,1,all,all,0.25,1.0,0.9110989656429829,0.9326300648373659,0.021531099194383008,0.703125,0.5702303539683004,0.48850271423736996,384
scale_conditioned_iter160,Scale-conditioned iter160,table_index,scale_specific,1,0.5,all,0.125,1.0,0.9196305928209728,0.9585433247023148,0.03891273188134203,0.8046875,0.6888862571709629,0.30468431799661216,128
scale_conditioned_iter160,Scale-conditioned iter160,table_index,scale_specific,1,1.0,all,0.125,1.0,0.9102657498618629,0.9362352035318582,0.025969453669995257,0.7109375,0.6186317308939313,0.36484378266533873,128
scale_conditioned_iter160,Scale-conditioned iter160,table_index,scale_specific,1,2.0,all,0.5,1.0,0.9034005542461131,0.9102449858298813,0.00684443158376824,0.59375,0.4726323278611272,0.6136051421616424,128
scale_conditioned_iter160,Scale-conditioned iter160,table_index,scale_specific,1,all,all,"0.5:0.125,1.0:0.125,2.0:0.5",1.0,0.9110989656429829,0.9350078380213515,0.02390887237836851,0.703125,0.593383438642007,0.36484378266533873,384
scale_conditioned,Scale-conditioned,trial_id,global,0,all,all,0.25,1.0,0.9103658556639126,0.9302531899308303,0.01988733426691769,0.7083333333333334,0.5724052819607085,0.4892045309632636,384
scale_conditioned,Scale-conditioned,trial_id,scale_specific,0,0.5,all,0.125,1.0,0.921078176400946,0.9670160904748235,0.045937914073877484,0.8203125,0.7152332702229132,0.3040250229768524,128
scale_conditioned,Scale-conditioned,trial_id,scale_specific,0,1.0,all,0.125,1.0,0.9109341352611475,0.9382560809052242,0.02732194564407664,0.7265625,0.6124299831331255,0.37349466340958354,128
scale_conditioned,Scale-conditioned,trial_id,scale_specific,0,2.0,all,0.25,1.0,0.8990852553296442,0.8928424912807549,-0.006242764048889349,0.578125,0.5118061053778273,0.46167384443616755,128
scale_conditioned,Scale-conditioned,trial_id,scale_specific,0,all,all,"0.5:0.125,1.0:0.125,2.0:0.25",1.0,0.9103658556639127,0.9327048875536009,0.02233903188968826,0.7083333333333334,0.6131564529112886,0.37349466340958354,384
scale_conditioned,Scale-conditioned,trial_id,scale_family_specific,0,0.5,axis_edge_orthogonal,0.125,1.0,0.9229309006325472,0.9669007313453207,0.043969830712773494,0.796875,0.7193813982216073,0.30012587753665365,64
scale_conditioned,Scale-conditioned,trial_id,scale_family_specific,0,0.5,axis_edge_parallel,0.125,1.0,0.9192254521693449,0.967131449604326,0.04790599743498103,0.84375,0.711085142224219,0.3125053769434314,64
