run_slug,run_label,split_key,calibration_mode,n_eval,selected_temperature_by_split,default_mean_feature_cosine,eval_mean_feature_cosine,delta_vs_default,eval_image_accuracy,eval_mean_true_mass,eval_median_N_eff_fraction
scale_calibrated,Scale-calibrated promoted,table_index,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.5;0.5:0.125,1.0:0.125,2.0:0.5",0.9107641759832686,0.9358345595810329,0.025070383597764423,0.7083333333333334,0.5929003071492361,0.37679994201062533
scale_conditioned,Scale-conditioned,table_index,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.5;0.5:0.125,1.0:0.125,2.0:0.5",0.9107641759832686,0.9358345595810329,0.025070383597764423,0.7083333333333334,0.5929003071492361,0.37679994201062533
scale_conditioned_iter160,Scale-conditioned iter160,table_index,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.5;0.5:0.125,1.0:0.125,2.0:0.5",0.9107301152458938,0.9357382295366735,0.025008114290779777,0.7096354166666666,0.5934026672157765,0.3767994084088989
scale_calibrated,Scale-calibrated promoted,trial_id,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.25;0.5:0.125,1.0:0.125,2.0:0.5",0.9107641759832686,0.9343220346493913,0.023557858666122717,0.7083333333333334,0.5989976983018817,0.37147055549536534
scale_conditioned,Scale-conditioned,trial_id,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.25;0.5:0.125,1.0:0.125,2.0:0.5",0.9107641759832686,0.9343220346493913,0.023557858666122717,0.7083333333333334,0.5989976983018817,0.37147055549536534
scale_calibrated,Scale-calibrated promoted,trial_id,scale_family_specific,768,"0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.125,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.25,2.0:axis_edge_parallel:0.25;0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.25,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.5,2.0:axis_edge_parallel:0.5",0.9107641759832686,0.9342459242596656,0.02348174827639704,0.7083333333333334,0.5953176635014678,0.40996590684010836
scale_conditioned,Scale-conditioned,trial_id,scale_family_specific,768,"0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.125,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.25,2.0:axis_edge_parallel:0.25;0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.25,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.5,2.0:axis_edge_parallel:0.5",0.9107641759832686,0.9342459242596656,0.02348174827639704,0.7083333333333334,0.5953176635014678,0.40996590684010836
scale_conditioned_iter160,Scale-conditioned iter160,trial_id,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.25;0.5:0.125,1.0:0.125,2.0:0.5",0.9107301152458936,0.9342256832240411,0.02349556797814754,0.7096354166666666,0.5995000065529784,0.3693018950380865
scale_conditioned_iter160,Scale-conditioned iter160,trial_id,scale_family_specific,768,"0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.125,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.25,2.0:axis_edge_parallel:0.25;0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.25,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.5,2.0:axis_edge_parallel:0.5",0.9107301152458936,0.9341454499966427,0.023415334750749184,0.7096354166666666,0.5953884692396522,0.4112986263783209
scale_calibrated,Scale-calibrated promoted,trial_id,global,768,0.25;0.25,0.9107641759832686,0.9325021632270855,0.02173798724381687,0.7083333333333334,0.5675400070810775,0.4919338040461344
scale_conditioned,Scale-conditioned,trial_id,global,768,0.25;0.25,0.9107641759832686,0.9325021632270855,0.02173798724381687,0.7083333333333334,0.5675400070810775,0.4919338040461344
scale_calibrated,Scale-calibrated promoted,table_index,global,768,0.25;0.25,0.9107641759832686,0.9325021632270852,0.021737987243816703,0.7083333333333334,0.5675400070810775,0.4925921846274631
scale_conditioned,Scale-conditioned,table_index,global,768,0.25;0.25,0.9107641759832686,0.9325021632270852,0.021737987243816703,0.7083333333333334,0.5675400070810775,0.4925921846274631
scale_conditioned_iter160,Scale-conditioned iter160,table_index,global,768,0.25;0.25,0.9107301152458938,0.9324041176515787,0.02167400240568501,0.7096354166666666,0.5677745991592513,0.49258753901846164
scale_conditioned_iter160,Scale-conditioned iter160,trial_id,global,768,0.25;0.25,0.9107301152458938,0.9324041176515787,0.02167400240568501,0.7096354166666666,0.5677745991592513,0.49193243381073615
