run_slug,run_label,split_key,calibration_mode,n_eval,selected_temperature_by_split,default_mean_feature_cosine,eval_mean_feature_cosine,delta_vs_default,eval_image_accuracy,eval_mean_true_mass,eval_median_N_eff_fraction
knownstart_ar1_smoke64,Known-start_AR1,table_index,scale_specific,64,"0.5:0.125,1.0:0.25,2.0:0.125;0.5:0.125,1.0:0.25,2.0:0.25",0.9430011850185269,0.9648228061015395,0.021821621083012437,0.796875,0.6311560860509551,0.43547943272776835
knownstart_ar1_smoke64,Known-start_AR1,trial_id,scale_specific,64,"0.5:0.25,1.0:0.25,2.0:0.25;0.5:0.125,1.0:0.25,2.0:0.25",0.9430011850185269,0.9646941138569276,0.021692928838400703,0.796875,0.619152274623294,0.44390826218221385
knownstart_ar1_smoke64,Known-start_AR1,trial_id,scale_family_specific,64,"0.5:axis_edge_orthogonal:0.25,0.5:axis_edge_parallel:0.25,1.0:axis_edge_orthogonal:0.25,1.0:axis_edge_parallel:0.25,2.0:axis_edge_orthogonal:0.25,2.0:axis_edge_parallel:0.25;0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.125,1.0:axis_edge_parallel:0.25,2.0:axis_edge_orthogonal:0.125,2.0:axis_edge_parallel:0.5",0.943001185018527,0.9638707580516284,0.020869573033101312,0.796875,0.6187795259181132,0.40366989503395334
origin_smoke64,Inferred-start,trial_id,scale_specific,64,"0.5:0.125,1.0:0.25,2.0:0.25;0.5:0.125,1.0:0.25,2.0:0.5",0.9424322285852089,0.9636736635188936,0.02124143493368476,0.796875,0.6143667181504789,0.45297954440366295
knownstart_ar1_smoke64,Known-start_AR1,table_index,global,64,0.125;0.25,0.9430011850185269,0.9626636715003875,0.019662486481860475,0.796875,0.628712155590702,0.42361207575902904
origin_smoke64,Inferred-start,trial_id,scale_family_specific,64,"0.5:axis_edge_orthogonal:0.25,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.25,1.0:axis_edge_parallel:0.25,2.0:axis_edge_orthogonal:0.25,2.0:axis_edge_parallel:0.25;0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.125,1.0:axis_edge_parallel:0.25,2.0:axis_edge_orthogonal:0.125,2.0:axis_edge_parallel:0.5",0.9424322285852088,0.9623117962781917,0.01987956769298272,0.796875,0.6165266483979948,0.39849227431136053
knownstart_ar1_smoke64,Known-start_AR1,trial_id,global,64,0.25;0.125,0.9430011850185269,0.9621303541100177,0.01912916909149076,0.796875,0.6242699797901778,0.4209145447983877
origin_smoke64,Inferred-start,table_index,scale_specific,64,"0.5:0.125,1.0:0.25,2.0:0.125;0.5:0.125,1.0:0.25,2.0:0.5",0.9424322285852089,0.9621281748832426,0.01969594629803379,0.796875,0.6201995609083858,0.42788562864638147
knownstart_brownian_smoke64,Known-start_Brownian,table_index,scale_specific,64,"0.5:0.125,1.0:0.5,2.0:0.125;0.5:0.125,1.0:0.25,2.0:0.25",0.9423494018529139,0.9607029654606768,0.018353563607762816,0.8125,0.611420629148363,0.45209239540789525
origin_smoke64,Inferred-start,table_index,global,64,0.125;0.25,0.9424322285852089,0.9603541640211428,0.017921935435933845,0.796875,0.621397914301695,0.4230064098689069
origin_smoke64,Inferred-start,trial_id,global,64,0.25;0.125,0.9424322285852089,0.959703338710961,0.01727111012575222,0.796875,0.6171830568908769,0.41666341022476555
knownstart_brownian_smoke64,Known-start_Brownian,trial_id,scale_specific,64,"0.5:0.25,1.0:0.5,2.0:0.25;0.5:0.125,1.0:0.25,2.0:0.125",0.9423494018529139,0.9584539773587083,0.016104575505794413,0.8125,0.6019633638140316,0.4400697585360803
knownstart_brownian_smoke64,Known-start_Brownian,table_index,global,64,0.125;0.25,0.9423494018529139,0.9583745579253742,0.01602515607246019,0.8125,0.6143805495608174,0.4253800205653432
knownstart_brownian_smoke64,Known-start_Brownian,trial_id,global,64,0.25;0.125,0.9423494018529139,0.9569743155922444,0.014624913739330503,0.8125,0.609721279762464,0.4229612930968156
knownstart_brownian_smoke64,Known-start_Brownian,trial_id,scale_family_specific,64,"0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.25,1.0:axis_edge_orthogonal:1,1.0:axis_edge_parallel:0.5,2.0:axis_edge_orthogonal:0.5,2.0:axis_edge_parallel:0.25;0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.125,1.0:axis_edge_parallel:0.25,2.0:axis_edge_orthogonal:0.125,2.0:axis_edge_parallel:0.125",0.9423494018529139,0.9569392744242685,0.014589872571354617,0.8125,0.5980716831941126,0.44434770610293867
