run_slug,run_label,split_key,calibration_mode,eval_split,prior_scale,prior_family,selected_temperature,default_temperature,default_mean_feature_cosine,eval_mean_feature_cosine,delta_vs_default,eval_image_accuracy,eval_mean_true_mass,eval_median_N_eff_fraction,n_eval
origin_smoke64,Inferred-start,table_index,global,0,all,all,0.125,1.0,0.9425940759442348,0.9568308260187786,0.014236750074543725,0.8125,0.6390659731193447,0.3517466304913148,32
origin_smoke64,Inferred-start,table_index,scale_specific,0,0.5,all,0.125,1.0,0.9438099085666098,0.9792482491964052,0.03543834062979534,0.9090909090909091,0.6808667769461437,0.25498044603000874,11
origin_smoke64,Inferred-start,table_index,scale_specific,0,1.0,all,0.25,1.0,0.9411298722024175,0.9581404497963348,0.01701057759391733,0.7272727272727273,0.5924879961084275,0.47098431473539,11
origin_smoke64,Inferred-start,table_index,scale_specific,0,2.0,all,0.125,1.0,0.942867284175622,0.940831608530328,-0.002035675645294055,0.8,0.6223601175288376,0.35576259991375603,10
origin_smoke64,Inferred-start,table_index,scale_specific,0,all,all,"0.5:0.125,1.0:0.25,2.0:0.125",1.0,0.942594075944235,0.9599872429444819,0.01739316700024684,0.8125,0.6322032399652706,0.35576259991375603,32
origin_smoke64,Inferred-start,table_index,global,1,all,all,0.25,1.0,0.942270381226183,0.963877502023507,0.021607120797323964,0.78125,0.6037298554840453,0.49426618924649895,32
origin_smoke64,Inferred-start,table_index,scale_specific,1,0.5,all,0.125,1.0,0.9461100079271724,0.9793686526184853,0.0332586446913129,0.9090909090909091,0.6814357154631435,0.26276391320546955,11
origin_smoke64,Inferred-start,table_index,scale_specific,1,1.0,all,0.25,1.0,0.9415364449564638,0.9661871336967749,0.024650688740311066,0.7272727272727273,0.6009364754478504,0.5000086573790069,11
origin_smoke64,Inferred-start,table_index,scale_specific,1,2.0,all,0.5,1.0,0.9388541217517854,0.9455497768836254,0.006695655131840006,0.7,0.53561741192271,0.5108990195882912,10
origin_smoke64,Inferred-start,table_index,scale_specific,1,all,all,"0.5:0.125,1.0:0.25,2.0:0.5",1.0,0.9422703812261829,0.9642691068220035,0.02199872559582074,0.78125,0.608195881851501,0.5000086573790069,32
knownstart_ar1_smoke64,Known-start_AR1,table_index,global,0,all,all,0.125,1.0,0.9438045444889516,0.9599122931497371,0.01610774866078557,0.8125,0.6494609597998044,0.34718734496800674,32
knownstart_ar1_smoke64,Known-start_AR1,table_index,scale_specific,0,0.5,all,0.125,1.0,0.9455406752211211,0.9814275699551153,0.0358868947339942,0.9090909090909091,0.6857869724803819,0.33658495247428877,11
knownstart_ar1_smoke64,Known-start_AR1,table_index,scale_specific,0,1.0,all,0.25,1.0,0.9417275422584861,0.9592255464481336,0.01749800418964753,0.7272727272727273,0.597465459305761,0.47150102696031143,11
knownstart_ar1_smoke64,Known-start_AR1,table_index,scale_specific,0,2.0,all,0.125,1.0,0.9441795031370772,0.9478431584452075,0.003663655308130287,0.8,0.6478907557864196,0.37095215555622585,10
