run_slug,run_label,split_key,calibration_mode,n_eval,selected_temperature_by_split,default_mean_feature_cosine,eval_mean_feature_cosine,delta_vs_default,eval_image_accuracy,eval_mean_true_mass,eval_median_N_eff_fraction
knownstart_ar1_full,Known-start_AR1_full,table_index,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.5;0.5:0.125,1.0:0.125,2.0:0.5",0.9111159916715064,0.937435564942103,0.026319573270596492,0.70703125,0.596612117424335,0.37201651645218464
knownstart_scale_prior_hybrid_predeclared_full,Scale-prior_hybrid_predeclared,table_index,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.25;0.5:0.125,1.0:0.125,2.0:0.5",0.9111573617036294,0.9372605759905058,0.026103214286876546,0.70703125,0.6056285711810574,0.372016516498367
knownstart_scale_prior_hybrid_posthoc_full,Scale-prior_hybrid_posthoc,table_index,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.25;0.5:0.125,1.0:0.125,2.0:0.5",0.9111573617118367,0.9372605758201873,0.02610321410835061,0.70703125,0.6056285706219519,0.37201651645218464
knownstart_scale_prior_hybrid_predeclared_full,Scale-prior_hybrid_predeclared,trial_id,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.25;0.5:0.125,1.0:0.125,2.0:0.5",0.9111573617036292,0.9366662400347815,0.02550887833115219,0.70703125,0.6043850807198177,0.3792243023120011
knownstart_scale_prior_hybrid_posthoc_full,Scale-prior_hybrid_posthoc,trial_id,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.25;0.5:0.125,1.0:0.125,2.0:0.5",0.9111573617118367,0.9366662398644628,0.025508878152626202,0.70703125,0.6043850801607121,0.37922430222636627
knownstart_scale_prior_hybrid_predeclared_full,Scale-prior_hybrid_predeclared,trial_id,scale_family_specific,768,"0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.125,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.25,2.0:axis_edge_parallel:0.25;0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.25,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.5,2.0:axis_edge_parallel:0.5",0.9111573617036294,0.936458879718816,0.025301518015186736,0.70703125,0.6004537332136556,0.4071667292903597
knownstart_scale_prior_hybrid_posthoc_full,Scale-prior_hybrid_posthoc,trial_id,scale_family_specific,768,"0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.125,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.25,2.0:axis_edge_parallel:0.25;0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.25,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.5,2.0:axis_edge_parallel:0.5",0.9111573617118367,0.9364588795434061,0.02530151783156943,0.70703125,0.6004537326498284,0.40716672924245406
knownstart_ar1_full,Known-start_AR1_full,trial_id,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.25;0.5:0.125,1.0:0.125,2.0:0.5",0.9111159916715064,0.9360749112019789,0.024958919530472617,0.70703125,0.6028515082439668,0.37922430222636627
knownstart_brownian8_full,Known-start_Brownian8_full,trial_id,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.25;0.5:0.125,1.0:0.125,2.0:0.5",0.91079732557555,0.9359732080570659,0.025175882481515772,0.69921875,0.6013914261585893,0.39002547380577757
knownstart_brownian8_full,Known-start_Brownian8_full,table_index,scale_specific,768,"0.5:0.125,1.0:0.25,2.0:0.25;0.5:0.125,1.0:0.125,2.0:0.5",0.9107973255755498,0.9359408273372593,0.02514350176170932,0.69921875,0.5924695180449935,0.4263601885141765
