run_slug,run_label,split_key,calibration_mode,n_eval,selected_temperature_by_split,default_mean_feature_cosine,eval_mean_feature_cosine,delta_vs_default,eval_image_accuracy,eval_mean_true_mass,eval_median_N_eff_fraction
catalog_residual_top2_shrink,Catalog residual top-2 shrink,table_index,global,768,0.125;0.125,0.9299503589078039,0.9725330153130823,0.04258265640527842,0.8502604166666666,0.7200979476100468,0.3147038286274129
catalog_residual_top2_shrink,Catalog residual top-2 shrink,table_index,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.125;0.5:0.125,1.0:0.125,2.0:0.125",0.9299503589078039,0.9725330153130823,0.042582656405278585,0.8502604166666666,0.7200979476100465,0.31225084230159483
catalog_residual_top2_shrink,Catalog residual top-2 shrink,trial_id,global,768,0.125;0.125,0.9299503589078038,0.9725330153130823,0.04258265640527864,0.8502604166666666,0.7200979476100465,0.3142845619325768
catalog_residual_top2_shrink,Catalog residual top-2 shrink,trial_id,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.125;0.5:0.125,1.0:0.125,2.0:0.125",0.9299503589078038,0.9725330153130823,0.04258265640527855,0.8502604166666666,0.7200979476100465,0.31617514921682854
catalog_residual_top2_shrink,Catalog residual top-2 shrink,trial_id,scale_family_specific,768,"0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.125,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.125,2.0:axis_edge_parallel:0.125;0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.125,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.125,2.0:axis_edge_parallel:0.125",0.9299503589078038,0.9725330153130823,0.042582656405278585,0.8502604166666666,0.7200979476100468,0.3148809070945928
noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,table_index,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.5;0.5:0.125,1.0:0.125,2.0:0.5",0.9107641759832686,0.9358345595810329,0.025070383597764423,0.7083333333333334,0.5929003071492361,0.37679994201062533
noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,table_index,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.5;0.5:0.125,1.0:0.125,2.0:0.5",0.9107301152458938,0.9357382295366735,0.025008114290779777,0.7096354166666666,0.5934026672157765,0.3767994084088989
noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,trial_id,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.25;0.5:0.125,1.0:0.125,2.0:0.5",0.9107641759832686,0.9343220346493913,0.023557858666122717,0.7083333333333334,0.5989976983018817,0.37147055549536534
noanchor_quadratic_scale_conditioned,No-anchor quadratic scale-conditioned,trial_id,scale_family_specific,768,"0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.125,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.25,2.0:axis_edge_parallel:0.25;0.5:axis_edge_orthogonal:0.125,0.5:axis_edge_parallel:0.125,1.0:axis_edge_orthogonal:0.25,1.0:axis_edge_parallel:0.125,2.0:axis_edge_orthogonal:0.5,2.0:axis_edge_parallel:0.5",0.9107641759832686,0.9342459242596656,0.02348174827639704,0.7083333333333334,0.5953176635014678,0.40996590684010836
noanchor_quadratic_scale_conditioned_iter160,No-anchor quadratic scale-conditioned iter160,trial_id,scale_specific,768,"0.5:0.125,1.0:0.125,2.0:0.25;0.5:0.125,1.0:0.125,2.0:0.5",0.9107301152458936,0.9342256832240411,0.02349556797814754,0.7096354166666666,0.5995000065529784,0.3693018950380865
