run_family,run_slug,run_label,observer_mode,latent,prior_scale,posterior_temperature,n,image_accuracy,mean_feature_cosine,median_feature_cosine,mean_true_mass,median_N_eff_fraction
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,0.5,0.125,256,0.875,0.9794655786052393,0.9991818554498557,0.7414234419815294,0.3122678955807088
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,0.5,0.25,256,0.875,0.9724229664120192,0.9920565290668668,0.669495672210237,0.4435819081772928
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,0.5,0.5,256,0.875,0.9553544558402163,0.9675867407105831,0.5687102828900117,0.6105124223043725
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,0.5,1.0,256,0.875,0.9290662315444711,0.9400192239836529,0.456507865417265,0.8080768494418473
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,0.5,2.0,256,0.875,0.8994616222046252,0.8996862088582251,0.3649865607062843,0.93368008740719
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,0.5,4.0,256,0.875,0.8763213819968751,0.8705438834097288,0.3091140205488325,0.9810428561776662
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,0.5,8.0,256,0.875,0.8620843534096,0.8574693379146319,0.2796477079048954,0.9951600932199722
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,0.5,16.0,256,0.875,0.8542355169745731,0.8480978371825764,0.26480394648227434,0.9987659215963443
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,1.0,0.125,256,0.8984375,0.9749428813795975,0.9995831940783735,0.7305078644440017,0.30010643096392553
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,1.0,0.25,256,0.8984375,0.9686894249929895,0.9943298425859173,0.6665911560619606,0.43148783811851066
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,1.0,0.5,256,0.8984375,0.9549781794622709,0.9723796117691291,0.5730624108632644,0.5882456167230562
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,1.0,1.0,256,0.8984375,0.9306750507504918,0.9446638372143761,0.46369987216481506,0.7994229992504098
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,1.0,2.0,256,0.8984375,0.9016902827140043,0.9056966831279122,0.37149556560719543,0.9296430345499599
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,1.0,4.0,256,0.8984375,0.8781650733294357,0.8749253896529818,0.31333062724068417,0.9793759569120355
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,1.0,8.0,256,0.8984375,0.8632928298291377,0.8586900388021491,0.28200352818334523,0.9948369427510744
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,1.0,16.0,256,0.8984375,0.8549396894131418,0.8482815081074926,0.26604599539582596,0.9987203546819664
catalog_residual,catalog_residual_top2_shrink,Catalog residual top-2 shrink,continuous_joint,pyramid_local_field,2.0,0.125,256,0.77734375,0.9631905859544105,0.9987542372521601,0.6883625364046085,0.3383403651000445
