trial_id,response_cache_path,prior_family,prior_scale,lag_model,lags,n_lags,n_candidates,n_trajectories,n_timebins,basis_dim,ridge,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1,median_coef_s3_over_s1
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,instant,0,1,4,16,40,10,0.01,-0.00210470241364491,-0.0021536642610802126,0.004244285208798132,7.350647803752802e-07,
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,lag0_1,"0,1",2,4,16,40,10,0.01,-3.425673361015513e-05,-0.00014992496065391325,0.012230914100110818,0.0837951093422344,1.8042713053728787e-07
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,0.005614659062290972,0.005358147460805096,0.02318220021558967,0.09129852975863019,0.039503169086583835
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,0.029046776303782718,0.029500467456712975,0.06103161766815174,0.25675558577928037,0.034168015215074336
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,lag0_1_2_4_8,"0,1,2,4,8",5,4,16,40,10,0.01,0.15961276370633576,0.157581158625139,0.21320587029146282,0.1738793290604238,0.07805890006498663
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,instant,0,1,4,16,40,10,0.01,-0.0005957387832822569,0.0002877757943813286,0.005570375681437784,4.441437988152023e-07,
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,lag0_1,"0,1",2,4,16,40,10,0.01,0.0022866226778295584,0.003372032852959228,0.01373167877545134,0.06790323935466468,1.1200668883560963e-07
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,0.008180904256739646,0.009553376885626741,0.024138534238352743,0.0884124182947787,0.03777429198798127
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,0.03297387204773719,0.033274911014302744,0.06170945242834672,0.245063182845485,0.03559984617702078
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,lag0_1_2_4_8,"0,1,2,4,8",5,4,16,40,10,0.01,0.16685264440867278,0.1613917162742861,0.21385702769108172,0.16659606187946008,0.09222437517436975
1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,axis_edge_parallel,1.0,instant,0,1,4,16,40,10,0.01,-0.003707662871857087,-0.004241386798268798,0.006906109452892439,9.810855001485447e-07,
1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,axis_edge_parallel,1.0,lag0_1,"0,1",2,4,16,40,10,0.01,-0.010947943741642374,-0.011424868587820325,0.007084801864289586,0.4612978813609304,1.552006651644764e-06
