run_label,run_slug,observer,accuracy,observer_label
"Catalog residual profile, k=10, coarse-to-fine anchors, keep 16",catalog_residual_c2f_k10_sched6_0_keep16_topk2_shrink0p19,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"Catalog residual profile, k=10, coarse-to-fine anchors, keep 16",catalog_residual_c2f_k10_sched6_0_keep16_topk2_shrink0p19,continuous_joint_accuracy,0.8502604166666666,continuous joint
"Catalog residual profile, k=10, coarse-to-fine anchors, keep 16",catalog_residual_c2f_k10_sched6_0_keep16_topk2_shrink0p19,joint_accuracy,0.76953125,finite joint
"Catalog residual profile, k=10, coarse-to-fine anchors, keep 16",catalog_residual_c2f_k10_sched6_0_keep16_topk2_shrink0p19,known_accuracy,1.0,known eye
"Catalog residual profile, k=10, coarse-to-fine anchors, keep 16",catalog_residual_c2f_k10_sched6_0_keep16_topk2_shrink0p19,zero_accuracy,0.4453125,zero eye
"Catalog residual profile, k=10, coarse-to-fine anchors, keep 4",catalog_residual_c2f_k10_sched6_0_keep4_topk2_shrink0p19,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"Catalog residual profile, k=10, coarse-to-fine anchors, keep 4",catalog_residual_c2f_k10_sched6_0_keep4_topk2_shrink0p19,continuous_joint_accuracy,0.8424479166666666,continuous joint
"Catalog residual profile, k=10, coarse-to-fine anchors, keep 4",catalog_residual_c2f_k10_sched6_0_keep4_topk2_shrink0p19,joint_accuracy,0.76953125,finite joint
"Catalog residual profile, k=10, coarse-to-fine anchors, keep 4",catalog_residual_c2f_k10_sched6_0_keep4_topk2_shrink0p19,known_accuracy,1.0,known eye
"Catalog residual profile, k=10, coarse-to-fine anchors, keep 4",catalog_residual_c2f_k10_sched6_0_keep4_topk2_shrink0p19,zero_accuracy,0.4453125,zero eye
"Catalog residual profile, k=10, coarse-to-fine anchors, keep 8",catalog_residual_c2f_k10_sched6_0_keep8_topk2_shrink0p19,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"Catalog residual profile, k=10, coarse-to-fine anchors, keep 8",catalog_residual_c2f_k10_sched6_0_keep8_topk2_shrink0p19,continuous_joint_accuracy,0.8450520833333334,continuous joint
"Catalog residual profile, k=10, coarse-to-fine anchors, keep 8",catalog_residual_c2f_k10_sched6_0_keep8_topk2_shrink0p19,joint_accuracy,0.76953125,finite joint
"Catalog residual profile, k=10, coarse-to-fine anchors, keep 8",catalog_residual_c2f_k10_sched6_0_keep8_topk2_shrink0p19,known_accuracy,1.0,known eye
"Catalog residual profile, k=10, coarse-to-fine anchors, keep 8",catalog_residual_c2f_k10_sched6_0_keep8_topk2_shrink0p19,zero_accuracy,0.4453125,zero eye
"Catalog residual profile, k=10, smooth A(t)",catalog_residual_k10_timevary_smooth,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"Catalog residual profile, k=10, smooth A(t)",catalog_residual_k10_timevary_smooth,continuous_joint_accuracy,0.7981770833333334,continuous joint
"Catalog residual profile, k=10, smooth A(t)",catalog_residual_k10_timevary_smooth,joint_accuracy,0.76953125,finite joint
"Catalog residual profile, k=10, smooth A(t)",catalog_residual_k10_timevary_smooth,known_accuracy,1.0,known eye
"Catalog residual profile, k=10, smooth A(t)",catalog_residual_k10_timevary_smooth,zero_accuracy,0.4453125,zero eye
"Catalog residual profile, k=10, smooth A(t), shrunk top-2 anchors",catalog_residual_k10_timevary_smooth_topk2_shrink0p2,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"Catalog residual profile, k=10, smooth A(t), shrunk top-2 anchors",catalog_residual_k10_timevary_smooth_topk2_shrink0p2,continuous_joint_accuracy,0.8489583333333334,continuous joint
"Catalog residual profile, k=10, smooth A(t), shrunk top-2 anchors",catalog_residual_k10_timevary_smooth_topk2_shrink0p2,joint_accuracy,0.76953125,finite joint
"Catalog residual profile, k=10, smooth A(t), shrunk top-2 anchors",catalog_residual_k10_timevary_smooth_topk2_shrink0p2,known_accuracy,1.0,known eye
"Catalog residual profile, k=10, smooth A(t), shrunk top-2 anchors",catalog_residual_k10_timevary_smooth_topk2_shrink0p2,zero_accuracy,0.4453125,zero eye
"Catalog residual profile, k=10, smooth A(t), shrunk top-2 anchors, fine scan",catalog_residual_k10_timevary_smooth_topk2_shrink0p19,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"Catalog residual profile, k=10, smooth A(t), shrunk top-2 anchors, fine scan",catalog_residual_k10_timevary_smooth_topk2_shrink0p19,continuous_joint_accuracy,0.8502604166666666,continuous joint
"Catalog residual profile, k=10, smooth A(t), shrunk top-2 anchors, fine scan",catalog_residual_k10_timevary_smooth_topk2_shrink0p19,joint_accuracy,0.76953125,finite joint
