poly_model,degree,include_intercept,prior_scale,n_tables,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1,median_coef_s3_over_s1
linear,1,False,0.5,256,-0.0016427869704836186,-0.0016441066128146248,0.0072777352817210705,0.003616906160050137,
quadratic,2,False,0.5,256,-0.04197356416098909,0.16890434694501372,0.3627955577598858,0.005974850470214106,1.8477776775985777e-05
cubic,3,False,0.5,256,-1.0820827864950255,0.13443561885576072,0.41613024113149805,0.034874204349462715,0.0012359675689582656
affine_linear,1,True,0.5,256,0.38178966382280544,0.3828457251554145,0.44868055865857037,0.2052683085628624,0.0013807035454547472
affine_quadratic,2,True,0.5,256,0.40774662908030257,0.4620930236044528,0.5827628446134836,0.00874046022673567,0.0016513488222853429
linear,1,False,1.0,256,-0.0009951321424377956,-0.0008124104591638176,0.004698420843132937,0.0060392987750345515,
quadratic,2,False,1.0,256,0.15844625051914119,0.25785100402919164,0.3097810240444982,0.006056174535863956,4.068243674888971e-05
cubic,3,False,1.0,256,-0.37531634510632295,0.1557803209474715,0.35278183525491824,0.06571168838229077,0.0018916189991099027
affine_linear,1,True,1.0,256,0.6332423352443197,0.6403989211656433,0.6625182970246197,0.2223191394459149,0.0020433368969360903
affine_quadratic,2,True,1.0,256,0.6584100466339955,0.6699629766839048,0.7041262666389545,0.016708184068486488,0.00726664976687709
linear,1,False,2.0,256,0.00048274052690372785,-6.286321162506103e-05,0.003211776915096446,0.011241738983963908,
quadratic,2,False,2.0,256,0.13055794963919667,0.26736361070406234,0.28984255199855286,0.00595451430143208,8.841852492992935e-05
cubic,3,False,2.0,256,-0.1992607149125153,0.25589081012462983,0.3532310275415574,0.04108094485419413,0.001860339816212653
affine_linear,1,True,2.0,256,0.791387304942004,0.7936009719490021,0.8002937595666586,0.17073669476567505,0.002813951998271325
affine_quadratic,2,True,2.0,256,0.7893832002779796,0.7936927101631177,0.804388269338419,0.11217901175023368,0.03426972739911743
