poly_model,degree,include_intercept,prior_scale,n_tables,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1,median_coef_s3_over_s1
linear,1,False,0.5,32,-0.003521425107587915,-0.0022759021634735643,0.003721574982781613,8.034629324562656e-05,
quadratic,2,False,0.5,32,0.18855933755667378,0.2581219130112926,0.41313585730750385,0.0044337981997581944,3.3528530599338573e-07
cubic,3,False,0.5,32,0.098600810730234,0.22168828814004177,0.43856449843247286,0.06278698903477228,0.0022915531350140173
affine_linear,1,True,0.5,32,0.3907195113636192,0.39360732458471714,0.4516531953265807,0.22420469526527884,3.334069243834798e-05
affine_quadratic,2,True,0.5,32,0.49779270439230383,0.5084270221406779,0.6118687475649203,0.007165988010826438,0.0017997810686972582
linear,1,False,1.0,32,-0.0019447871654371509,-0.0014237879084190996,0.004722921119231321,9.20461736976766e-05,
quadratic,2,False,1.0,32,0.1697227383884635,0.2782545877417985,0.3178478176183337,0.005518059968519884,5.805447598188092e-07
cubic,3,False,1.0,32,-0.19655268565104542,0.20142389455075188,0.33983750765978415,0.14939564125698296,0.0028696185323334837
affine_linear,1,True,1.0,32,0.6221119628508316,0.6323953738068626,0.6563293875094087,0.20750059184899927,3.068679832458966e-05
affine_quadratic,2,True,1.0,32,0.6546537691296953,0.6623948021438133,0.7046168132788138,0.018644562211341226,0.006851447665616404
linear,1,False,2.0,32,-0.00023618988076504113,-0.00038201958287796545,0.0030359317516636753,0.0001404942494435672,
quadratic,2,False,2.0,32,0.07944347391711809,0.24854832853367473,0.30432305382341485,0.005523125519789247,1.1126432653274285e-06
cubic,3,False,2.0,32,-0.5591302875128051,0.23295879009644122,0.36726028176164127,0.07612395558442062,0.0016965524935750604
affine_linear,1,True,2.0,32,0.7965367597511098,0.8031581352404719,0.8058031219999348,0.17073446249442836,4.1631443205505616e-05
affine_quadratic,2,True,2.0,32,0.7938853938598294,0.801612276647201,0.8112256231667146,0.09908623817721013,0.027201513692057727
