calibration_mode,eval_split,prior_scale,prior_family,selected_encoder_slug,selected_encoder_label,selected_temperature,train_mean_feature_cosine,n_eval,image_accuracy,mean_feature_cosine,mean_true_mass,median_N_eff_fraction
axis_encoder_only_default_temp,0,0.5,axis_edge_orthogonal,k10_ridge0p01,"k=10, ridge 0.01",1.0,0.9163495598294034,64,0.796875,0.9229814748173307,0.4546525650077632,0.8384594676342423
axis_encoder_only_default_temp,0,0.5,axis_edge_parallel,k10_ridge0p01,"k=10, ridge 0.01",1.0,0.9133308593095014,64,0.84375,0.919221214369634,0.44309463458236,0.8504142997864588
axis_encoder_only_default_temp,0,1.0,axis_edge_orthogonal,k10_ridge0p01,"k=10, ridge 0.01",1.0,0.9108911498446668,64,0.703125,0.91020835899956,0.4014262927056814,0.8356706872103021
axis_encoder_only_default_temp,0,1.0,axis_edge_parallel,k10_ridge0p01,"k=10, ridge 0.01",1.0,0.909474205233286,64,0.6875,0.9076633473595275,0.39325379883288325,0.8437268164586827
axis_encoder_only_default_temp,0,2.0,axis_edge_orthogonal,k10_ridge0p01,"k=10, ridge 0.01",1.0,0.9044219450976868,64,0.609375,0.9041959492844543,0.42558027627124273,0.832902891635823
axis_encoder_only_default_temp,0,2.0,axis_edge_parallel,k20_ridge0p1,"k=20, ridge 0.1",1.0,0.9135400067401072,64,0.59375,0.8956078143493905,0.41196409411446344,0.8041733887191924
axis_encoder_only_default_temp,0,all,all,"0.5:axis_edge_orthogonal:k10_ridge0p01@1,0.5:axis_edge_parallel:k10_ridge0p01@1,1:axis_edge_orthogonal:k10_ridge0p01@1,1:axis_edge_parallel:k10_ridge0p01@1,2:axis_edge_orthogonal:k10_ridge0p01@1,2:axis_edge_parallel:k20_ridge0p1@1","0.5:axis_edge_orthogonal:k10_ridge0p01@1,0.5:axis_edge_parallel:k10_ridge0p01@1,1:axis_edge_orthogonal:k10_ridge0p01@1,1:axis_edge_parallel:k10_ridge0p01@1,2:axis_edge_orthogonal:k10_ridge0p01@1,2:axis_edge_parallel:k20_ridge0p1@1",,,384,0.7057291666666666,0.9099796931966496,0.42166194358573234,0.83215447478956
axis_encoder_only_default_temp,1,0.5,axis_edge_orthogonal,k10_ridge0p01,"k=10, ridge 0.01",1.0,0.9229814748173307,64,0.8125,0.9163495598294034,0.4090301485277934,0.8248911401162033
axis_encoder_only_default_temp,1,0.5,axis_edge_parallel,k10_ridge0p01,"k=10, ridge 0.01",1.0,0.919221214369634,64,0.8125,0.9133308593095014,0.40027785485895334,0.8432795914625881
axis_encoder_only_default_temp,1,1.0,axis_edge_orthogonal,k20_ridge0p1,"k=20, ridge 0.1",1.0,0.910444440914388,64,0.6875,0.9102140078640137,0.4325381484488463,0.8447840715977384
axis_encoder_only_default_temp,1,1.0,axis_edge_parallel,k20_ridge0p1,"k=20, ridge 0.1",1.0,0.9113177364998631,64,0.671875,0.9093662270115148,0.4235313450779651,0.9013242060899918
axis_encoder_only_default_temp,1,2.0,axis_edge_orthogonal,k10_ridge0p01,"k=10, ridge 0.01",1.0,0.9041959492844545,64,0.578125,0.9044219450976867,0.39687099238028817,0.827551908009049
axis_encoder_only_default_temp,1,2.0,axis_edge_parallel,k20_ridge0p1,"k=20, ridge 0.1",1.0,0.8956078143493905,64,0.640625,0.9135400067401072,0.4158044986732113,0.8049194383411586
axis_encoder_only_default_temp,1,all,all,"0.5:axis_edge_orthogonal:k10_ridge0p01@1,0.5:axis_edge_parallel:k10_ridge0p01@1,1:axis_edge_orthogonal:k20_ridge0p1@1,1:axis_edge_parallel:k20_ridge0p1@1,2:axis_edge_orthogonal:k10_ridge0p01@1,2:axis_edge_parallel:k20_ridge0p1@1","0.5:axis_edge_orthogonal:k10_ridge0p01@1,0.5:axis_edge_parallel:k10_ridge0p01@1,1:axis_edge_orthogonal:k20_ridge0p1@1,1:axis_edge_parallel:k20_ridge0p1@1,2:axis_edge_orthogonal:k10_ridge0p01@1,2:axis_edge_parallel:k20_ridge0p1@1",,,384,0.7005208333333334,0.9112037676420378,0.4130088313278429,0.8358677625643072
axis_encoder_and_temperature,0,0.5,axis_edge_orthogonal,k10_ridge0p01,"k=10, ridge 0.01",0.125,0.9501875377099824,64,0.796875,0.9669245148493337,0.7201018131878868,0.29701485454843657
axis_encoder_and_temperature,0,0.5,axis_edge_parallel,k10_ridge0p01,"k=10, ridge 0.01",0.125,0.9479182164019161,64,0.84375,0.9671409309533899,0.7115283447634488,0.31214567143986305
axis_encoder_and_temperature,0,1.0,axis_edge_orthogonal,k20_ridge0p1,"k=20, ridge 0.1",0.125,0.9370866023568809,64,0.71875,0.9360557672484122,0.6106201270405951,0.3596135603869138
axis_encoder_and_temperature,0,1.0,axis_edge_parallel,k20_ridge0p1,"k=20, ridge 0.1",0.125,0.9410682843235142,64,0.734375,0.9403521251335563,0.6132085589466658,0.43091286758204905
axis_encoder_and_temperature,0,2.0,axis_edge_orthogonal,k20_ridge0p1,"k=20, ridge 0.1",0.25,0.9163453750484023,64,0.5625,0.8985772509054518,0.5199178950703907,0.45486243922076486
axis_encoder_and_temperature,0,2.0,axis_edge_parallel,k20_ridge0p1,"k=20, ridge 0.1",0.25,0.9261481795494562,64,0.59375,0.8871069644561738,0.5036928232458213,0.4660283217681742
axis_encoder_and_temperature,0,all,all,"0.5:axis_edge_orthogonal:k10_ridge0p01@0.125,0.5:axis_edge_parallel:k10_ridge0p01@0.125,1:axis_edge_orthogonal:k20_ridge0p1@0.125,1:axis_edge_parallel:k20_ridge0p1@0.125,2:axis_edge_orthogonal:k20_ridge0p1@0.25,2:axis_edge_parallel:k20_ridge0p1@0.25","0.5:axis_edge_orthogonal:k10_ridge0p01@0.125,0.5:axis_edge_parallel:k10_ridge0p01@0.125,1:axis_edge_orthogonal:k20_ridge0p1@0.125,1:axis_edge_parallel:k20_ridge0p1@0.125,2:axis_edge_orthogonal:k20_ridge0p1@0.25,2:axis_edge_parallel:k20_ridge0p1@0.25",,,384,0.7083333333333334,0.932692925591053,0.6131782603758014,0.4104844466407843
axis_encoder_and_temperature,1,0.5,axis_edge_orthogonal,k10_ridge0p01,"k=10, ridge 0.01",0.125,0.9669245148493337,64,0.8125,0.9501875377099824,0.6584932344846857,0.3182905107513408
axis_encoder_and_temperature,1,0.5,axis_edge_parallel,k20_ridge0p1,"k=20, ridge 0.1",0.125,0.9691480252614579,64,0.765625,0.9301479792818399,0.6220738640881083,0.3374639011139341
axis_encoder_and_temperature,1,1.0,axis_edge_orthogonal,k20_ridge0p1,"k=20, ridge 0.1",0.25,0.93680061669693,64,0.6875,0.9361732093269743,0.5736954448654281,0.4965834558187805
axis_encoder_and_temperature,1,1.0,axis_edge_parallel,k20_ridge0p1,"k=20, ridge 0.1",0.125,0.9403521251335563,64,0.671875,0.9410682843235141,0.63144865068395,0.352366275939062
axis_encoder_and_temperature,1,2.0,axis_edge_orthogonal,k10_ridge0p01,"k=10, ridge 0.01",0.5,0.9153344889854778,64,0.578125,0.912635980392164,0.457328716716699,0.6665885877117336
axis_encoder_and_temperature,1,2.0,axis_edge_parallel,k10_ridge0p01,"k=10, ridge 0.01",0.5,0.8979602886926458,64,0.59375,0.9131991294877719,0.4666988734029359,0.6798441498111603
axis_encoder_and_temperature,1,all,all,"0.5:axis_edge_orthogonal:k10_ridge0p01@0.125,0.5:axis_edge_parallel:k20_ridge0p1@0.125,1:axis_edge_orthogonal:k20_ridge0p1@0.25,1:axis_edge_parallel:k20_ridge0p1@0.125,2:axis_edge_orthogonal:k10_ridge0p01@0.5,2:axis_edge_parallel:k10_ridge0p01@0.5","0.5:axis_edge_orthogonal:k10_ridge0p01@0.125,0.5:axis_edge_parallel:k20_ridge0p1@0.125,1:axis_edge_orthogonal:k20_ridge0p1@0.25,1:axis_edge_parallel:k20_ridge0p1@0.125,2:axis_edge_orthogonal:k10_ridge0p01@0.5,2:axis_edge_parallel:k10_ridge0p01@0.5",,,384,0.6848958333333334,0.9305686867537079,0.5682897973736345,0.4915657613845632
