table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,n_candidates,n_trajectories,n_timebins,n_units,basis_dim,ridge,alpha,process_var,observation_var_floor,trajectory_initial_position,trajectory_initial_position_var,optimizer_max_iter,quadratic_continuation_scales,observation_continuation_scales,observer_mode,candidate_index,candidate_id,is_true_candidate,candidate_score,candidate_posterior
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,zero,0,source_row:25,True,-594.7724362947597,3.7398289112434944e-05
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,zero,1,source_row:9427,False,-588.8324277717068,0.014209037442642269
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,zero,2,source_row:9142,False,-586.8739894592713,0.10071719241750561
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,zero,3,source_row:11021,False,-584.700677231195,0.8850363718507865
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,joint,0,source_row:25,True,-556.7730129532251,0.23942941942192286
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,joint,1,source_row:9427,False,-556.3998621753105,0.34772413560546817
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,joint,2,source_row:9142,False,-556.2673783624725,0.3969829229296257
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,joint,3,source_row:11021,False,-559.4872493645834,0.015863522043013698
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,best_single_tau,0,source_row:25,True,-554.9915224701324,0.24825368840249826
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,best_single_tau,1,source_row:9427,False,-554.6305297370523,0.35618273278745505
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,best_single_tau,2,source_row:9142,False,-554.5500754777132,0.3860234630987355
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,best_single_tau,3,source_row:11021,False,-558.2504680161028,0.009540115711338913
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,linear_continuous,0,source_row:25,True,-445.52223731569967,8.688404593688043e-58
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,linear_continuous,1,source_row:9427,False,-314.13432899233766,0.9999622617818019
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,linear_continuous,2,source_row:9142,False,-324.3191284852081,3.7738218194123e-05
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,linear_continuous,3,source_row:11021,False,-465.90852262612776,1.216995072232418e-66
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_profile,0,source_row:25,True,-102.97725234893598,3.6014017332322686e-08
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_profile,1,source_row:9427,False,-103.18220206606541,2.9340197845250598e-08
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_profile,2,source_row:9142,False,-85.83789481035723,0.9999999346457876
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_profile,3,source_row:11021,False,-241.96838170138847,1.5609574253613943e-68
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_poisson,0,source_row:25,True,-558.3732566088809,0.25738875679790174
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,20,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_poisson,1,source_row:9427,False,-558.0834179776876,0.3439259063021607
