table_index,trial_id,response_cache_path,prior_scale,candidate_index,true_candidate_index,n_fit_trajectories,n_fit_samples,linear_train_r2,linear_residual_var,quadratic_train_r2,quadratic_residual_var,profile_energy,profile_start_index,optimizer_success,optimizer_iterations,optimizer_final_iterations,optimizer_stage_success_fraction,quadratic_continuation_scales,observation_continuation_scales,trajectory_hat_rms,trajectory_hat_temporal_std_mean
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,0,0,16,640,0.004594343442654192,2.463252199156756e-05,0.08300890013520101,2.2692058543862702e-05,21.444609431591715,0,True,74,74,1.0,1,1,0.08196015328267897,0.025910059847940793
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,1,0,16,640,0.006614010722574726,2.3493361049946126e-05,0.08179355672574518,2.1715381254692277e-05,24.124907383638185,0,True,55,55,1.0,1,1,0.0526779134510107,0.02823247788359047
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,2,0,16,640,0.003571532575395553,3.076864681564946e-05,0.08292392406049498,2.831832972074278e-05,32.58097442962831,0,True,57,57,1.0,1,1,0.045323346219707565,0.026834713281785987
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,3,0,16,640,0.0036199640935021815,1.8108616578245214e-05,0.10450853499790802,1.627502660072941e-05,188.6897632246314,1,True,58,58,1.0,1,1,0.022562198544366384,0.01755551604257899
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,0,0,16,640,0.007120347634073765,3.056527505538578e-05,0.0868474129477137,2.811091951001501e-05,21.00045242692233,0,True,66,66,1.0,1,1,0.06756815634429963,0.023711346027442202
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,1,0,16,640,0.007143919743454963,3.128419439806397e-05,0.08372767566584927,2.8871094296596097e-05,20.37824735905597,1,True,55,55,1.0,1,1,0.04365840612084172,0.027473247274038465
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,2,0,16,640,0.005738597738344842,3.378659401558212e-05,0.08439314112740881,3.1113786724740575e-05,31.971072477361275,1,True,72,72,1.0,1,1,0.03821577516392146,0.030074338902988197
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,3,0,16,640,0.0023550338183468966,3.120216198243011e-05,0.09088707415690045,2.8433250037882093e-05,108.42786012786767,1,True,60,60,1.0,1,1,0.017676026651453455,0.013727976884023609
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,0,0,16,640,0.007728371212646579,6.905701929458114e-05,0.20756310277283074,5.514954626731749e-05,51.906277646752244,1,False,80,80,0.0,1,1,0.1261948361660334,0.03422195463692382
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,1,0,16,640,0.010285966646911837,6.927374715840829e-05,0.20292300297088917,5.579036822475675e-05,47.01406153013342,0,True,74,74,1.0,1,1,0.11015479957699238,0.03276436989183554
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,2,0,16,640,0.0064736131843304845,8.600135694526673e-05,0.2086165352975704,6.850351709992663e-05,35.60076132269788,0,False,80,80,0.0,1,1,0.10369254705717991,0.02911034498318347
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,3,0,16,640,0.0041937602798852724,5.288702861913859e-05,0.23872878379536622,4.0430930227608264e-05,110.27441165531489,0,True,64,64,1.0,1,1,0.09449496511388315,0.02444181324749938
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,1.0,0,0,16,640,0.010192289093692075,8.343800706577496e-05,0.20984142803214756,6.660814599087012e-05,42.174913925104924,1,True,79,79,1.0,1,1,0.11125263922967639,0.02951751908815966
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,1.0,1,0,16,640,0.010383969715816788,8.67924911865758e-05,0.20500182809917544,6.972388251252543e-05,36.36494096783015,1,True,74,74,1.0,1,1,0.1010701399111763,0.03090601715288091
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,1.0,2,0,16,640,0.009098346214968966,9.27207312419508e-05,0.21144670959116962,7.378657350168775e-05,35.94777495275244,1,False,80,80,0.0,1,1,0.09593557458011916,0.028098933791514104
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,1.0,3,0,16,640,0.001929994949777858,7.940961906904104e-05,0.21957107903620532,6.209340327894055e-05,69.33548381294585,0,True,63,63,1.0,1,1,0.08995349046693116,0.022583815649820104
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,0,0,16,640,0.004031778616739867,0.00012178213514922433,0.3631406971554829,7.787204855023835e-05,94.89482491588431,0,True,79,79,1.0,1,1,0.14484689419884322,0.02864015527077008
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,1,0,16,640,0.008165014004383186,0.00012391281452784245,0.35680124967953,8.035668087771272e-05,93.9949054152818,1,True,78,78,1.0,1,1,0.13830513650819196,0.029518293816885276
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,2,0,16,640,0.0035142911434948854,0.00014999240538145843,0.35742772826145064,9.672086595209979e-05,78.50194410705753,0,True,77,77,1.0,1,1,0.1293310729595356,0.026093202812424884
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,3,0,16,640,0.0054900206016151865,9.134012146834682e-05,0.37251304380610173,5.763113089445885e-05,215.2576227738229,0,True,70,70,1.0,1,1,0.13577270377146816,0.022131038823721
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,0,0,16,640,0.003912367149650486,0.00015361498445393842,0.3543653123585505,9.956871186238807e-05,72.74046249718077,1,False,80,80,0.0,1,1,0.13705055327975152,0.027390062426928805
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,1,0,16,640,0.005931206887137996,0.0001643272655366261,0.35292940184390675,0.00010696577816427584,68.83100063745414,1,False,80,80,0.0,1,1,0.1301913066941085,0.02799759238557753
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,2,0,16,640,0.0042514350635382,0.00016455204099737885,0.3496749023965915,0.00010746922053489365,72.47685612760648,1,False,80,80,0.0,1,1,0.12590609654440676,0.02553270121492249
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,3,0,16,640,0.003094098296277603,0.00013119989213819492,0.36895319793644044,8.305023796468382e-05,138.22674977621654,0,True,67,67,1.0,1,1,0.12644495874959988,0.02049575269769093
6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,0,0,16,640,0.0018996772124957317,1.6249528903627468e-05,0.09711737508979101,1.4699341313793991e-05,555.1085515765832,0,True,59,59,1.0,1,1,0.251039458403197,0.03992662193450932
6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,1,0,16,640,0.0014749112719687485,2.2353586108465504e-05,0.07455174169843093,2.071764401756369e-05,760.9306571976903,0,False,80,80,0.0,1,1,0.27891939196607396,0.05669977083691999
6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,2,0,16,640,0.0034487314644100486,1.7751974805278273e-05,0.09217545044520759,1.617144951808792e-05,475.90009565381365,1,True,59,59,1.0,1,1,0.22859630707822565,0.04007387639507027
6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,3,0,16,640,0.0009483179153612076,1.8309049182481388e-05,0.09866411638658934,1.6518267592101577e-05,461.36138168572927,1,True,51,51,1.0,1,1,0.23972238708022708,0.03955238792457978
7,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,0,0,16,640,0.0010745079674195912,3.334979927302484e-05,0.08344325099958783,3.0599863398523625e-05,253.96969643650397,0,True,52,52,1.0,1,1,0.22124782809418253,0.03469477880410077
7,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,1,0,16,640,0.003310560743785107,2.708105918624565e-05,0.07468065300368687,2.5141861662430652e-05,552.4329046173451,0,True,74,74,1.0,1,1,0.2564196350293374,0.05589206117148919
7,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,2,0,16,640,0.0015248288792075737,3.196172638699535e-05,0.08041460111565601,2.9436422415617266e-05,253.1459426594838,2,True,61,61,1.0,1,1,0.21085537678919072,0.035992960001644723
7,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,3,0,16,640,0.0010543312654668346,3.236733091443754e-05,0.08330644086974992,2.970223977555208e-05,236.99171154061594,2,True,57,57,1.0,1,1,0.21507102768170341,0.03512612647538763
8,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,0,0,16,640,0.007001895205776099,4.272025645892409e-05,0.192839229296227,3.4725257743763395e-05,189.59519040726136,1,True,57,57,1.0,1,1,0.16566718344999762,0.0265650157549224
8,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,1,0,16,640,0.0015308098349816612,5.92775735749389e-05,0.18624953912127418,4.8311107935545706e-05,187.0959173255381,1,True,79,79,1.0,1,1,0.16433164895408847,0.03113929549128881
