table_index,trial_id,response_cache_path,prior_scale,candidate_index,true_candidate_index,n_fit_trajectories,n_fit_samples,linear_train_r2,linear_residual_var,quadratic_train_r2,quadratic_residual_var,profile_energy,profile_start_index,optimizer_success,optimizer_iterations,optimizer_final_iterations,optimizer_stage_success_fraction,quadratic_continuation_scales,observation_continuation_scales,trajectory_hat_rms,trajectory_hat_temporal_std_mean
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,0,0,16,640,0.004032852866383885,0.00012178200379521872,0.48174442460295885,6.336976338179206e-05,102.97725234893598,1,False,80,80,0.0,1,1,0.10899585212790464,0.020932585785490405
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,1,0,16,640,0.008167189536349984,0.00012391254273233927,0.47898294335867986,6.509216837176945e-05,103.18220206606541,1,False,80,80,0.0,1,1,0.10436637399941291,0.02157359350993864
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,2,0,16,640,0.0035152275108830677,0.00014999226443814572,0.4731918915407426,7.929588418576991e-05,85.83789481035723,1,False,80,80,0.0,1,1,0.09728583381662956,0.01928474032437739
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,3,0,16,640,0.005491483393403329,9.133998711918755e-05,0.4597742662917461,4.961668073666676e-05,241.96838170138847,0,False,80,80,0.0,1,1,0.10725124266951934,0.01725969648826041
1,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,0,0,16,640,0.006842587314811133,6.871535919086116e-05,0.1466752257388202,5.9040508202302564e-05,115.53231733409798,1,True,52,52,1.0,1,1,0.15122516354982857,0.025252100967592714
1,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,1,0,16,640,0.006074868678448753,9.29769911579751e-05,0.16220489891901502,7.837176589128931e-05,128.5304913941757,1,False,80,80,0.0,1,1,0.1433062170098008,0.02803314306559157
1,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,2,0,16,640,0.006657968217581245,7.839642641477532e-05,0.1428613428588974,6.764699923272802e-05,100.3047263865699,1,True,56,56,1.0,1,1,0.13786581900088152,0.02509947591757676
1,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,3,0,16,640,0.004263942143434729,7.390214127033007e-05,0.14147209991215237,6.371874319123172e-05,102.75639799486457,0,True,51,51,1.0,1,1,0.14512179108468265,0.02541505496313867
2,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,0,0,16,640,0.002149619149308113,6.742015180040698e-05,0.3956852611330425,4.083076201754734e-05,75.98416671858526,1,False,80,80,0.0,1,1,0.10436457396482558,0.014275418838486823
2,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,1,0,16,640,0.0008353700359847727,3.0517592774406464e-05,0.3981412490155686,1.838263657403213e-05,686.2715314147805,1,True,46,46,1.0,1,1,0.14587443183231694,0.016377418847823053
2,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,2,0,16,640,0.003843067749953688,9.674952015987507e-05,0.3931429962687544,5.893963291912312e-05,241.9246899202761,0,True,67,67,1.0,1,1,0.10066781176297734,0.018296497986710153
2,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,3,0,16,640,0.0008263173299255522,9.146428387540215e-05,0.3804254083922398,5.671581158679349e-05,148.7556434402323,0,True,12,12,1.0,1,1,0.09280192135548462,0.012033987193129564
3,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,0,0,16,640,0.006239196508372902,8.911076866831954e-05,0.3251164499450462,6.05169691697424e-05,79.41600216058984,1,True,75,75,1.0,1,1,0.09981567245538282,0.017513145690589378
3,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,1,0,16,640,0.006193745563849551,0.0001305467080367307,0.3109732505774513,9.051077459499139e-05,58.61987542269405,0,True,76,76,1.0,1,1,0.09547726455851857,0.018551024739616416
3,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,2,0,16,640,0.0005175835745073742,9.694180383119901e-05,0.32594104720737305,6.537832952177548e-05,89.4163270856542,0,True,75,75,1.0,1,1,0.11470370655160825,0.02039223510668223
3,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,3,0,16,640,0.006629982478614682,8.777644229068633e-05,0.3010134684000634,6.176404549237162e-05,99.22329151077584,1,True,48,48,1.0,1,1,0.117883202007664,0.016454838988291615
4,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,0,0,16,640,0.00523322514133806,4.985757267106697e-05,0.3956893532349878,3.028796573072811e-05,111.6863796113285,1,False,80,80,0.0,1,1,0.10892879017871322,0.021661660732023233
4,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,1,0,16,640,0.0008369058795314466,0.00010980476677158704,0.3969878207865176,6.626907267551612e-05,73.5910470899352,1,False,80,80,0.0,1,1,0.0946625472133209,0.02065711050667157
4,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,2,0,16,640,0.0011112792905813018,7.753868688310095e-05,0.4321424310096793,4.407991533317971e-05,212.93628396909233,1,True,40,40,1.0,1,1,0.09532068522245477,0.017067431216096676
4,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,3,0,16,640,0.00210579164075797,4.06868050633882e-05,0.36615421790827773,2.5843580972996924e-05,135.15182632876056,1,False,80,80,0.0,1,1,0.12242788658163105,0.022945760443554588
5,17,response_tables/trial_00017_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,0,0,16,640,0.0008412228435842328,0.00010917201406686167,0.25007030342132575,8.194026540711415e-05,70.7297982358648,1,False,80,80,0.0,1,1,0.1223039094963851,0.025104799390587785
5,17,response_tables/trial_00017_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,1,0,16,640,0.0008412228435842328,0.00010917201406686167,0.25007030342132575,8.194026540711415e-05,70.7297982358648,1,False,80,80,0.0,1,1,0.1223039094963851,0.025104799390587785
5,17,response_tables/trial_00017_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,2,0,16,640,0.005543162082022657,2.7417461584313762e-05,0.16862140383699065,2.292134746646499e-05,473.02470460447427,1,True,74,74,1.0,1,1,0.2320357541677024,0.03345602251462933
