table_index,trial_id,response_cache_path,prior_scale,candidate_index,true_candidate_index,n_fit_trajectories,n_fit_samples,linear_train_r2,linear_residual_var,quadratic_train_r2,quadratic_residual_var,profile_energy,profile_start_index,optimizer_success,optimizer_iterations,optimizer_final_iterations,optimizer_stage_success_fraction,quadratic_continuation_scales,observation_continuation_scales,trajectory_hat_rms,trajectory_hat_temporal_std_mean
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,0,0,16,640,0.004355106995195035,4.759601871841547e-05,0.3958136841030546,2.888265023291062e-05,10.707697068675527,1,False,100,25,0.0,"0,0.25,0.5,1","4,2,1,1",0.03930747554237871,0.011656064140514216
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,1,0,16,640,0.005945517317530902,4.516731748815745e-05,0.3921667115146611,2.761840482505806e-05,12.576832173755529,2,False,100,25,0.0,"0,0.25,0.5,1","4,2,1,1",0.026619774074786346,0.015690626213693333
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,2,0,16,640,0.0033731758259575306,5.909326349233514e-05,0.389336060488643,3.620826191660907e-05,20.963706739649933,2,False,100,25,0.0,"0,0.25,0.5,1","4,2,1,1",0.022191932285241474,0.014731683794631235
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,3,0,16,640,0.0033033406965090606,3.4540332594507956e-05,0.46034046122343864,1.8701798368790724e-05,119.7537063112049,0,False,100,25,0.0,"0,0.25,0.5,1","4,2,1,1",0.012560868128488337,0.009477964096518052
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,0,0,16,640,0.007212996133107441,5.896519498411515e-05,0.4055706799772737,3.530529773545911e-05,10.636162816189822,0,False,100,25,0.0,"0,0.25,0.5,1","4,2,1,1",0.034584834915626916,0.01085886221129384
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,1,0,16,640,0.007090770598931151,6.0190203938738474e-05,0.4000593898491521,3.6368427855074844e-05,10.3459728439722,2,False,100,25,0.0,"0,0.25,0.5,1","4,2,1,1",0.02330721393482087,0.015318049613874542
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,2,0,16,640,0.005684885639803183,6.501378844065945e-05,0.3880725217128205,4.0011182611850575e-05,19.807095648773185,1,False,100,25,0.0,"0,0.25,0.5,1","4,2,1,1",0.020547778927575727,0.015898631385299934
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,3,0,16,640,0.002292850353909359,5.947992518048124e-05,0.40339430401683785,3.556761337424026e-05,63.340274982350124,0,False,100,25,0.0,"0,0.25,0.5,1","4,2,1,1",0.009246319160248581,0.007054812627349907
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,0,0,16,640,0.007458042647148333,0.00013334193967053809,0.3906079039251036,8.18680998909493e-05,32.526837676818275,2,False,100,25,0.0,"0,0.25,0.5,1","4,2,1,1",0.09844162358580968,0.08725595623698733
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,1,0,16,640,0.009960160397893048,0.00013323759699925512,0.38032464474907735,8.339467963882629e-05,29.725316018527593,0,False,100,25,0.0,"0,0.25,0.5,1","4,2,1,1",0.08164374683202949,0.07849180478575365
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,2,0,16,640,0.0061904807554670205,0.00016517230265340437,0.38917187360909655,0.0001015203479215469,27.951047741948443,1,False,100,25,0.0,"0,0.25,0.5,1","4,2,1,1",0.06928523512027181,0.06551302894940586
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,3,0,16,640,0.0040157540110613565,0.00010124248630155763,0.39559463707003706,6.143822246532234e-05,60.877577122096426,2,False,100,25,0.0,"0,0.25,0.5,1","4,2,1,1",0.06844643073354463,0.048743960858616125
