table_index,trial_id,response_cache_path,prior_scale,candidate_index,true_candidate_index,n_fit_trajectories,n_fit_samples,linear_train_r2,linear_residual_var,quadratic_train_r2,quadratic_residual_var,profile_energy,profile_start_index,optimizer_success,optimizer_iterations,optimizer_final_iterations,optimizer_stage_success_fraction,quadratic_continuation_scales,observation_continuation_scales,trajectory_hat_rms,trajectory_hat_temporal_std_mean
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,0,0,16,640,0.004355106995195035,4.759601871841547e-05,0.3958136841030546,2.888265023291062e-05,10.707627458272283,1,True,64,64,1.0,1,1,0.03930043934756848,0.011650735143081348
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,1,0,16,640,0.005945517317530902,4.516731748815745e-05,0.3921667115146611,2.761840482505806e-05,12.576788091494883,1,True,51,51,1.0,1,1,0.026621014674476643,0.01568442536075145
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,2,0,16,640,0.0033731758259575306,5.909326349233514e-05,0.389336060488643,3.620826191660907e-05,20.963688593492282,1,True,51,51,1.0,1,1,0.02218488581828135,0.014726974753645171
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,3,0,16,640,0.0033033406965090606,3.4540332594507956e-05,0.46034046122343864,1.8701798368790724e-05,119.75368364942778,2,True,60,60,1.0,1,1,0.01264193859963606,0.009513881750885923
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,0,0,16,640,0.007212996133107441,5.896519498411515e-05,0.4055706799772737,3.530529773545911e-05,10.636115414367886,1,True,65,65,1.0,1,1,0.03458883330812799,0.010864525706855335
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,1,0,16,640,0.007090770598931151,6.0190203938738474e-05,0.4000593898491521,3.6368427855074844e-05,10.345884845863116,2,True,72,72,1.0,1,1,0.02331243080536129,0.015294276868913464
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,2,0,16,640,0.005684885639803183,6.501378844065945e-05,0.3880725217128205,4.0011182611850575e-05,19.806753130574034,1,True,62,62,1.0,1,1,0.020615052941578192,0.015787790325407364
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,3,0,16,640,0.002292850353909359,5.947992518048124e-05,0.40339430401683785,3.556761337424026e-05,63.340268580047045,1,True,57,57,1.0,1,1,0.009250343862531435,0.007040900037038547
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,0,0,16,640,0.007458042647148333,0.00013334193967053809,0.3906079039251036,8.18680998909493e-05,25.665446771367286,1,False,80,80,0.0,1,1,0.08133338139169019,0.020732632734491076
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,1,0,16,640,0.009960160397893048,0.00013323759699925512,0.38032464474907735,8.339467963882629e-05,22.183934296283375,1,False,80,80,0.0,1,1,0.07328198334871719,0.020703360474045127
