table_index,trial_id,response_cache_path,prior_scale,candidate_index,true_candidate_index,n_fit_trajectories,n_fit_samples,linear_train_r2,linear_residual_var,quadratic_train_r2,quadratic_residual_var,profile_energy,profile_start_index,optimizer_success,optimizer_iterations,optimizer_final_iterations,optimizer_stage_success_fraction,quadratic_continuation_scales,observation_continuation_scales,trajectory_hat_rms,trajectory_hat_temporal_std_mean
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,0,0,16,640,0.004355106995195035,4.759601871841547e-05,0.3958136841030546,2.888265023291062e-05,10.707628131012738,2,True,234,44,1.0,"0,0.25,0.5,1","4,2,1,1",0.03930036787254432,0.011646976279136504
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,1,0,16,640,0.005945517317530902,4.516731748815745e-05,0.3921667115146611,2.761840482505806e-05,12.576787760914534,1,True,187,31,1.0,"0,0.25,0.5,1","4,2,1,1",0.026621043254123688,0.015686165914398087
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,2,0,16,640,0.0033731758259575306,5.909326349233514e-05,0.389336060488643,3.620826191660907e-05,20.96368908396323,1,True,181,30,1.0,"0,0.25,0.5,1","4,2,1,1",0.022182478146262334,0.014717478875692712
0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,3,0,16,640,0.0033033406965090606,3.4540332594507956e-05,0.46034046122343864,1.8701798368790724e-05,119.75370071243385,0,True,167,13,1.0,"0,0.25,0.5,1","4,2,1,1",0.01267293585900829,0.009596055788791056
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,0,0,16,640,0.007212996133107441,5.896519498411515e-05,0.4055706799772737,3.530529773545911e-05,10.63611446252722,1,True,213,46,1.0,"0,0.25,0.5,1","4,2,1,1",0.03458963833725286,0.010855179758562209
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,1,0,16,640,0.007090770598931151,6.0190203938738474e-05,0.4000593898491521,3.6368427855074844e-05,10.34588421276679,2,True,191,35,1.0,"0,0.25,0.5,1","4,2,1,1",0.023312132132023232,0.015293792089241622
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,2,0,16,640,0.005684885639803183,6.501378844065945e-05,0.3880725217128205,4.0011182611850575e-05,19.80675403852683,1,True,197,34,1.0,"0,0.25,0.5,1","4,2,1,1",0.020609381805394195,0.01579094448823086
1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,3,0,16,640,0.002292850353909359,5.947992518048124e-05,0.40339430401683785,3.556761337424026e-05,63.340272694958294,0,True,196,18,1.0,"0,0.25,0.5,1","4,2,1,1",0.009230190297426692,0.007048959526419523
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,0,0,16,640,0.007458042647148333,0.00013334193967053809,0.3906079039251036,8.18680998909493e-05,26.16940560347212,0,False,298,80,0.5,"0,0.25,0.5,1","4,2,1,1",0.10445917653127686,0.06693018089060467
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,1,0,16,640,0.009960160397893048,0.00013323759699925512,0.38032464474907735,8.339467963882629e-05,22.37715418276869,2,False,283,80,0.75,"0,0.25,0.5,1","4,2,1,1",0.09303415328163496,0.06222049817029591
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,2,0,16,640,0.0061904807554670205,0.00016517230265340437,0.38917187360909655,0.0001015203479215469,23.104751228058355,1,False,286,80,0.5,"0,0.25,0.5,1","4,2,1,1",0.0834224900134244,0.05978647322046166
2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,3,0,16,640,0.0040157540110613565,0.00010124248630155763,0.39559463707003706,6.143822246532234e-05,55.20968329366917,0,False,214,80,0.75,"0,0.25,0.5,1","4,2,1,1",0.07113381721113396,0.04514432775224328
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,1.0,0,0,16,640,0.01039103543272002,0.00016133439567563373,0.39364908187415804,9.885243813042236e-05,23.152380457150528,0,False,295,80,0.5,"0,0.25,0.5,1","4,2,1,1",0.10163047598921542,0.06241724218567567
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,1.0,1,0,16,640,0.010502229066765123,0.0001672385966953297,0.3846318862044913,0.00010400559033614719,19.009319078518107,0,False,283,80,0.75,"0,0.25,0.5,1","4,2,1,1",0.09025911218492615,0.055072692454519206
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,1.0,2,0,16,640,0.009173637857322614,0.00017905186131103332,0.39207913180589593,0.00010985715271501785,21.493593387262187,0,False,282,80,0.75,"0,0.25,0.5,1","4,2,1,1",0.08342461048205166,0.05831217060777326
3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,1.0,3,0,16,640,0.001808553981333616,0.00015154779475751027,0.36510024493396687,9.639198788580026e-05,36.991000232317546,1,True,217,75,1.0,"0,0.25,0.5,1","4,2,1,1",0.064295518150497,0.041051627777136446
