observer_mode,prior_scale,n,image_accuracy,mean_feature_cosine,median_feature_cosine,mean_map_feature_cosine,mean_true_mass,median_N_eff_fraction
zero,0.5,2,0.0,0.8446510236346856,0.8446510236346856,0.7413606378765814,0.216478538428263,0.8660703825531612
joint,0.5,2,1.0,0.9137300815283985,0.9137300815283985,1.0,0.3842488368075458,0.8005348480352953
best_single_tau,0.5,2,1.0,0.9158118392345055,0.9158118392345055,1.0,0.39289561860639044,0.8120346670966123
linear_continuous,0.5,2,0.0,0.7420486847729117,0.7420486847729117,0.7413606378765814,5.900274084348555e-08,0.2526963385377755
quadratic_profile,0.5,2,0.5,0.9522209690319052,0.9522209690319052,0.8706803189382907,0.64705862965913,0.40760860549295896
quadratic_poisson,0.5,2,1.0,0.8953055063723437,0.8953055063723437,1.0,0.33771231857229317,0.8484638084397951
known,0.5,2,1.0,0.9473332630372717,0.9473332630372717,1.0,0.5061672402740972,0.6597008975107951
zero,1.0,2,0.0,0.633743942036874,0.633743942036874,0.4124758489174986,0.012441383640783675,0.6723377856712788
joint,1.0,2,0.5,0.9008227232366488,0.9008227232366488,0.8706803189382907,0.3513391651542652,0.8302786775006274
best_single_tau,1.0,2,1.0,0.915243069181303,0.915243069181303,1.0,0.3941162297959545,0.8063189869196505
linear_continuous,1.0,2,0.0,0.5455447720810267,0.5455447720810267,0.5450920735126369,1.140510340355233e-21,0.2504663012200669
quadratic_profile,1.0,2,0.0,0.6608318534115585,0.6608318534115585,0.6432263556946092,0.008097704191876783,0.3523883502332899
quadratic_poisson,1.0,2,0.0,0.8442958572011192,0.8442958572011192,0.5450920735126369,0.24293719923627016,0.8760767908771654
known,1.0,2,1.0,0.946932517261144,0.946932517261144,1.0,0.5046719455471399,0.6657923652136563
