observer_mode,prior_scale,n,image_accuracy,mean_feature_cosine,median_feature_cosine,mean_map_feature_cosine,mean_true_mass,median_N_eff_fraction
zero,0.5,2,0.0,0.8446510236346856,0.8446510236346856,0.7413606378765814,0.216478538428263,0.8660703825531612
joint,0.5,2,1.0,0.9137300815283985,0.9137300815283985,1.0,0.3842488368075458,0.8005348480352953
best_single_tau,0.5,2,1.0,0.9158118392345055,0.9158118392345055,1.0,0.39289561860639044,0.8120346670966123
linear_continuous,0.5,2,0.0,0.7466301452717784,0.7466301452717784,0.7413606378765814,0.008276281547865503,0.26093693035964355
quadratic_profile,0.5,2,0.5,0.952241228110366,0.952241228110366,0.8706803189382907,0.6471350504051513,0.4076150654498729
quadratic_poisson,0.5,2,1.0,0.8953053552481237,0.8953053552481237,1.0,0.33771373478293115,0.8484725879449451
known,0.5,2,1.0,0.9473332630372717,0.9473332630372717,1.0,0.5061672402740972,0.6597008975107951
zero,1.0,2,0.0,0.633743942036874,0.633743942036874,0.4124758489174986,0.012441383640783675,0.6723377856712788
joint,1.0,2,0.5,0.9008227232366488,0.9008227232366488,0.8706803189382907,0.3513391651542652,0.8302786775006274
best_single_tau,1.0,2,1.0,0.915243069181303,0.915243069181303,1.0,0.3941162297959545,0.8063189869196505
linear_continuous,1.0,2,0.0,0.5523674587800863,0.5523674587800863,0.5450920735126369,1.0925265161753213e-09,0.2577185408850494
quadratic_profile,1.0,2,0.0,0.6860779809932561,0.6860779809932561,0.6432263556946092,0.004651306521541627,0.4111793424773283
quadratic_poisson,1.0,2,0.0,0.8527455957446599,0.8527455957446599,0.5450920735126369,0.2510338123855407,0.8776931463542328
known,1.0,2,1.0,0.946932517261144,0.946932517261144,1.0,0.5046719455471399,0.6657923652136563
