table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,n_candidates,n_trajectories,n_timebins,n_units,basis_dim,ridge,alpha,process_var,observation_var_floor,trajectory_initial_position,trajectory_initial_position_var,optimizer_max_iter,quadratic_continuation_scales,observation_continuation_scales,observer_mode,latent,image_correct,true_rank,true_margin,candidate_posterior_true_mass,candidate_posterior_entropy,candidate_posterior_N_eff,candidate_posterior_N_eff_fraction,pred_candidate_index_local,true_candidate_index_local,pred_candidate_id,true_candidate_id,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm,map_feature_cosine,map_feature_mse,map_feature_rmse
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,zero,pyramid_local_field,False,4.0,-10.071759063564741,3.7398289112434944e-05,0.4001013072318432,1.260024708557097,0.31500617713927426,3,0,source_row:11021,source_row:25,1.0687609463767147,-1.0687609463767147,1.0338089506174315,57.29950808924338,0.45319087219728366,55.35716385314352,54.21112722888615,0.4124758489174986,1.2246927448888103,1.1066583686435532
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,joint,pyramid_local_field,False,3.0,-0.5056345907526065,0.23942941942192286,1.1420721249327745,2.9754323272077388,0.7438580818019347,2,0,source_row:9142,source_row:25,0.27914689019417177,-0.27914689019417177,0.5283435342598334,29.283771046033255,0.8486269226418334,55.35716385314352,46.84857366593143,0.5450920735126369,0.8627886600790683,0.9288641774118906
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,best_single_tau,pyramid_local_field,False,3.0,-0.4414469924191735,0.24825368840249826,1.1254065611864243,2.9620751231869558,0.7405187807967389,2,0,source_row:9142,source_row:25,0.2705798155929332,-0.2705798155929332,0.5201728708736483,28.830906914307963,0.8536795243584162,55.35716385314352,47.02092544895285,0.5450920735126369,0.8627886600790683,0.9288641774118906
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,linear_continuous,pyramid_local_field,False,3.0,-183.73307875238112,1.6059712071104129e-80,2.4824351865052263e-09,1.00000000020691,0.2500000000517275,1,0,source_row:9427,source_row:25,0.5354190394035508,-0.5354190394035508,0.7317233352870133,40.55622380162764,0.7413606378900641,55.35716385314352,57.307452468547126,0.7413606378765814,0.5354190394629591,0.731723335327608
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_profile,pyramid_local_field,False,2.0,-23.796344808152583,4.627844526763082e-11,1.480922422999576e-09,1.0000000001181206,0.25000000002953016,2,0,source_row:9142,source_row:25,0.8627886599835025,-0.8627886599835025,0.9288641773604484,51.482878352606896,0.545092073553179,55.35716385314352,52.458978510182725,0.5450920735126369,0.8627886600790683,0.9288641774118906
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_poisson,pyramid_local_field,False,3.0,-0.9818610787975786,0.15716206111691122,1.1009168555000413,2.751393358178478,0.6878483395446195,2,0,source_row:9142,source_row:25,0.33663424560819905,-0.33663424560819905,0.5802019007278406,32.158053462676925,0.814693878834112,55.35716385314352,47.011593993116335,0.5450920735126369,0.8627886600790683,0.9288641774118906
0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,known,pyramid_local_field,True,1.0,0.644002530185503,0.5414408862121879,1.0542710882133128,2.509666688667204,0.627416672166801,0,0,source_row:25,source_row:25,0.09245384021882819,-0.09245384021882819,0.3040622308324863,16.852839438867274,0.954869036999682,55.35716385314352,49.162930846571314,1.0,0.0,0.0
1,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,zero,pyramid_local_field,False,3.0,-4.246743497816055,0.008857004790093178,0.7067212703161314,1.916884034448683,0.47922100861217076,2,0,source_row:11021,source_row:76,0.2849836761970376,-0.2849836761970376,0.5338386237403937,29.58833981955222,0.8268753755669264,47.34179291251737,52.05371545454753,0.7588915779183177,0.4644320156094235,0.681492491234807
1,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,joint,pyramid_local_field,False,3.0,-0.5582674287194322,0.24660159238415555,1.233597484153936,3.1502789301291987,0.7875697325322997,3,0,source_row:4203,source_row:76,0.12418136639896109,-0.12418136639896109,0.3523937661181893,19.531645029991928,0.9141551590159405,47.34179291251737,46.911330180480164,0.8237351843954694,0.2779343607150047,0.5271948033839149
1,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,best_single_tau,pyramid_local_field,False,3.0,-0.5941483564348573,0.2123865404133844,1.2986246066141691,3.4346293068985494,0.8586573267246373,3,0,source_row:4203,source_row:76,0.13218454502042856,-0.13218454502042856,0.36357192551189726,20.151201510152106,0.9079796449996886,47.34179291251737,46.53063910470297,0.8237351843954694,0.2779343607150047,0.5271948033839149
1,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,linear_continuous,pyramid_local_field,False,2.0,-103.3021605184395,1.3691206415765472e-45,1.417087997238438e-43,1.0,0.25,2,0,source_row:11021,source_row:76,0.4644320156094235,-0.4644320156094235,0.681492491234807,37.77214783345195,0.7588915779183177,47.34179291251737,57.75066560606587,0.7588915779183177,0.4644320156094235,0.681492491234807
1,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_profile,pyramid_local_field,False,3.0,-18.994244061041826,3.857949277151758e-09,0.6233351062480774,1.7600310909711039,0.44000777274277597,3,0,source_row:4203,source_row:76,0.24073413987924233,-0.24073413987924233,0.4906466548130562,27.19439791039751,0.8455297726629584,47.34179291251737,50.05896959509534,0.8237351843954694,0.2779343607150047,0.5271948033839149
1,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_poisson,pyramid_local_field,False,2.0,-0.2185739862865148,0.309160671578062,1.2751966586663595,3.341597218054703,0.8353993045136757,3,0,source_row:4203,source_row:76,0.10033480463958593,-0.10033480463958593,0.31675669628215586,17.556438131147445,0.9297764261985292,47.34179291251737,46.1396327828595,0.8237351843954694,0.2779343607150047,0.5271948033839149
1,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,known,pyramid_local_field,True,1.0,0.45467566056157693,0.48312040043837035,1.1603330539689205,2.8169244760292607,0.7042311190073152,0,0,source_row:76,source_row:76,0.057006128984332556,-0.057006128984332556,0.23875956312644853,13.23339821209464,0.9601980332900513,47.34179291251737,45.96882344552439,1.0,0.0,0.0
