table_index,trial_id,prior_scale,prior_family,image_correct,feature_cosine,candidate_posterior_true_mass,residual_variance,B_train_r2_energy,B_singular1,B_singular2_fraction,B_singular3_fraction
0,0,0.5,axis_edge_parallel,True,0.8955353919754636,0.3384095538105828,2.888265023291062e-05,0.3958136841030546,2.078996848068072,0.005913821298801235,1.688154352868859e-08
1,0,0.5,axis_edge_orthogonal,True,0.895116801386768,0.3371293189432274,3.530529773545911e-05,0.4055706799772737,2.3379431433582627,0.003175336010997037,1.6322677676284502e-08
2,1,1.0,axis_edge_parallel,False,0.8585224060074204,0.2695634002276293,5.514954626731749e-05,0.2075631027728307,0.8568622877619346,0.02789838050771764,2.5397411008522108e-09
3,1,1.0,axis_edge_orthogonal,False,0.8617318822519078,0.2654433271544604,6.660814599087012e-05,0.2098414280321475,0.943143444658319,0.017655677768331844,2.473571484588058e-09
4,2,2.0,axis_edge_parallel,False,0.8590134712206327,0.2722044453281641,7.787204855023835e-05,0.3631406971554829,1.373314554902226,0.008017476637427178,2.3439401946759067e-09
5,2,2.0,axis_edge_orthogonal,False,0.8724113396895905,0.2849330066107937,9.956871186238808e-05,0.3543653123585505,1.523610930282466,0.006729220904813293,2.4599084121180185e-09
6,3,0.5,axis_edge_parallel,False,0.899236352645311,0.2052114101349205,2.161519330283403e-05,0.3113959410102631,1.299284354513527,0.004447472013712637,4.725435156859012e-10
7,3,0.5,axis_edge_orthogonal,False,0.9150341105998746,0.2749257070397517,4.685956396590653e-05,0.2687940974696807,1.7268686626394818,0.004427907097617383,1.7184693178914597e-10
8,4,1.0,axis_edge_parallel,False,0.9250545603921267,0.2859791339413088,3.4725257743763395e-05,0.192839229296227,0.6274176126589824,0.012692796627005539,2.2000514736086185e-10
9,4,1.0,axis_edge_orthogonal,False,0.8971447754109279,0.1617040488570549,6.537958477782986e-05,0.1639212488639976,0.785495784055822,0.00974616213695012,2.293019380327483e-10
10,5,2.0,axis_edge_parallel,False,0.9258607000370862,0.301726563472056,5.969562066617938e-05,0.1372067487155894,0.4916002404343653,0.01795680239611516,4.501270995323128e-10
11,5,2.0,axis_edge_orthogonal,False,0.8936993280176256,0.1564860126735452,0.0001064362060465,0.1299018936429479,0.6413652930133823,0.014882606839084505,2.770984322241891e-10
12,6,0.5,axis_edge_parallel,True,0.9952376648802695,0.8851885454322923,2.551109888432225e-05,0.343032563839157,1.4035077087725707,0.008386825057115885,2.9347591470539814e-09
13,6,0.5,axis_edge_orthogonal,True,0.9962858101902868,0.899242228691789,4.5422222864483886e-05,0.2578462524366794,1.5327577890397706,0.014588276428102832,3.9395377657701834e-09
14,7,1.0,axis_edge_parallel,True,0.99749532007589,0.9198138969055012,2.648415923666605e-05,0.1884347594172227,0.5666322064411234,0.025135726913074797,2.3748856514478553e-09
15,7,1.0,axis_edge_orthogonal,True,0.9986822442287632,0.945001110208123,4.3891642306484005e-05,0.145707740684888,0.6299054820617975,0.018008203181404978,4.113574943823259e-09
16,8,2.0,axis_edge_parallel,True,0.9962805041531188,0.9053770395356768,4.829926099726063e-05,0.2851479165516718,0.9248829882885228,0.012838644042812753,1.1708360406307296e-09
17,8,2.0,axis_edge_orthogonal,True,0.998585998837741,0.9463786266100744,7.385713905065758e-05,0.2623811865198203,1.0834335389883205,0.008713915000893907,1.6366963470126614e-09
18,9,0.5,axis_edge_parallel,True,0.8897993004381736,0.4638675553175715,4.807395437677853e-05,0.2918200477747324,1.141253333517398,0.004920518112296662,4.1327809311479824e-09
19,9,0.5,axis_edge_orthogonal,True,0.8942604556016753,0.4767679470030017,5.118281952990959e-05,0.263481982437609,1.0939239161726515,0.012220445263779224,4.475654925140053e-09
20,10,1.0,axis_edge_parallel,True,0.8848574642871545,0.4619747334437387,4.339247714286988e-05,0.1763327116007936,0.6795662695788188,0.012145478194553633,7.127618410122974e-10
21,10,1.0,axis_edge_orthogonal,True,0.8892813714366438,0.4735537811091866,4.374751718116062e-05,0.1666594572069091,0.6579799157824076,0.02353300375492708,7.518702297626463e-10
22,11,2.0,axis_edge_parallel,True,0.939400482889305,0.6000986093548545,6.667500390251918e-05,0.2564422185875376,0.9585821645683446,0.01596785976568468,8.21515091453174e-10
23,11,2.0,axis_edge_orthogonal,True,0.9140633176052418,0.5340848851234316,6.098384072391839e-05,0.2329803132171416,0.8555407913496778,0.028278193302746616,1.2037730863167399e-09
24,12,0.5,axis_edge_parallel,True,0.9357056686628548,0.5499251028124356,1.925601273664885e-05,0.3642702164356617,1.1824335823936611,0.006719100884245143,4.262704526777688e-09
25,12,0.5,axis_edge_orthogonal,True,0.9419072083261422,0.5603568579270737,3.138274129631207e-05,0.299138231918161,1.3046333514980528,0.005517681010901662,1.7400954908118438e-09
26,13,1.0,axis_edge_parallel,True,0.8977677435586254,0.4732353630831198,2.1364665614109552e-05,0.1418663667844149,0.4133358342474121,0.025179591142660194,3.0384952100011677e-09
27,13,1.0,axis_edge_orthogonal,True,0.9241846167393316,0.5590633216877605,3.038125920925732e-05,0.1234585700032714,0.4490112750258215,0.04566721846859281,4.149119170673022e-09
28,14,2.0,axis_edge_parallel,True,0.8863792583623623,0.4381809840013463,3.3692605081676463e-05,0.3277594094921547,0.7833246326010725,0.017898752087622916,1.8619862759468066e-09
29,14,2.0,axis_edge_orthogonal,True,0.8923673408236992,0.4772842580632143,4.384752253964124e-05,0.3089489779132326,0.8539335064241858,0.015101920652381196,3.5373197376917794e-09
