table_index,manifest_table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,likelihood_scale,n_candidates,n_timebins,n_units,observer_mode,latent,posterior_temperature,true_candidate_index_local,pred_candidate_index_local,true_candidate_id,pred_candidate_id,image_correct,true_rank,true_margin,candidate_posterior_true_mass,candidate_posterior_entropy,candidate_posterior_N_eff,candidate_posterior_N_eff_fraction,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm,map_feature_cosine,map_feature_mse,map_feature_rmse,run_slug,run_label,run_family,run_dirname,n_trajectories,basis_dim,ridge,alpha,process_var,observation_var_floor,trajectory_initial_position,trajectory_initial_position_var,optimizer_max_iter,quadratic_continuation_scales,observation_continuation_scales
0,0.0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:25,source_row:25,True,1.0,0.06294035046198587,0.33674305720517594,1.2750111189268107,3.398643328852393,0.8496608322130983,0.20142438703638918,-0.20142438703638918,0.4488032832281747,24.875202852957553,0.8949956396335617,55.35716385314352,46.54280285607424,1.0,0.0,0.0,k5_ridge0p01,k=5 ridge=0.01,,,,,,,,,,,,,
1,1.0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:25,source_row:25,True,1.0,0.06873978302570549,0.3378694087808749,1.2747023937636603,3.3971040509468557,0.8492760127367139,0.20078817898604004,-0.20078817898604004,0.4480939399122019,24.83588705573278,0.8953716305779158,55.35716385314352,46.5456109516439,1.0,0.0,0.0,k5_ridge0p01,k=5 ridge=0.01,,,,,,,,,,,,,
2,6.0,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,3,source_row:76,source_row:4203,False,2.0,-0.13250067925980602,0.33633525105159207,1.1583901585697673,3.0382236301368004,0.7595559075342001,0.10428911762586858,-0.10428911762586858,0.3229382566774469,17.899054984737834,0.9284666706400193,47.34179291251737,47.30149500030595,0.8237351843954694,0.2779343607150047,0.5271948033839149,k5_ridge0p01,k=5 ridge=0.01,,,,,,,,,,,,,
3,7.0,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,3,source_row:76,source_row:4203,False,2.0,-0.2483753100203785,0.33398874332775025,1.1298356386350445,2.9043080865916315,0.7260770216479079,0.10357934845228474,-0.10357934845228474,0.3218374565713021,17.838042449927592,0.9288132369873349,47.34179291251737,47.20578178816124,0.8237351843954694,0.2779343607150047,0.5271948033839149,k5_ridge0p01,k=5 ridge=0.01,,,,,,,,,,,,,
4,12.0,6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:87,source_row:87,True,1.0,2.41937821323188,0.8831592093671523,0.45754755193793595,1.2706404613622344,0.3176601153405586,0.003445671990381601,-0.003445671990381601,0.05869984659589496,3.2534757344188505,0.995103780476545,31.988853179568522,31.064659410763934,1.0,0.0,0.0,k5_ridge0p01,k=5 ridge=0.01,,,,,,,,,,,,,
5,13.0,6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:87,source_row:87,True,1.0,2.544150445641435,0.8944439242781309,0.42404223530078344,1.2410787958415608,0.3102696989603902,0.002810385745820862,-0.002810385745820862,0.053013071461865534,2.9382826635913855,0.9960057612111436,31.988853179568522,31.171642151280103,1.0,0.0,0.0,k5_ridge0p01,k=5 ridge=0.01,,,,,,,,,,,,,
6,18.0,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:369,source_row:369,True,1.0,0.6694540617243661,0.4546979300295604,1.2657666778123244,3.190002252526045,0.7975005631315113,0.13464971594740524,-0.13464971594740524,0.3669464755892952,20.33823806012775,0.8850903883094496,43.55782142770001,36.920497920028716,1.0000000000000002,0.0,0.0,k5_ridge0p01,k=5 ridge=0.01,,,,,,,,,,,,,
7,19.0,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:369,source_row:369,True,1.0,0.6625980177416295,0.4612483601346592,1.2588275004164065,3.150056048755333,0.7875140121888332,0.1306814006145405,-0.1306814006145405,0.3614988251910931,20.036298627437862,0.8888749724171754,43.55782142770001,36.92554312177341,1.0000000000000002,0.0,0.0,k5_ridge0p01,k=5 ridge=0.01,,,,,,,,,,,,,
8,24.0,12,response_tables/trial_00012_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:420,source_row:420,True,1.0,0.39103447223379817,0.5079933148215668,1.0950941057844337,2.5811497235850993,0.6452874308962748,0.12965569520762588,-0.12965569520762588,0.3600773461461105,19.957512261748125,0.9206963658894403,50.81129610299023,44.53477351468676,1.0,0.0,0.0,k5_ridge0p01,k=5 ridge=0.01,,,,,,,,,,,,,
9,25.0,12,response_tables/trial_00012_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:420,source_row:420,True,1.0,0.508261632509857,0.5260482814423436,1.095307149209476,2.561780512648222,0.6404451281620555,0.11773703667493317,-0.11773703667493317,0.34312830934642097,19.018101289702784,0.9289509427745276,50.81129610299023,44.39874172268817,1.0,0.0,0.0,k5_ridge0p01,k=5 ridge=0.01,,,,,,,,,,,,,
10,30.0,15,response_tables/trial_00015_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:454,source_row:454,True,1.0,0.0,0.45704707165623937,0.978317505747215,2.368978936949152,0.592244734237288,0.0032122990948337776,-0.0032122990948337776,0.05667714790666321,3.1413663936779748,0.9971314644743521,38.62978874581035,37.37038872757095,0.9999999999999999,0.0,0.0,k5_ridge0p01,k=5 ridge=0.01,,,,,,,,,,,,,
11,31.0,15,response_tables/trial_00015_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:454,source_row:454,True,1.0,0.0,0.4600622251733348,0.9614610713219899,2.3403833785511896,0.5850958446377974,0.0028950530780656896,-0.0028950530780656896,0.05380569744985832,2.982214455034681,0.9973868892935341,38.62978874581035,37.47769853294801,0.9999999999999999,0.0,0.0,k5_ridge0p01,k=5 ridge=0.01,,,,,,,,,,,,,
