table_index,manifest_table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,likelihood_scale,n_candidates,n_timebins,n_units,observer_mode,latent,posterior_temperature,true_candidate_index_local,pred_candidate_index_local,true_candidate_id,pred_candidate_id,image_correct,true_rank,true_margin,candidate_posterior_true_mass,candidate_posterior_entropy,candidate_posterior_N_eff,candidate_posterior_N_eff_fraction,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm,map_feature_cosine,map_feature_mse,map_feature_rmse,run_slug,run_label,n_trajectories,basis_dim,ridge,alpha,process_var,observation_var_floor,trajectory_initial_position,trajectory_initial_position_var,optimizer_max_iter,quadratic_continuation_scales,observation_continuation_scales
0,2.0,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,2,source_row:25,source_row:9142,False,3.0,-0.4007148574489747,0.24437774830937076,1.3120232910950929,3.5257230830578705,0.8814307707644676,0.281565421951343,-0.281565421951343,0.5306273852255865,29.410354915140445,0.847626019606918,55.35716385314352,45.424289236117055,0.5450920735126369,0.8627886600790683,0.9288641774118906,k15_ridge0p1,1.0x k=15 ridge=0.1,,,,,,,,,,,
1,3.0,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,2,source_row:25,source_row:9142,False,3.0,-0.2712511955032255,0.26105587431078164,1.3056392917984998,3.5175615303861827,0.8793903825965457,0.2622730030524463,-0.2622730030524463,0.5121259640483445,28.3849020674216,0.8591885254212426,55.35716385314352,45.70381385675812,0.5450920735126369,0.8627886600790683,0.9288641774118906,k15_ridge0p1,1.0x k=15 ridge=0.1,,,,,,,,,,,
2,8.0,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,3,source_row:76,source_row:4203,False,3.0,-0.6261768650614385,0.2243196457053225,1.2309222908561503,3.154250208783362,0.7885625521958405,0.13424302457678539,-0.13424302457678539,0.3663919002608892,20.3075003754742,0.9077698453977628,47.34179291251737,47.2226502593016,0.8237351843954694,0.2779343607150047,0.5271948033839149,k15_ridge0p1,1.0x k=15 ridge=0.1,,,,,,,,,,,
3,9.0,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,3,source_row:76,source_row:4203,False,3.0,-0.7006914089544125,0.1872602403890533,1.3334267264534292,3.6054263671825706,0.9013565917956426,0.13544790400472959,-0.13544790400472959,0.3680324768342185,20.398430358793032,0.904552544548964,47.34179291251737,45.76794136079726,0.8237351843954694,0.2779343607150047,0.5271948033839149,k15_ridge0p1,1.0x k=15 ridge=0.1,,,,,,,,,,,
4,14.0,7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:87,source_row:87,True,1.0,2.666206018120704,0.9173120260250285,0.3407255930719714,1.182388499731931,0.29559712493298274,0.0019350520297483301,-0.0019350520297483301,0.04398922629176751,2.438130397535552,0.9973331599707,31.988853179568522,31.20078270521658,1.0,0.0,0.0,k15_ridge0p1,1.0x k=15 ridge=0.1,,,,,,,,,,,
5,15.0,7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:87,source_row:87,True,1.0,2.95101774821228,0.9422492205900804,0.24635437515048764,1.1231830977399742,0.28079577443499354,0.0010576797026995747,-0.0010576797026995747,0.03252198798812236,1.8025515378743249,0.9985661156478902,31.988853179568522,31.380182681751595,1.0,0.0,0.0,k15_ridge0p1,1.0x k=15 ridge=0.1,,,,,,,,,,,
6,20.0,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:369,source_row:369,True,1.0,0.4391149562280816,0.45921537951983066,1.2109817279278994,2.999132950278351,0.7497832375695878,0.13509103701073313,-0.13509103701073313,0.3675473262189961,20.3715405823166,0.8841478575700026,43.55782142770001,37.58652052541988,1.0000000000000002,0.0,0.0,k15_ridge0p1,1.0x k=15 ridge=0.1,,,,,,,,,,,
7,21.0,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:369,source_row:369,True,1.0,0.4246951571760178,0.4730636025981514,1.1825823717515835,2.88356165505811,0.7208904137645274,0.12842751226475016,-0.12842751226475016,0.35836784490904056,19.862762085805503,0.8903078986862842,43.55782142770001,37.71967499476201,1.0000000000000002,0.0,0.0,k15_ridge0p1,1.0x k=15 ridge=0.1,,,,,,,,,,,
8,26.0,13,response_tables/trial_00013_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:420,source_row:420,True,1.0,0.22670263687007264,0.48749945592253363,1.0500157023035575,2.513798850710535,0.6284497126776337,0.1496776515890477,-0.1496776515890477,0.3868819607955994,21.443174804155156,0.9068180612166863,50.81129610299023,45.03973286352054,1.0,0.0,0.0,k15_ridge0p1,1.0x k=15 ridge=0.1,,,,,,,,,,,
9,27.0,13,response_tables/trial_00013_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:420,source_row:420,True,1.0,0.7438483097108701,0.6016720723119755,0.9302320689926702,2.196334170349297,0.5490835425873243,0.08927684220087094,-0.08927684220087094,0.2987923061273013,16.560750563941102,0.9469796038029171,50.81129610299023,45.33491334711608,1.0,0.0,0.0,k15_ridge0p1,1.0x k=15 ridge=0.1,,,,,,,,,,,
