filter_model,filter_family,filter_parameter,n_tables,median_coef_s2_over_s1,mean_cv_r2_energy,mean_train_r2_energy
instant,delay,0.0,768,0.0060392987750345515,-0.0007183928620058955,0.005062644346650151
delay1,delay,1.0,768,0.004951640540756747,-0.001826628019007477,0.007832528356147181
delay2,delay,2.0,768,0.004202753628680731,-0.00383997978916116,0.011133018119690266
delay3,delay,3.0,768,0.004056575191744592,-0.006658563847702464,0.015035689414872419
delay4,delay,4.0,768,0.0040567497192557,-0.010233226100993942,0.020106813119556925
delay6,delay,6.0,768,0.003654067515423857,-0.02187807955506671,0.03269746920091455
delay8,delay,8.0,768,0.003681782191872661,-0.03714033213201118,0.04670534594786765
box2,boxcar,2.0,768,0.0047169672468029035,-0.001303384943968134,0.00667164822976355
box4,boxcar,4.0,768,0.0034828885939237955,-0.0033187052035128016,0.010220075366017054
box8,boxcar,8.0,768,0.0023660632358575968,-0.010742034030125561,0.02014582532817457
ema0p25,ema,0.25,768,0.004877965845635836,-0.0010740234348339925,0.006133551032503626
ema0p50,ema,0.5,768,0.0038259149087440172,-0.002123462138134522,0.008423529468530934
ema0p75,ema,0.75,768,0.002985130016665029,-0.008459464219539527,0.01794663506505431
ema0p90,ema,0.9,768,0.0017799200381954422,-0.04613102172976877,0.05977553180188816
