filter_model,filter_family,filter_parameter,prior_scale,n_tables,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1
instant,delay,0.0,0.5,256,-0.0016427869704836186,-0.0016441066128146248,0.0072777352817210705,0.003616906160050137
delay1,delay,1.0,0.5,256,-0.0036916717521781684,-0.003431355065661598,0.010857258894306143,0.002723097098753442
delay2,delay,2.0,0.5,256,-0.007446538818176005,-0.004850709014360563,0.015178092546087263,0.00251572319456714
delay3,delay,3.0,0.5,256,-0.012796092639393703,-0.007710390866123004,0.02027794409319893,0.0019653701703678363
delay4,delay,4.0,0.5,256,-0.01942265922380964,-0.011434796349781035,0.026574857945529416,0.0017311039477589463
delay6,delay,6.0,0.5,256,-0.03880700118681991,-0.02386679603002334,0.04332719261388915,0.0015606311685670876
delay8,delay,8.0,0.5,256,-0.06436245845062019,-0.04006948249582418,0.06285402466180338,0.0015055812666315217
box2,boxcar,2.0,0.5,256,-0.002792432682701838,-0.0021662735230063845,0.009297626755766883,0.0027924680291327936
box4,boxcar,4.0,0.5,256,-0.006640458274623749,-0.005228323252455647,0.01383052921956279,0.002089698143402649
box8,boxcar,8.0,0.5,256,-0.019910445562759872,-0.012236613990548498,0.026372176678180703,0.0012249137595649277
ema0p25,ema,0.25,0.5,256,-0.002365169904391451,-0.002026767554963449,0.008633330664184122,0.002963413403894887
ema0p50,ema,0.5,0.5,256,-0.0043812048102512,-0.003808839197550151,0.011537902572457659,0.0022845853356867514
ema0p75,ema,0.75,0.5,256,-0.015728383877297237,-0.011041268282661679,0.02360295767511877,0.0013262957006217268
ema0p90,ema,0.9,0.5,256,-0.07940678401873344,-0.052428009862515626,0.07807588429299568,0.00074735016946326
instant,delay,0.0,1.0,256,-0.0009951321424377956,-0.0008124104591638176,0.004698420843132937,0.0060392987750345515
delay1,delay,1.0,1.0,256,-0.002208479282910715,-0.0018332273208883088,0.007181866352191187,0.004951640540756747
delay2,delay,2.0,1.0,256,-0.0041020308376478265,-0.004027979650340491,0.010084967924519394,0.004202753628680731
delay3,delay,3.0,1.0,256,-0.006527356535374773,-0.006431598243124864,0.0136047682059344,0.004056575191744592
delay4,delay,4.0,1.0,256,-0.009739969309794535,-0.011216197271368925,0.018129861735841957,0.0040567497192557
delay6,delay,6.0,1.0,256,-0.020071411774896367,-0.019547848043014404,0.029588748507873575,0.003654067515423857
delay8,delay,8.0,1.0,256,-0.033009457016719215,-0.03351642533289226,0.042319714710758884,0.003681782191872661
box2,boxcar,2.0,1.0,256,-0.0016852044601241066,-0.0012070025672009654,0.006153122638906399,0.0047169672468029035
box4,boxcar,4.0,1.0,256,-0.003662298475815455,-0.0030005661330109734,0.009315121050854793,0.0034828885939237955
box8,boxcar,8.0,1.0,256,-0.0104825101996068,-0.010020970832914047,0.01826428229456781,0.0023660632358575968
ema0p25,ema,0.25,1.0,256,-0.0014261734739819763,-0.0010111611470938614,0.005668266106171581,0.004877965845635836
ema0p50,ema,0.5,1.0,256,-0.0025431368832141157,-0.0019963400468428483,0.007728361358830617,0.0038259149087440172
ema0p75,ema,0.75,1.0,256,-0.008567481259046734,-0.008087610536979262,0.01636484335741736,0.002985130016665029
ema0p90,ema,0.9,1.0,256,-0.041694163283821147,-0.0414879921456808,0.05461014639187657,0.0017799200381954422
instant,delay,0.0,2.0,256,0.00048274052690372785,-6.286321162506103e-05,0.003211776915096446,0.011241738983963908
delay1,delay,1.0,2.0,256,0.00042026697806645257,-0.000653179010858998,0.005458459821944214,0.008590049476010934
delay2,delay,2.0,2.0,256,2.8630288340351787e-05,-0.0015560386393848047,0.008135993888464145,0.007197112906814658
delay3,delay,3.0,2.0,256,-0.0006522423683389167,-0.0025838102836451965,0.011224355945483929,0.006530592794661703
delay4,delay,4.0,2.0,256,-0.0015370497693776547,-0.0049717035462904235,0.015615719677299397,0.005957723725205552
delay6,delay,6.0,2.0,256,-0.006755825703483851,-0.010388790393164093,0.025176466480980923,0.005833079194850755
delay8,delay,8.0,2.0,256,-0.014049080928694125,-0.017210617536545486,0.034942298471040675,0.005905874847387041
box2,boxcar,2.0,2.0,256,0.0005674823109215426,-0.00020081424989269736,0.004564195294617368,0.008740657340670518
box4,boxcar,4.0,2.0,256,0.0003466411399007999,-0.0011756721314795382,0.007514575827633577,0.005800951662294112
box8,boxcar,8.0,2.0,256,-0.0018331463280100093,-0.004741005840341955,0.015801017011775196,0.0038270663747601934
ema0p25,ema,0.25,2.0,256,0.0005692730738714497,-0.0001351986286867446,0.004099056327155173,0.009206472543865567
ema0p50,ema,0.5,2.0,256,0.0005539552790617495,-0.0006905517275089534,0.006004324474304527,0.006760332289501611
ema0p75,ema,0.75,2.0,256,-0.0010825275222746086,-0.0040753563964254225,0.0138721041626268,0.00374197850590498
ema0p90,ema,0.9,2.0,256,-0.017292117886751706,-0.02463066568458641,0.04664056472079222,0.0028297057762946224
