filter_model,filter_family,filter_parameter,prior_scale,n_tables,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1
instant,delay,0.0,0.5,32,-0.0035228805447513716,-0.002276670837907363,0.00372157501152504,0.008033746536264826
delay1,delay,1.0,0.5,32,-0.006734347523019003,-0.004318105446567286,0.005334809191283224,0.005541567979515517
delay2,delay,2.0,0.5,32,-0.011547092405705957,-0.005779914375639947,0.007550066109876228,0.004284721217731987
delay3,delay,3.0,0.5,32,-0.017727210852429193,-0.007966293829322499,0.010156475103876145,0.003702942395972961
delay4,delay,4.0,0.5,32,-0.022370226709436267,-0.009471876244833269,0.013690523828509367,0.003527919224269909
delay6,delay,6.0,0.5,32,-0.030806003262353165,-0.015268357958746287,0.025077978015646284,0.0036157871962558593
delay8,delay,8.0,0.5,32,-0.040478410303946055,-0.022931331139311117,0.040913798479916254,0.0033088919537065846
box2,boxcar,2.0,0.5,32,-0.004953002594496631,-0.0022322410011015453,0.004631635921039689,0.006830883312484825
box4,boxcar,4.0,0.5,32,-0.009348557668417936,-0.0062952946246373626,0.0068262121169822155,0.004056589832478875
box8,boxcar,8.0,0.5,32,-0.019063834177659146,-0.010714347556589315,0.013841925049216372,0.002503107710395292
ema0p25,ema,0.25,0.5,32,-0.004389356242766491,-0.0021152774768005145,0.00434130312266183,0.007278928732704668
ema0p50,ema,0.5,0.5,32,-0.006638189407480547,-0.004390226985984819,0.005679248789557348,0.0048938470017689485
ema0p75,ema,0.75,0.5,32,-0.01575727871859104,-0.00956766097409728,0.012151375615857548,0.0037837062627291357
ema0p90,ema,0.9,0.5,32,-0.049350750095792206,-0.0241608263297894,0.05320893652156253,0.0011476730544510041
instant,delay,0.0,1.0,32,-0.0019453699416427982,-0.0014239042818295078,0.004722921127564548,0.00919862140295248
delay1,delay,1.0,1.0,32,-0.0049087884475272755,-0.003876883809519463,0.006245784351091429,0.0055432332553166045
delay2,delay,2.0,1.0,32,-0.008785468588607346,-0.006246602118548092,0.008086848095941885,0.005693593331081144
delay3,delay,3.0,1.0,32,-0.01357192913443956,-0.007514424153476085,0.010549774587273814,0.005145956741809206
delay4,delay,4.0,1.0,32,-0.01917109605339001,-0.00983843440647289,0.01408912822694942,0.005495130815669155
delay6,delay,6.0,1.0,32,-0.029543004434709887,-0.008484234807149965,0.023690624754484198,0.004469049168346159
delay8,delay,8.0,1.0,32,-0.04258835816724471,-0.0167399687694247,0.03478134812985186,0.00439516581631404
box2,boxcar,2.0,1.0,32,-0.0032021880182827945,-0.002486876070220606,0.0058122014203428095,0.0066484871712849565
box4,boxcar,4.0,1.0,32,-0.006476788778835362,-0.003923076482662977,0.008115257989766318,0.004335250996940966
box8,boxcar,8.0,1.0,32,-0.015540794100592384,-0.00893696857303386,0.015175555834602315,0.003748670525740989
ema0p25,ema,0.25,1.0,32,-0.002654868183788686,-0.002067927136347153,0.005494315128697185,0.007168531426890382
ema0p50,ema,0.5,1.0,32,-0.004446364865236986,-0.003198599815041489,0.007042980892846348,0.004244138066040173
ema0p75,ema,0.75,1.0,32,-0.012491571833842715,-0.0060841051773765364,0.013793986548636939,0.0037741277671201464
ema0p90,ema,0.9,1.0,32,-0.049660304354943736,-0.024978141891921907,0.04696813278395505,0.0029805000772141505
instant,delay,0.0,2.0,32,-0.0002362825419327955,-0.00038210450053575984,0.003035931754888175,0.01403698154778006
delay1,delay,1.0,2.0,32,-0.0012158072635485616,-0.0009486865104987863,0.005095701321914417,0.011492626343529107
delay2,delay,2.0,2.0,32,-0.0025510169031441815,-0.0032212501709356495,0.007283036331801139,0.007376309841112465
delay3,delay,3.0,2.0,32,-0.004485076881338788,-0.004567187114309451,0.009689680551800141,0.007242306445952237
delay4,delay,4.0,2.0,32,-0.0074960330454607775,-0.008977914380876209,0.0128647794239988,0.007082261833952309
delay6,delay,6.0,2.0,32,-0.018871508322804233,-0.0233043495661351,0.0190421346608139,0.007423694908595693
delay8,delay,8.0,2.0,32,-0.032074817654295276,-0.0351850493329469,0.025862421221226034,0.006185348638522482
box2,boxcar,2.0,2.0,32,-0.0006178444961820496,-0.0005915569579276886,0.0042962034961889,0.010968107788788966
box4,boxcar,4.0,2.0,32,-0.0018623559794387094,-0.0026046762906837273,0.006814818496880566,0.007318693901435089
box8,boxcar,8.0,2.0,32,-0.008019153258818853,-0.008485830904429795,0.013054559676374582,0.004839754598088199
ema0p25,ema,0.25,2.0,32,-0.00045520963814478857,-0.0005660553577524485,0.0038430023657586125,0.012290267072604184
ema0p50,ema,0.5,2.0,32,-0.00123747055862431,-0.0011075001485038732,0.00545520335371607,0.008341035528416068
ema0p75,ema,0.75,2.0,32,-0.006770518595657955,-0.0065790562217484805,0.011467421880985821,0.0042869435705438445
ema0p90,ema,0.9,2.0,32,-0.04019470010312437,-0.03142667430535272,0.03634168177565321,0.0034297193171982975
