contrast,lhs,rhs,prior_scale,mean_feature_cosine_delta,ci_low,ci_high,fraction_positive,n
continuous_tau_minus_zero_static,observed_plus_continuous_tau_interactions,zero_static,0.5,-0.1162773513162875,-0.14670829443090863,-0.086511522819812,0.328125,256
continuous_tau_minus_zero_static,observed_plus_continuous_tau_interactions,zero_static,1.0,-0.09425015836831632,-0.12590911195663132,-0.061507436821719115,0.359375,256
continuous_tau_minus_zero_static,observed_plus_continuous_tau_interactions,zero_static,2.0,-0.09602430529713099,-0.1293181577853844,-0.06506476975134548,0.3515625,256
continuous_tau_minus_zero_static,observed_plus_continuous_tau_interactions,zero_static,all,-0.10218393832724493,-0.12122685784581538,-0.08335361469617916,0.3463541666666667,768
continuous_tau_minus_observed_compact,observed_plus_continuous_tau_interactions,observed_compact,0.5,-0.09210164730198467,-0.12981004663474038,-0.05661876195696425,0.359375,256
continuous_tau_minus_observed_compact,observed_plus_continuous_tau_interactions,observed_compact,1.0,-0.07855099846032162,-0.11299178957852603,-0.04368282588431527,0.3984375,256
continuous_tau_minus_observed_compact,observed_plus_continuous_tau_interactions,observed_compact,2.0,-0.0822130535624642,-0.11807777487255113,-0.04922712110811335,0.40625,256
continuous_tau_minus_observed_compact,observed_plus_continuous_tau_interactions,observed_compact,all,-0.08428856644159016,-0.10441484755007743,-0.06410167177928044,0.3880208333333333,768
continuous_tau_minus_known_eye_model,observed_plus_continuous_tau_interactions,known_eye_model,0.5,-0.04466174839857842,-0.07474792478944205,-0.014436799073150942,0.4375,256
continuous_tau_minus_known_eye_model,observed_plus_continuous_tau_interactions,known_eye_model,1.0,-0.028767565269382584,-0.05693765068877771,0.0005352539698338901,0.49609375,256
continuous_tau_minus_known_eye_model,observed_plus_continuous_tau_interactions,known_eye_model,2.0,-0.02926109727066596,-0.05751215062594394,-0.0008700755530445216,0.4609375,256
continuous_tau_minus_known_eye_model,observed_plus_continuous_tau_interactions,known_eye_model,all,-0.03423013697954232,-0.05067291370230672,-0.017656832703525905,0.46484375,768
true_tau_minus_zero_static,observed_plus_true_tau_interactions,zero_static,0.5,-0.14485127583977445,-0.17652701776520108,-0.11484207684792329,0.2890625,256
true_tau_minus_zero_static,observed_plus_true_tau_interactions,zero_static,1.0,-0.1396759654417214,-0.17341540937962707,-0.10785060312394243,0.296875,256
true_tau_minus_zero_static,observed_plus_true_tau_interactions,zero_static,2.0,-0.13647603825434562,-0.16811186004887432,-0.10674030924289772,0.296875,256
true_tau_minus_zero_static,observed_plus_true_tau_interactions,zero_static,all,-0.14033442651194716,-0.15793039340346385,-0.12138802795119186,0.2942708333333333,768
true_tau_minus_continuous_tau,observed_plus_true_tau_interactions,observed_plus_continuous_tau_interactions,0.5,-0.02857392452348697,-0.05717866037117661,-0.0018047580330826259,0.44140625,256
true_tau_minus_continuous_tau,observed_plus_true_tau_interactions,observed_plus_continuous_tau_interactions,1.0,-0.04542580707340507,-0.0711356814841785,-0.01700799512406253,0.421875,256
true_tau_minus_continuous_tau,observed_plus_true_tau_interactions,observed_plus_continuous_tau_interactions,2.0,-0.04045173295721464,-0.06660186196366823,-0.01377470924015776,0.421875,256
true_tau_minus_continuous_tau,observed_plus_true_tau_interactions,observed_plus_continuous_tau_interactions,all,-0.03815048818470223,-0.05392994016464909,-0.022166618516011406,0.4283854166666667,768
