contrast,lhs,rhs,prior_scale,mean_feature_cosine_delta,ci_low,ci_high,fraction_positive,n
continuous_tau_minus_augmented_zero_static,augmented_continuous_tau,augmented_zero_static,0.5,-0.09776680002004014,-0.2620467715650682,0.03164463520503853,0.375,16
continuous_tau_minus_augmented_zero_static,augmented_continuous_tau,augmented_zero_static,1.0,-0.23237245179411226,-0.49364927143772663,-0.014831150584743215,0.3125,16
continuous_tau_minus_augmented_zero_static,augmented_continuous_tau,augmented_zero_static,2.0,-0.21352327192350182,-0.4111610957179749,-0.08695384632426684,0.375,16
continuous_tau_minus_augmented_zero_static,augmented_continuous_tau,augmented_zero_static,all,-0.18122084124588475,-0.23437693526487863,-0.04568266383450789,0.3541666666666667,48
continuous_tau_minus_zero_static,augmented_continuous_tau,zero_static,0.5,-0.02733005701106725,-0.22650445246762424,0.20443934055828636,0.5,16
continuous_tau_minus_zero_static,augmented_continuous_tau,zero_static,1.0,-0.1619357087851394,-0.5151545771600697,0.049908566696616495,0.5,16
continuous_tau_minus_zero_static,augmented_continuous_tau,zero_static,2.0,-0.14308652891452897,-0.28372100015330576,0.14029650501021357,0.5625,16
continuous_tau_minus_zero_static,augmented_continuous_tau,zero_static,all,-0.11078409823691188,-0.16956373797289348,0.05035158232179092,0.5208333333333334,48
continuous_tau_minus_observed_compact,augmented_continuous_tau,observed_compact,0.5,0.28105354023960805,0.09439200561655825,0.4693625188675528,0.6875,16
continuous_tau_minus_observed_compact,augmented_continuous_tau,observed_compact,1.0,0.14251697820550074,-0.10456428423983055,0.30064032164757565,0.6875,16
continuous_tau_minus_observed_compact,augmented_continuous_tau,observed_compact,2.0,0.16291468402701406,-0.0749737257384222,0.29534228618016656,0.625,16
continuous_tau_minus_observed_compact,augmented_continuous_tau,observed_compact,all,0.19549506749070758,0.09979955689754343,0.27348469272881637,0.6666666666666666,48
continuous_tau_minus_augmented_observed_compact,augmented_continuous_tau,augmented_observed_compact,0.5,-0.020490832060830147,-0.11598520600499311,0.12952110318370746,0.3125,16
continuous_tau_minus_augmented_observed_compact,augmented_continuous_tau,augmented_observed_compact,1.0,-0.16891416098699924,-0.38045018389379437,-0.019783558992696335,0.4375,16
continuous_tau_minus_augmented_observed_compact,augmented_continuous_tau,augmented_observed_compact,2.0,-0.18189711383318347,-0.35561672606940437,0.04477320534157377,0.4375,16
continuous_tau_minus_augmented_observed_compact,augmented_continuous_tau,augmented_observed_compact,all,-0.12376736896033762,-0.21905195209960254,-0.017129869566530967,0.3958333333333333,48
continuous_tau_minus_augmented_known_eye_model,augmented_continuous_tau,augmented_known_eye_model,0.5,-0.03147152199100112,-0.1484317290969483,0.1284136578002856,0.375,16
continuous_tau_minus_augmented_known_eye_model,augmented_continuous_tau,augmented_known_eye_model,1.0,-0.17825400556917143,-0.26071561480525207,0.02333455085252785,0.125,16
continuous_tau_minus_augmented_known_eye_model,augmented_continuous_tau,augmented_known_eye_model,2.0,-0.2307282412236602,-0.32472708928077676,-0.1622587699007713,0.125,16
continuous_tau_minus_augmented_known_eye_model,augmented_continuous_tau,augmented_known_eye_model,all,-0.14681792292794424,-0.2223642166066907,-0.08526205603828613,0.20833333333333334,48
continuous_tau_minus_known_eye_model,augmented_continuous_tau,known_eye_model,0.5,0.0608750147206078,-0.12621839028244414,0.3088085746169484,0.4375,16
continuous_tau_minus_known_eye_model,augmented_continuous_tau,known_eye_model,1.0,-0.0828582279562879,-0.2718967988612104,0.17482464919879215,0.5,16
continuous_tau_minus_known_eye_model,augmented_continuous_tau,known_eye_model,2.0,-0.0756625738727135,-0.3777680813348222,0.18895673243121155,0.5,16
continuous_tau_minus_known_eye_model,augmented_continuous_tau,known_eye_model,all,-0.03254859570279788,-0.09875568004029547,0.0864119874917971,0.4791666666666667,48
augmented_observed_minus_augmented_zero_static,augmented_observed_compact,augmented_zero_static,0.5,-0.07727596795920999,-0.16884592300198242,-0.025319845582559047,0.5,16
augmented_observed_minus_augmented_zero_static,augmented_observed_compact,augmented_zero_static,1.0,-0.063458290807113,-0.15456724026467009,0.055014425017804555,0.5,16
augmented_observed_minus_augmented_zero_static,augmented_observed_compact,augmented_zero_static,2.0,-0.031626158090318386,-0.18845712482861007,0.10558436944745812,0.5,16
augmented_observed_minus_augmented_zero_static,augmented_observed_compact,augmented_zero_static,all,-0.057453472285547126,-0.11270803471119263,0.00955133929988021,0.5,48
continuous_tau_interactions_minus_augmented_zero_static,augmented_continuous_tau_interactions,augmented_zero_static,0.5,-0.301742038490564,-0.434521962332368,-0.15604504869256983,0.3125,16
continuous_tau_interactions_minus_augmented_zero_static,augmented_continuous_tau_interactions,augmented_zero_static,1.0,-0.3840213147137673,-0.5992608859430896,-0.2108437505477809,0.1875,16
continuous_tau_interactions_minus_augmented_zero_static,augmented_continuous_tau_interactions,augmented_zero_static,2.0,-0.3216332990929674,-0.4855594341477204,-0.07567665266977706,0.1875,16
continuous_tau_interactions_minus_augmented_zero_static,augmented_continuous_tau_interactions,augmented_zero_static,all,-0.3357988840990996,-0.4583299717275049,-0.23059725320479207,0.22916666666666666,48
true_tau_minus_augmented_zero_static,augmented_true_tau_interactions,augmented_zero_static,0.5,-0.045052474237100994,-0.19215576209525467,0.1070760674852531,0.5,16
true_tau_minus_augmented_zero_static,augmented_true_tau_interactions,augmented_zero_static,1.0,-0.006783887652294797,-0.11142122791271782,0.11656705862972441,0.5,16
true_tau_minus_augmented_zero_static,augmented_true_tau_interactions,augmented_zero_static,2.0,-0.04609466800828197,-0.10813616620028688,0.06277676293571281,0.375,16
true_tau_minus_augmented_zero_static,augmented_true_tau_interactions,augmented_zero_static,all,-0.03264367663255926,-0.08275609500211767,0.02738726810590172,0.4583333333333333,48
true_tau_minus_zero_static,augmented_true_tau_interactions,zero_static,0.5,0.025384268771871887,-0.09795021376612723,0.2507045848407481,0.625,16
