input_mode,decoder_mode,fold,n_train_rows,n_test_rows,train_source,input_dim,latent,feature_space_mode,feature_dim,raw_feature_dim,feature_fit_scope,feature_preprocessing,feature_whitened,feature_variance_fraction,mlp_hidden_dim,mlp_layers,mlp_dropout,mlp_learning_rate,mlp_weight_decay,mlp_batch_size,mlp_epochs_requested,mlp_epochs_trained,mlp_best_epoch,mlp_best_val_loss,mlp_final_train_loss,mlp_final_val_loss,mlp_n_fit_rows,mlp_n_val_rows,mlp_device,target_standardized_for_training,response_standardized_for_training
observed_compact,mlp,0,30,18,observed_true_rows,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.27058152656202694,64,2,0.0,0.001,1e-05,64,5,5,4,3.1964731216430664,0.7852497100830078,3.1964731216430664,24,6,cuda,True,True
augmented_observed_compact,mlp,0,2784,18,augmented_prior_trajectory_responses,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.27058152656202694,64,2,0.0,0.001,1e-05,64,5,5,1,1.0945669412612915,0.16931532749107905,1.180219054222107,2208,576,cuda,True,True
augmented_continuous_tau,mlp,0,2784,18,augmented_prior_trajectory_responses,560,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.27058152656202694,64,2,0.0,0.001,1e-05,64,5,4,0,1.5291715860366821,0.20249409803322382,1.8083610534667969,2208,576,cuda,True,True
augmented_continuous_tau_interactions,mlp,0,2784,18,augmented_prior_trajectory_responses,1200,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.27058152656202694,64,2,0.0,0.001,1e-05,64,5,5,1,1.3386188745498657,0.18922128336770194,1.4783413410186768,2208,576,cuda,True,True
augmented_true_tau_interactions,mlp,0,2784,18,augmented_prior_trajectory_responses,1200,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.27058152656202694,64,2,0.0,0.001,1e-05,64,5,5,2,1.614436388015747,0.16644839983847406,1.7346614599227905,2304,480,cuda,True,True
augmented_zero_static,mlp,0,174,18,augmented_zero_static_responses,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.27058152656202694,64,2,0.0,0.001,1e-05,64,5,5,4,1.4203808307647705,0.5363953411579132,1.4203808307647705,150,24,cuda,True,True
augmented_known_eye_model,mlp,0,174,18,augmented_known_eye_responses,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.27058152656202694,64,2,0.0,0.001,1e-05,64,5,5,4,0.7321867346763611,0.6259036759535471,0.7321867346763611,138,36,cuda,True,True
observed_plus_continuous_tau,mlp,0,30,18,observed_true_rows,560,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.27058152656202694,64,2,0.0,0.001,1e-05,64,5,4,0,198.91661071777344,0.8467707633972168,199.31564331054688,24,6,cuda,True,True
observed_plus_continuous_tau_interactions,mlp,0,30,18,observed_true_rows,1200,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.27058152656202694,64,2,0.0,0.001,1e-05,64,5,5,4,0.6707472801208496,0.5887392163276672,0.6707472801208496,24,6,cuda,True,True
zero_static,mlp,0,30,18,observed_true_rows,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.27058152656202694,64,2,0.0,0.001,1e-05,64,5,4,0,1.6109174489974976,0.6244821548461914,1.9662985801696777,24,6,cuda,True,True
