row_index,table_index,manifest_table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,true_candidate_index,true_candidate_id,true_source_row,n_candidates,n_trajectories,n_timebins,n_units,projection_basis_dim,continuous_inference_basis_dim,trajectory_rmse,trajectory_corr_mean,continuous_joint_true_rank,continuous_joint_correct,input_mode,decoder_mode,fold,latent,feature_space_mode,feature_dim,feature_variance_fraction,input_dim,n_train_rows,train_source,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
0,0,0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,0,source_row:25,25,4,16,40,756,8,10,0.04160556828637218,-0.002927453861007928,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,1.0479626026460218,-1.0479626026460218,1.0237004457584367,2.895462108397928,-0.15884733520369435,2.2740209449050988,1.4671681131005025
1,1,1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,0,source_row:25,25,4,16,40,756,8,10,0.035949913988888416,0.3886572906367649,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,1.0479626026460218,-1.0479626026460218,1.0237004457584367,2.895462108397928,-0.15884733520369435,2.2740209449050988,1.4671681131005025
2,2,2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,0,source_row:25,25,4,16,40,756,8,20,0.12799343940103788,0.12587299523754966,3,False,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,1.0536853178533954,-1.0536853178533954,1.0264917524526904,2.903357115965441,-0.12339088652337869,2.2740209449050988,1.546164316397156
3,3,3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,0,source_row:25,25,4,16,40,756,8,20,0.11254072629306021,0.3933590444713258,3,False,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,1.0536853178533954,-1.0536853178533954,1.0264917524526904,2.903357115965441,-0.12339088652337869,2.2740209449050988,1.546164316397156
4,4,4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,0,source_row:25,25,4,16,40,756,8,20,0.15817259829241262,0.11456868941931331,3,False,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,0.971211623275184,-0.971211623275184,0.9855006967400805,2.787416902115913,-0.06926737325118697,2.2740209449050988,1.4621551409477167
5,5,5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,0,source_row:25,25,4,16,40,756,8,20,0.1496936672164485,0.3382530869742966,3,False,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,0.971211623275184,-0.971211623275184,0.9855006967400805,2.787416902115913,-0.06926737325118697,2.2740209449050988,1.4621551409477167
18,18,18,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,0,source_row:369,369,4,16,40,756,8,10,0.04063447636354513,-0.161993955187515,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,0.28064302066599234,-0.28064302066599234,0.5297575111935576,1.4983805141978919,0.4472789686948419,1.3032474367250582,1.5244460392467862
19,19,19,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,0,source_row:369,369,4,16,40,756,8,10,0.043906673442477055,-0.009917828830535852,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,0.28064302066599234,-0.28064302066599234,0.5297575111935576,1.4983805141978919,0.4472789686948419,1.3032474367250582,1.5244460392467862
20,20,20,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,0,source_row:369,369,4,16,40,756,8,20,0.10395399455496865,0.06421425951900003,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,0.2808432833669039,-0.2808432833669039,0.5299464910412219,1.498915029925056,0.46701009576755087,1.3032474367250582,1.5671298457497154
21,21,21,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,0,source_row:369,369,4,16,40,756,8,20,0.10016566494726782,0.5387425001308523,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,0.2808432833669039,-0.2808432833669039,0.5299464910412219,1.498915029925056,0.46701009576755087,1.3032474367250582,1.5671298457497154
22,22,22,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,0,source_row:369,369,4,16,40,756,8,20,0.1455633604650242,-0.16219254436514066,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,8,0.27058152656202694,320,30,observed_true_rows,0.22649542272898793,-0.22649542272898793,0.4759153524829683,1.3460918920459715,0.5419629212306043,1.3032474367250582,1.488862643889264
