contrast,lhs,rhs,prior_scale,mean_feature_cosine_delta,ci_low,ci_high,fraction_positive,n
continuous_tau_minus_augmented_zero_static,augmented_continuous_tau,augmented_zero_static,0.5,0.010356553003373908,-0.020787115724121473,0.03875237156331338,0.5390625,256
continuous_tau_minus_augmented_zero_static,augmented_continuous_tau,augmented_zero_static,1.0,-0.022906953533501175,-0.056448141622742386,0.00848730182617144,0.5,256
continuous_tau_minus_augmented_zero_static,augmented_continuous_tau,augmented_zero_static,2.0,-0.018534213813021096,-0.05372737994406836,0.01550491004521579,0.515625,256
continuous_tau_minus_augmented_zero_static,augmented_continuous_tau,augmented_zero_static,all,-0.010361538114382788,-0.030680376641662805,0.008368932173535303,0.5182291666666666,768
continuous_tau_minus_zero_static,augmented_continuous_tau,zero_static,0.5,0.12005839717885336,0.08062105285806981,0.16365903131578666,0.62890625,256
continuous_tau_minus_zero_static,augmented_continuous_tau,zero_static,1.0,0.08679489064197828,0.04867448361689866,0.12787894601875935,0.56640625,256
continuous_tau_minus_zero_static,augmented_continuous_tau,zero_static,2.0,0.09116763036245834,0.05037211603286348,0.13285594298844267,0.6171875,256
continuous_tau_minus_zero_static,augmented_continuous_tau,zero_static,all,0.09934030606109666,0.07505173563397827,0.1225283907234319,0.6041666666666666,768
continuous_tau_minus_observed_compact,augmented_continuous_tau,observed_compact,0.5,0.14423410119315613,0.09992631275027017,0.1888297322352703,0.58203125,256
continuous_tau_minus_observed_compact,augmented_continuous_tau,observed_compact,1.0,0.10249405054997297,0.061532968652501914,0.14479178370477133,0.5703125,256
continuous_tau_minus_observed_compact,augmented_continuous_tau,observed_compact,2.0,0.10497888209712514,0.06327852864392425,0.14630505850704784,0.57421875,256
continuous_tau_minus_observed_compact,augmented_continuous_tau,observed_compact,all,0.11723567794675142,0.09324072847670987,0.14246557924766248,0.5755208333333334,768
continuous_tau_minus_augmented_observed_compact,augmented_continuous_tau,augmented_observed_compact,0.5,-0.031832946479287944,-0.057880065490541345,-0.0057865213021984436,0.46484375,256
continuous_tau_minus_augmented_observed_compact,augmented_continuous_tau,augmented_observed_compact,1.0,-0.06351865854597366,-0.09310632248450264,-0.03504069238185604,0.390625,256
continuous_tau_minus_augmented_observed_compact,augmented_continuous_tau,augmented_observed_compact,2.0,-0.07129319179757788,-0.10225102979226294,-0.041383424783848655,0.3984375,256
continuous_tau_minus_augmented_observed_compact,augmented_continuous_tau,augmented_observed_compact,all,-0.05554826560761317,-0.07134042391580737,-0.038500143619404084,0.41796875,768
continuous_tau_minus_augmented_known_eye_model,augmented_continuous_tau,augmented_known_eye_model,0.5,0.022632492654946445,-0.011451676264529689,0.05615501458217215,0.5,256
continuous_tau_minus_augmented_known_eye_model,augmented_continuous_tau,augmented_known_eye_model,1.0,-0.02208785190390712,-0.05618311169251546,0.012344995052284044,0.4765625,256
continuous_tau_minus_augmented_known_eye_model,augmented_continuous_tau,augmented_known_eye_model,2.0,-0.017492455606252597,-0.05442200975231165,0.017503478251911782,0.42578125,256
continuous_tau_minus_augmented_known_eye_model,augmented_continuous_tau,augmented_known_eye_model,all,-0.005649271618404427,-0.025474377167396423,0.014728560530610831,0.4674479166666667,768
continuous_tau_minus_known_eye_model,augmented_continuous_tau,known_eye_model,0.5,0.1916740000965624,0.14569828626560494,0.23575318233164286,0.65625,256
continuous_tau_minus_known_eye_model,augmented_continuous_tau,known_eye_model,1.0,0.152277483740912,0.10805981547145863,0.1977568708601019,0.58984375,256
continuous_tau_minus_known_eye_model,augmented_continuous_tau,known_eye_model,2.0,0.15793083838892338,0.11209439948822612,0.20473092013204777,0.62109375,256
continuous_tau_minus_known_eye_model,augmented_continuous_tau,known_eye_model,all,0.16729410740879927,0.14073014087729957,0.19561961354593702,0.6223958333333334,768
augmented_observed_minus_augmented_zero_static,augmented_observed_compact,augmented_zero_static,0.5,0.042189499482661846,0.012772468896521106,0.07054039304586598,0.5859375,256
augmented_observed_minus_augmented_zero_static,augmented_observed_compact,augmented_zero_static,1.0,0.040611705012472486,0.012505046825316554,0.06915824240390762,0.5625,256
augmented_observed_minus_augmented_zero_static,augmented_observed_compact,augmented_zero_static,2.0,0.05275897798455681,0.025219540199992035,0.08201770853651381,0.609375,256
augmented_observed_minus_augmented_zero_static,augmented_observed_compact,augmented_zero_static,all,0.04518672749323038,0.0291530149040898,0.06177391251203448,0.5859375,768
continuous_tau_interactions_minus_augmented_zero_static,augmented_continuous_tau_interactions,augmented_zero_static,0.5,0.018320317731604523,-0.011783010483709664,0.04782497056284008,0.52734375,256
continuous_tau_interactions_minus_augmented_zero_static,augmented_continuous_tau_interactions,augmented_zero_static,1.0,-0.029633539659378937,-0.06442014901945643,0.005197415664660025,0.45703125,256
continuous_tau_interactions_minus_augmented_zero_static,augmented_continuous_tau_interactions,augmented_zero_static,2.0,-0.038191004933532044,-0.07374345020692247,-0.0033115886867626032,0.45703125,256
continuous_tau_interactions_minus_augmented_zero_static,augmented_continuous_tau_interactions,augmented_zero_static,all,-0.01650140895376882,-0.035491473193140416,0.0031383697889068485,0.48046875,768
true_tau_no_interactions_minus_augmented_zero_static,augmented_true_tau,augmented_zero_static,0.5,0.024565548116728293,-0.005115435872841525,0.056902752252289426,0.5625,256
true_tau_no_interactions_minus_augmented_zero_static,augmented_true_tau,augmented_zero_static,1.0,0.022114221842248736,-0.011068404317694432,0.05305544060745006,0.6015625,256
true_tau_no_interactions_minus_augmented_zero_static,augmented_true_tau,augmented_zero_static,2.0,0.036583745427980104,0.005331149999380412,0.06987281063661262,0.578125,256
true_tau_no_interactions_minus_augmented_zero_static,augmented_true_tau,augmented_zero_static,all,0.027754505128985706,0.009521015670775798,0.046600498863163656,0.5807291666666666,768
true_tau_no_interactions_minus_continuous_tau,augmented_true_tau,augmented_continuous_tau,0.5,0.01420899511335438,-0.01695192185748692,0.04483736074406068,0.48828125,256
true_tau_no_interactions_minus_continuous_tau,augmented_true_tau,augmented_continuous_tau,1.0,0.045021175375749914,0.012392814487111672,0.07616481004206219,0.5859375,256
true_tau_no_interactions_minus_continuous_tau,augmented_true_tau,augmented_continuous_tau,2.0,0.0551179592410012,0.023089293651466128,0.0888880359800344,0.59765625,256
true_tau_no_interactions_minus_continuous_tau,augmented_true_tau,augmented_continuous_tau,all,0.0381160432433685,0.018917752068595795,0.056888152146949804,0.5572916666666666,768
true_tau_minus_augmented_zero_static,augmented_true_tau_interactions,augmented_zero_static,0.5,0.025851110223943333,-0.0059875693666674576,0.05489272295901713,0.4765625,256
true_tau_minus_augmented_zero_static,augmented_true_tau_interactions,augmented_zero_static,1.0,0.02926458109154193,-0.0017211277656936038,0.060235634443808445,0.5234375,256
true_tau_minus_augmented_zero_static,augmented_true_tau_interactions,augmented_zero_static,2.0,0.021715632613062058,-0.00926057093072481,0.053919817110436974,0.5078125,256
true_tau_minus_augmented_zero_static,augmented_true_tau_interactions,augmented_zero_static,all,0.025610441309515775,0.007453223013638413,0.043119160987722324,0.5026041666666666,768
true_tau_minus_zero_static,augmented_true_tau_interactions,zero_static,0.5,0.13555295439942278,0.09172319387782044,0.18135425920043682,0.6015625,256
true_tau_minus_zero_static,augmented_true_tau_interactions,zero_static,1.0,0.13896642526702135,0.09361691118460094,0.1838993218354647,0.609375,256
true_tau_minus_zero_static,augmented_true_tau_interactions,zero_static,2.0,0.1314174767885415,0.08990451316875313,0.17468606742582854,0.6015625,256
true_tau_minus_zero_static,augmented_true_tau_interactions,zero_static,all,0.13531228548499522,0.10943700376891353,0.1601927231863603,0.6041666666666666,768
true_tau_minus_continuous_tau,augmented_true_tau_interactions,augmented_continuous_tau,0.5,0.015494557220569423,-0.011854568476696112,0.04290142469222387,0.46484375,256
true_tau_minus_continuous_tau,augmented_true_tau_interactions,augmented_continuous_tau,1.0,0.0521715346250431,0.022406867322836966,0.08317727952334936,0.546875,256
true_tau_minus_continuous_tau,augmented_true_tau_interactions,augmented_continuous_tau,2.0,0.04024984642608316,0.011234273763844569,0.06990525190037616,0.53515625,256
true_tau_minus_continuous_tau,augmented_true_tau_interactions,augmented_continuous_tau,all,0.03597197942389856,0.01809986618685056,0.05415771104466026,0.515625,768
