input_mode,decoder_mode,fold,n_train_rows,n_test_rows,train_source,input_dim,latent,feature_space_mode,feature_dim,raw_feature_dim,feature_fit_scope,feature_preprocessing,feature_whitened,feature_variance_fraction,mlp_hidden_dim,mlp_layers,mlp_dropout,mlp_learning_rate,mlp_weight_decay,mlp_batch_size,mlp_epochs_requested,mlp_epochs_trained,mlp_best_epoch,mlp_best_val_loss,mlp_final_train_loss,mlp_final_val_loss,mlp_n_fit_rows,mlp_n_val_rows,mlp_device,target_standardized_for_training,response_standardized_for_training
observed_compact,mlp,0,612,156,observed_true_rows,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6515567488573997,512,4,0.0,0.001,1e-05,256,300,42,1,1.068191409111023,0.0029144297586753964,1.1373049020767212,492,120,cuda,True,True
augmented_observed_compact,mlp,0,39648,156,augmented_prior_trajectory_responses,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6515567488573997,512,4,0.0,0.001,1e-05,256,300,63,22,0.8824774026870728,0.006436319490603637,0.9626901745796204,32736,6912,cuda,True,True
augmented_continuous_tau,mlp,0,39648,156,augmented_prior_trajectory_responses,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6515567488573997,512,4,0.0,0.001,1e-05,256,300,50,9,1.4575663805007935,0.005923612618921544,1.551082968711853,32352,7296,cuda,True,True
augmented_continuous_tau_interactions,mlp,0,39648,156,augmented_prior_trajectory_responses,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6515567488573997,512,4,0.0,0.001,1e-05,256,300,53,12,1.0994203090667725,0.005240184413774531,1.2289881706237793,32832,6816,cuda,True,True
augmented_true_tau,mlp,0,39648,156,augmented_prior_trajectory_responses,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6515567488573997,512,4,0.0,0.001,1e-05,256,300,51,10,1.0662205219268799,0.004049386373018754,1.1498439311981201,31200,8448,cuda,True,True
augmented_true_tau_interactions,mlp,0,39648,156,augmented_prior_trajectory_responses,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6515567488573997,512,4,0.0,0.001,1e-05,256,300,55,14,1.2143349647521973,0.0058537711291898826,1.2919186353683472,33024,6624,cuda,True,True
augmented_zero_static,mlp,0,2478,156,augmented_zero_static_responses,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6515567488573997,512,4,0.0,0.001,1e-05,256,300,41,0,1.2231460809707642,0.00016201854987230035,1.6087669134140015,2016,462,cuda,True,True
augmented_known_eye_model,mlp,0,2478,156,augmented_known_eye_responses,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6515567488573997,512,4,0.0,0.001,1e-05,256,300,44,3,1.1196738481521606,0.001971852529095486,1.1344441175460815,2004,474,cuda,True,True
observed_plus_continuous_tau,mlp,0,612,156,observed_true_rows,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6515567488573997,512,4,0.0,0.001,1e-05,256,300,41,0,1.164473295211792,0.003520336002111435,1.2473336458206177,492,120,cuda,True,True
observed_plus_continuous_tau_interactions,mlp,0,612,156,observed_true_rows,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6515567488573997,512,4,0.0,0.001,1e-05,256,300,42,1,0.9677103161811829,0.004168088082224131,1.073876142501831,492,120,cuda,True,True
