input_mode,prior_scale,n,mean_feature_cosine,median_feature_cosine,mean_feature_mse,median_feature_rmse,median_trajectory_rmse
augmented_continuous_tau,0.5,256,0.3346783650211325,0.26902361130665814,0.5078596150560918,0.6060731398203862,0.05168604537708975
augmented_continuous_tau_interactions,0.5,256,0.34264212974936314,0.26376614794491693,0.5231289075034532,0.6297779408869465,0.05168604537708975
augmented_known_eye_model,0.5,256,0.3120458723661861,0.2967185005674273,0.417248057482084,0.5640687823404293,0.05168604537708975
augmented_observed_compact,0.5,256,0.36651131150042043,0.30198734477090605,0.5063259959161993,0.61975732877821,0.05168604537708975
augmented_true_tau,0.5,256,0.3488873601344869,0.2601212042954778,0.4960218512070628,0.6353221081992246,0.05168604537708975
augmented_true_tau_interactions,0.5,256,0.35017292224170193,0.26612172430542375,0.5426654604109283,0.6513440037699096,0.05168604537708975
augmented_zero_static,0.5,256,0.3243218120177586,0.29874097513471154,0.43906029668304336,0.5888369813763807,0.05168604537708975
known_eye_model,0.5,256,0.1430043649245701,0.14808794938032063,0.34005110960963414,0.5130003420264722,0.05168604537708975
observed_compact,0.5,256,0.19044426382797636,0.17764196798335785,0.3517253151968469,0.5247370215437944,0.05168604537708975
observed_plus_continuous_tau,0.5,256,0.11328488516119987,0.13191481243032122,0.34041325890292873,0.5143095454232619,0.05168604537708975
observed_plus_continuous_tau_interactions,0.5,256,0.09834261652599169,0.0988207152493735,0.3403966428893366,0.5123642818656005,0.05168604537708975
zero_static,0.5,256,0.21461996784227916,0.2081151506175614,0.34377765371203256,0.5303115274234225,0.05168604537708975
augmented_continuous_tau,1.0,256,0.3014148584842574,0.24268574572326382,0.516295443053468,0.6317398128089519,0.13468662979107102
augmented_continuous_tau_interactions,1.0,256,0.2946882723583797,0.2225938257963029,0.5014561736710137,0.6190185545217053,0.13468662979107102
augmented_known_eye_model,1.0,256,0.3235027103881645,0.31044067273732084,0.42566431386086906,0.5663668089921583,0.13468662979107102
augmented_observed_compact,1.0,256,0.3649335170302311,0.3076283548155432,0.5141162491509877,0.6331646529664101,0.13468662979107102
augmented_true_tau,1.0,256,0.3464360338600073,0.27525674419687396,0.5124057301998434,0.6211895579230239,0.13468662979107102
augmented_true_tau_interactions,1.0,256,0.3535863931093005,0.27528530349827374,0.5408847658030073,0.6381097371985005,0.13468662979107102
augmented_zero_static,1.0,256,0.3243218120177586,0.29874097513471154,0.43906029668304336,0.5888369813763807,0.13468662979107102
known_eye_model,1.0,256,0.14913737474334543,0.16534767515154652,0.3386979198710533,0.5082610786332934,0.13468662979107102
observed_compact,1.0,256,0.19892080793428446,0.19598362588331125,0.3501600399843871,0.5197951834924321,0.13468662979107102
observed_plus_continuous_tau,1.0,256,0.12328116104469423,0.13795519605815793,0.34012825293230525,0.5147214951435368,0.13468662979107102
observed_plus_continuous_tau_interactions,1.0,256,0.12036980947396284,0.12211798535728419,0.34251917330935505,0.5137866493386329,0.13468662979107102
zero_static,1.0,256,0.21461996784227916,0.2081151506175614,0.34377765371203256,0.5303115274234225,0.13468662979107102
augmented_continuous_tau,2.0,256,0.3057875982047375,0.23462076868394866,0.5275515888839607,0.6581357642863943,0.16077145243807311
augmented_continuous_tau_interactions,2.0,256,0.28613080708422656,0.241426885241662,0.5120284776215345,0.6306476789447952,0.16077145243807311
augmented_known_eye_model,2.0,256,0.3232800538109901,0.3104226220720564,0.44441051553219457,0.5758334336892645,0.16077145243807311
augmented_observed_compact,2.0,256,0.3770807900023154,0.3378188033298196,0.5136950289980339,0.6430923743023705,0.16077145243807311
augmented_true_tau,2.0,256,0.3609055574457387,0.29781188684640786,0.5027829406201187,0.633834510822116,0.16077145243807311
augmented_true_tau_interactions,2.0,256,0.34603744463082065,0.2537856517237529,0.5655475169352624,0.6676602599325001,0.16077145243807311
augmented_zero_static,2.0,256,0.3243218120177586,0.29874097513471154,0.43906029668304336,0.5888369813763807,0.16077145243807311
known_eye_model,2.0,256,0.14785675981581414,0.16580198898546128,0.33821532703464674,0.5058426378665187,0.16077145243807311
observed_compact,2.0,256,0.20080871610761236,0.180512245393309,0.3580942611466669,0.5348748083172494,0.16077145243807311
observed_plus_continuous_tau,2.0,256,0.12989597107062972,0.14397522681665348,0.3410936338700661,0.5170434403977695,0.16077145243807311
observed_plus_continuous_tau_interactions,2.0,256,0.11859566254514817,0.14808118449240548,0.3427842165161653,0.5166569684303415,0.16077145243807311
zero_static,2.0,256,0.21461996784227916,0.2081151506175614,0.34377765371203256,0.5303115274234225,0.16077145243807311
augmented_continuous_tau,all,768,0.31396027390337583,0.25063197947193977,0.5172355489978401,0.6368034922787662,0.1297561385195558
augmented_continuous_tau_interactions,all,768,0.3078204030639898,0.24415576495542765,0.5122045195986672,0.6283976232878316,0.1297561385195558
augmented_known_eye_model,all,768,0.3196095455217802,0.3086456073077679,0.42910762895838256,0.5718597989211924,0.1297561385195558
augmented_observed_compact,all,768,0.36950853951098894,0.32031953097252097,0.5113790913550736,0.6323434233008441,0.1297561385195558
augmented_true_tau,all,768,0.3520763171467443,0.28315604683769746,0.5037368406756749,0.6308852251289727,0.1297561385195558
augmented_true_tau_interactions,all,768,0.3499322533272744,0.26935685927583397,0.5496992477163993,0.6522708039421833,0.1297561385195558
augmented_zero_static,all,768,0.3243218120177586,0.29874097513471154,0.4390602966830434,0.5888369813763807,0.1297561385195558
known_eye_model,all,768,0.14666616649457656,0.16339274505139983,0.3389881188384447,0.5082610786332934,0.1297561385195558
observed_compact,all,768,0.1967245959566244,0.18116021034955215,0.353326538775967,0.5233280080354578,0.1297561385195558
observed_plus_continuous_tau,all,768,0.12215400575884128,0.13905252712700256,0.3405450485684334,0.514726966191678,0.1297561385195558
observed_plus_continuous_tau_interactions,all,768,0.11243602951503423,0.12004859253605113,0.3419000109049523,0.5137866493386329,0.1297561385195558
zero_static,all,768,0.21461996784227913,0.2081151506175614,0.34377765371203256,0.5303115274234225,0.1297561385195558
