input_mode,decoder_mode,fold,n_train_rows,n_test_rows,input_dim,latent,feature_space_mode,feature_dim,raw_feature_dim,feature_fit_scope,feature_preprocessing,feature_whitened,feature_variance_fraction,mlp_hidden_dim,mlp_layers,mlp_dropout,mlp_learning_rate,mlp_weight_decay,mlp_batch_size,mlp_epochs_requested,mlp_epochs_trained,mlp_best_epoch,mlp_best_val_loss,mlp_final_train_loss,mlp_final_val_loss,mlp_n_fit_rows,mlp_n_val_rows,mlp_device,target_standardized_for_training,response_standardized_for_training
observed_compact,mlp,0,30,18,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.27058152656202694,64,2,0.0,0.001,1e-05,64,5,5,4,3.1964731216430664,0.7852497100830078,3.1964731216430664,24,6,cuda,True,True
observed_plus_continuous_tau,mlp,0,30,18,560,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.27058152656202694,64,2,0.0,0.001,1e-05,64,5,4,0,198.91661071777344,0.8467707633972168,199.31564331054688,24,6,cuda,True,True
observed_plus_continuous_tau_interactions,mlp,0,30,18,1200,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.27058152656202694,64,2,0.0,0.001,1e-05,64,5,5,4,0.6707472801208496,0.5887392163276672,0.6707472801208496,24,6,cuda,True,True
observed_plus_true_tau_interactions,mlp,0,30,18,1200,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.27058152656202694,64,2,0.0,0.001,1e-05,64,5,4,0,3.405848979949951,0.4515676498413086,3.5753402709960938,24,6,cuda,True,True
zero_static,mlp,0,30,18,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.27058152656202694,64,2,0.0,0.001,1e-05,64,5,4,0,1.6109174489974976,0.6244821548461914,1.9662985801696777,24,6,cuda,True,True
known_eye_model,mlp,0,30,18,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.27058152656202694,64,2,0.0,0.001,1e-05,64,5,4,0,197.38851928710938,0.8091520667076111,197.49948120117188,24,6,cuda,True,True
observed_compact,mlp,1,30,18,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2670162989951853,64,2,0.0,0.001,1e-05,64,5,4,0,1.2952641248703003,0.8281239867210388,1.4065206050872803,24,6,cuda,True,True
observed_plus_continuous_tau,mlp,1,30,18,560,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2670162989951853,64,2,0.0,0.001,1e-05,64,5,5,3,1.6634178161621094,0.6991821527481079,1.6677411794662476,24,6,cuda,True,True
observed_plus_continuous_tau_interactions,mlp,1,30,18,1200,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2670162989951853,64,2,0.0,0.001,1e-05,64,5,5,4,1.6140506267547607,0.6494712829589844,1.6140506267547607,24,6,cuda,True,True
observed_plus_true_tau_interactions,mlp,1,30,18,1200,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2670162989951853,64,2,0.0,0.001,1e-05,64,5,4,0,1.3615341186523438,0.5037532448768616,1.3863885402679443,24,6,cuda,True,True
zero_static,mlp,1,30,18,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2670162989951853,64,2,0.0,0.001,1e-05,64,5,5,1,23.37804412841797,0.7372391223907471,23.39101219177246,24,6,cuda,True,True
known_eye_model,mlp,1,30,18,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2670162989951853,64,2,0.0,0.001,1e-05,64,5,5,4,18.46339988708496,0.7735723257064819,18.46339988708496,24,6,cuda,True,True
observed_compact,mlp,2,36,12,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,4,0,2.532679796218872,0.8180223703384399,2.580592155456543,30,6,cuda,True,True
observed_plus_continuous_tau,mlp,2,36,12,560,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,5,4,8.164267539978027,0.7835872769355774,8.164267539978027,30,6,cuda,True,True
observed_plus_continuous_tau_interactions,mlp,2,36,12,1200,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,4,0,2.487405776977539,0.7599138617515564,2.77112078666687,30,6,cuda,True,True
observed_plus_true_tau_interactions,mlp,2,36,12,1200,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,4,0,7.025662422180176,0.5649095177650452,8.408287048339844,30,6,cuda,True,True
zero_static,mlp,2,36,12,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,5,4,8.31315803527832,0.7232052087783813,8.31315803527832,30,6,cuda,True,True
known_eye_model,mlp,2,36,12,320,pyramid_local_field,fold_zscore_whitened_pca,8,3072,fold,zscore,True,0.2673312219776971,64,2,0.0,0.001,1e-05,64,5,4,0,6.416221618652344,0.851099967956543,6.551995277404785,30,6,cuda,True,True
