observer,accuracy,color_key,recovery_fraction,candidate,candidate_set_mode,observation_condition,observation_family,observation_scale,prior_condition,prior_family,prior_scale,trajectory_prior_mode,likelihood_scale,n_trials,known_eye_accuracy,zero_eye_accuracy,joint_eye_accuracy,best_single_tau_accuracy,best_trajectory_oracle_accuracy,joint_minus_zero_accuracy,known_minus_zero_accuracy,best_single_tau_minus_joint_accuracy,best_oracle_minus_joint_accuracy,median_known_rank,median_zero_rank,median_joint_rank,median_best_single_tau_rank,median_best_trajectory_oracle_rank,median_N_eff_fraction,median_nearest_tau_rank,median_joint_vs_best_single_tau_gap,median_joint_vs_best_dilution_gap,median_joint_true_margin,median_known_true_margin,median_zero_true_margin,zero_accuracy,joint_min,joint_max,gap_min,gap_max,compact_addback_mean_cosine,compact_subspace_mean_cosine,compact_removed_mean_cosine,full_joint_mean_cosine,known_mean_cosine,zero_mean_cosine,scale_label,latent,requested_k,k_dim,selected_option
zero eye,0.328125,zero,,4C_candidate_1_matched_static_rescue_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint empirical,0.765625,empirical,0.6511627906976745,4C_candidate_1_matched_static_rescue_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint OU,0.796875,ou,0.6976744186046512,4C_candidate_1_matched_static_rescue_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
known eye,1.0,known,1.0,4C_candidate_1_matched_static_rescue_current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zero eye,0.328125,zero,0.6511627906976745,4C_candidate_2_empirical_prior_rescue_clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joint empirical,0.765625,empirical,0.6511627906976745,4C_candidate_2_empirical_prior_rescue_clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
known eye,1.0,known,0.6511627906976745,4C_candidate_2_empirical_prior_rescue_clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4C_candidate_3_accuracy_ordering_context,hard_negative_structure,empirical,empirical,0.5,empirical,empirical,0.5,leave_one_out,1.0,64.0,1.0,0.578125,0.84375,0.859375,0.859375,0.265625,0.421875,0.015625,0.015625,1.0,1.0,1.0,1.0,1.0,0.5765987054984817,2.0,0.9076078734026112,0.9076078734026112,0.2678795644681599,0.5761838116755769,0.1109446997166685,,,,,,,,,,,,,,,,
,,,,4C_candidate_3_accuracy_ordering_context,hard_negative_structure,empirical,empirical,0.5,ou,ou,0.5,leave_one_out,1.0,64.0,1.0,0.578125,0.84375,0.84375,0.84375,0.265625,0.421875,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5466232269869747,2.0,0.932665863811053,0.932665863811053,0.3065968361055695,0.5761838116755769,0.1109446997166685,,,,,,,,,,,,,,,,
,,,,4C_candidate_3_accuracy_ordering_context,hard_negative_structure,empirical,empirical,1.0,empirical,empirical,1.0,leave_one_out,1.0,64.0,1.0,0.3125,0.875,0.828125,0.828125,0.5625,0.6875,-0.046875,-0.046875,1.0,3.0,1.0,1.0,1.0,0.4181202219959103,2.0,1.187521010750089,1.187521010750089,0.3389620231000947,0.7049099308191558,-1.0225250011110063,,,,,,,,,,,,,,,,
,,,,4C_candidate_3_accuracy_ordering_context,hard_negative_structure,empirical,empirical,1.0,ou,ou,1.0,leave_one_out,1.0,64.0,1.0,0.3125,0.828125,0.828125,0.828125,0.515625,0.6875,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.4508775088385378,3.0,1.128064203615395,1.128064203615395,0.3744911718505079,0.7049099308191558,-1.0225250011110063,,,,,,,,,,,,,,,,
,,,,4C_candidate_3_accuracy_ordering_context,matched_static_response,empirical,empirical,0.5,empirical,empirical,0.5,leave_one_out,1.0,64.0,1.0,0.578125,0.828125,0.875,0.875,0.25,0.421875,0.046875,0.046875,1.0,1.0,1.0,1.0,1.0,0.5066352708892143,2.0,0.934033543634186,0.934033543634186,0.2552625430353998,0.4577337170099724,0.0934660826436015,,,,,,,,,,,,,,,,
,,,,4C_candidate_3_accuracy_ordering_context,matched_static_response,empirical,empirical,0.5,ou,ou,0.5,leave_one_out,1.0,64.0,1.0,0.578125,0.8125,0.859375,0.859375,0.234375,0.421875,0.046875,0.046875,1.0,1.0,1.0,1.0,1.0,0.5820037982726292,2.5,0.8187876611583818,0.8187876611583818,0.232896896739561,0.4577337170099724,0.0934660826436015,,,,,,,,,,,,,,,,
,,,,4C_candidate_3_accuracy_ordering_context,matched_static_response,empirical,empirical,1.0,empirical,empirical,1.0,leave_one_out,1.0,64.0,1.0,0.328125,0.765625,0.765625,0.765625,0.4375,0.671875,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.3637296235477462,2.0,1.3595990811948298,1.3595990811948298,0.2389896830229361,0.6474046428310345,-0.5088934696243541,,,,,,,,,,,,,,,,
,,,,4C_candidate_3_accuracy_ordering_context,matched_static_response,empirical,empirical,1.0,ou,ou,1.0,leave_one_out,1.0,64.0,1.0,0.328125,0.796875,0.84375,0.84375,0.46875,0.671875,0.046875,0.046875,1.0,2.0,1.0,1.0,1.0,0.3996957317993423,3.0,1.2466566929586236,1.2466566929586236,0.2216428855957701,0.6474046428310345,-0.5088934696243541,,,,,,,,,,,,,,,,
,,,,4C_candidate_4_scale_gap_guardrail,hard_negative_structure,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578125,0.78125,0.84375,0.203125,0.265625,,,,,,,,,,,
,,,,4C_candidate_4_scale_gap_guardrail,hard_negative_structure,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3125,0.734375,0.875,0.421875,0.5625,,,,,,,,,,,
,,,,4C_candidate_4_scale_gap_guardrail,matched_static_response,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578125,0.75,0.828125,0.171875,0.25,,,,,,,,,,,
,,,,4C_candidate_4_scale_gap_guardrail,matched_static_response,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328125,0.671875,0.796875,0.34375,0.46875,,,,,,,,,,,
,,,,4C_candidate_5_joint_feature_posterior_recovery,hard_negative_structure,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8720269234456437,0.8501528649747014,0.7593538449888064,0.8720269234456437,0.9273524336780122,0.7653532618366901,0.5x,pyramid_local_field,8.0,10.0,4C_option_6_feature_space_compact_removed
,,,,4C_candidate_5_joint_feature_posterior_recovery,hard_negative_structure,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8720975415363592,0.8384044614161871,0.6353366434943003,0.8720975415363592,0.9358022795936284,0.6678302207837141,1x,pyramid_local_field,8.0,10.0,4C_option_6_feature_space_compact_removed
,,,,4C_candidate_5_joint_feature_posterior_recovery,hard_negative_structure,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8714039717743298,0.8264574820475687,0.5369070707911479,0.8714039717743298,0.9487607040649944,0.57616182752228,2x,pyramid_local_field,8.0,10.0,4C_option_6_feature_space_compact_removed
