observation_scale,zero_mean_cosine,compact_mean_cosine,compact_min_cosine,compact_max_cosine,known_mean_cosine,scale_label,option,candidate_set_mode,observation_condition,observation_family,prior_condition,prior_family,prior_scale,axis_catalog_mode,axis_shared_source_catalog,trajectory_prior_mode,likelihood_scale,latent,requested_k,k_eff,n_trial_mode_rows,n_trials,known_mean_neg_mse,known_median_neg_mse,known_mean_true_mass,known_median_candidate_N_eff_fraction,zero_mean_neg_mse,zero_median_neg_mse,zero_mean_true_mass,zero_median_candidate_N_eff_fraction,joint_mean_neg_mse,joint_median_neg_mse,joint_mean_cosine,joint_mean_true_mass,joint_median_candidate_N_eff_fraction,best_single_tau_mean_neg_mse,best_single_tau_median_neg_mse,best_single_tau_mean_cosine,best_single_tau_mean_true_mass,best_single_tau_median_candidate_N_eff_fraction,motion_delta_mean_neg_mse,motion_delta_median_neg_mse,motion_delta_mean_cosine,motion_delta_mean_true_mass,motion_delta_median_candidate_N_eff_fraction,joint_minus_zero_feature_gain,known_minus_joint_pose_cost,motion_delta_minus_zero_feature_gain,joint_minus_zero_feature_gain_n,joint_minus_zero_feature_gain_ci_low,joint_minus_zero_feature_gain_ci_high,joint_minus_zero_feature_gain_permutation_p_two_sided,joint_minus_zero_feature_gain_bootstrap_n,joint_minus_zero_feature_gain_permutation_n,joint_minus_zero_feature_gain_fraction_positive,joint_minus_zero_feature_gain_fraction_negative,joint_minus_zero_feature_gain_fraction_zero,motion_delta_minus_zero_feature_gain_n,motion_delta_minus_zero_feature_gain_ci_low,motion_delta_minus_zero_feature_gain_ci_high,motion_delta_minus_zero_feature_gain_permutation_p_two_sided,motion_delta_minus_zero_feature_gain_bootstrap_n,motion_delta_minus_zero_feature_gain_permutation_n,motion_delta_minus_zero_feature_gain_fraction_positive,motion_delta_minus_zero_feature_gain_fraction_negative,motion_delta_minus_zero_feature_gain_fraction_zero,compact_source_label,observer,feature_recovery,delta_from_0p5x,compact_source_a_mean_cosine,response_variant,display_label,mean_feature_cosine,mean_feature_neg_mse,mean_candidate_true_mass,median_candidate_N_eff_fraction,median_clipped_rate_fraction,n_rows
0.5,0.7653532618366901,0.8720269234456437,0.86679930050566,0.8772545463856274,0.9273524336780122,0.5x,4C_option_1_zeroed_vs_compact_subspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.6678302207837141,0.8720975415363592,0.866857962458057,0.8773371206146615,0.9358022795936284,1x,4C_option_1_zeroed_vs_compact_subspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.5761618275222798,0.8714039717743298,0.8710556743194965,0.871752269229163,0.9487607040649944,2x,4C_option_1_zeroed_vs_compact_subspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.7653532618366901,,,,0.9273524336780122,0.5x,4C_option_2_compact_sources_explicit,hard_negative_structure,empirical,empirical,axis_edge_orthogonal,axis_edge_orthogonal,0.5,per_candidate,True,leave_one_out,1.0,pyramid_local_field,8.0,8.0,640.0,128.0,-11.428614280641735,-6.912193282756084,0.543264575183102,0.6672643718483452,-38.760875219670034,-10.679888606963509,0.3966852366862985,0.6721519742822251,-19.29099165755396,-10.48972897258317,0.86679930050566,0.4627782634181706,0.7744232297159852,-19.570637417235,-10.470671515768384,0.8623054959040521,0.4598054386004357,0.7867798598507646,-63.24838110010173,-28.55863203468576,0.6197921914830142,0.2346917919543388,0.7489998550532211,19.469883562116078,7.862377376912224,-24.48750588043169,128.0,11.360593507711002,28.571627399550355,9.999000099990002e-05,10000.0,10000.0,0.609375,0.390625,0.0,128.0,-41.21205394290672,-7.204980306821627,0.0044995500449955,10000.0,10000.0,0.3046875,0.6953125,0.0,compact source B,,,,,,,,,,,,
0.5,0.7653532618366901,,,,0.9273524336780122,0.5x,4C_option_2_compact_sources_explicit,hard_negative_structure,empirical,empirical,axis_edge_parallel,axis_edge_parallel,0.5,per_candidate,True,leave_one_out,1.0,pyramid_local_field,8.0,8.0,640.0,128.0,-11.428614280641735,-6.912193282756084,0.543264575183102,0.6672643718483452,-38.760875219670034,-10.679888606963509,0.3966852366862985,0.6721519742822251,-17.547097757359445,-11.148453317431215,0.8772545463856274,0.461740350780727,0.7881356639649317,-17.11848199734715,-11.224885152312144,0.8781279909236439,0.462559709966617,0.810369888137594,-63.89060855624011,-32.14057905469436,0.6039380963000158,0.2296827850823796,0.7673494368214212,21.21377746231059,6.11848347671771,-25.12973333657008,128.0,12.294857856335144,31.73904417080418,9.999000099990002e-05,10000.0,10000.0,0.6015625,0.3984375,0.0,128.0,-42.57866435770093,-7.093944303114507,0.0054994500549945,10000.0,10000.0,0.3125,0.6875,0.0,compact source A,,,,,,,,,,,,
1.0,0.6678302207837141,,,,0.9358022795936284,1x,4C_option_2_compact_sources_explicit,hard_negative_structure,empirical,empirical,axis_edge_orthogonal,axis_edge_orthogonal,1.0,per_candidate,True,leave_one_out,1.0,pyramid_local_field,8.0,8.0,640.0,128.0,-10.01284263750659,-5.478244213135838,0.5692372776557224,0.6135551383662913,-57.440836939001,-20.79782089620868,0.339619176134087,0.5060949767191283,-20.461756044049476,-10.029847084857352,0.866857962458057,0.468593438141454,0.7695697816453407,-19.64851763654311,-9.88362722894982,0.8688542224978,0.4652942310605434,0.7458437299630627,-70.53888295069706,-27.23960406146284,0.607513480613455,0.2560833260589298,0.5015215785463965,36.97908089495153,10.448913406542882,-13.098046011696056,128.0,25.41042947470487,49.70632248368855,9.999000099990002e-05,10000.0,10000.0,0.6640625,0.3359375,0.0,128.0,-36.512244290802165,10.097136107780448,0.2694730526947305,10000.0,10000.0,0.3984375,0.6015625,0.0,compact source B,,,,,,,,,,,,
1.0,0.6678302207837141,,,,0.9358022795936284,1x,4C_option_2_compact_sources_explicit,hard_negative_structure,empirical,empirical,axis_edge_parallel,axis_edge_parallel,1.0,per_candidate,True,leave_one_out,1.0,pyramid_local_field,8.0,8.0,640.0,128.0,-10.01284263750659,-5.478244213135838,0.5692372776557224,0.6135551383662913,-57.440836939001,-20.79782089620868,0.339619176134087,0.5060949767191283,-18.11737264437693,-9.894513344018709,0.8773371206146615,0.463646178454933,0.7563712381478912,-17.390580745488133,-9.953900226966596,0.879835084108575,0.4631785808255738,0.7871746460613109,-71.36764376202552,-31.545893356254982,0.5829076643002394,0.2454076387561431,0.49926231245655,39.32346429462408,8.104530006870338,-13.92680682302452,128.0,26.43470296973083,53.46667267534296,9.999000099990002e-05,10000.0,10000.0,0.6484375,0.3515625,0.0,128.0,-37.40760341530666,8.945910851837867,0.2536746325367463,10000.0,10000.0,0.4375,0.5625,0.0,compact source A,,,,,,,,,,,,
2.0,0.5761618275222798,,,,0.9487607040649944,2x,4C_option_2_compact_sources_explicit,hard_negative_structure,empirical,empirical,axis_edge_orthogonal,axis_edge_orthogonal,2.0,per_candidate,True,leave_one_out,1.0,pyramid_local_field,8.0,8.0,640.0,128.0,-7.745278252092201,-3.9426657279521535,0.6095136430748158,0.5675954744195006,-80.8908981882172,-29.10364042349581,0.3077236903407622,0.3730639843575754,-18.027683090255145,-8.599207563081034,0.871752269229163,0.482243284114081,0.7668488246287056,-18.96873277576215,-9.117835794863185,0.8654084086977687,0.4747379973529623,0.7550842879226156,-74.12345203402688,-30.2502982676545,0.5909034266408355,0.2649712459449669,0.354944284527146,62.86321509796205,10.282404838162943,6.76744615419031,128.0,44.42556991974119,82.59487112956454,9.999000099990002e-05,10000.0,10000.0,0.6953125,0.3046875,0.0,128.0,-22.805390790389747,36.206926746634736,0.6624337566243376,10000.0,10000.0,0.4609375,0.5390625,0.0,compact source B,,,,,,,,,,,,
2.0,0.5761618275222798,,,,0.9487607040649944,2x,4C_option_2_compact_sources_explicit,hard_negative_structure,empirical,empirical,axis_edge_parallel,axis_edge_parallel,2.0,per_candidate,True,leave_one_out,1.0,pyramid_local_field,8.0,8.0,640.0,128.0,-7.745278252092201,-3.9426657279521535,0.6095136430748158,0.5675954744195006,-80.8908981882172,-29.10364042349581,0.3077236903407622,0.3730639843575754,-21.41808688799263,-8.89490940096658,0.8710556743194965,0.4596746462694477,0.7087461067694628,-21.12236798403012,-9.326032138333504,0.868403528896845,0.4538774134593938,0.7424555871739827,-75.17855064967466,-37.410954420804416,0.5700955247590562,0.2545367712059726,0.3987038486136922,59.47281130022456,13.672808635900427,5.712347538542531,128.0,41.68596684311781,78.65106361349514,9.999000099990002e-05,10000.0,10000.0,0.6640625,0.3359375,0.0,128.0,-23.481400319174963,35.620869303988435,0.7028297170282972,10000.0,10000.0,0.46875,0.53125,0.0,compact source A,,,,,,,,,,,,
0.5,,,,,,,4C_option_3_observer_scale_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zero eye,0.7653532618366901,,,,,,,,,,
1.0,,,,,,,4C_option_3_observer_scale_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zero eye,0.6678302207837141,,,,,,,,,,
2.0,,,,,,,4C_option_3_observer_scale_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zero eye,0.5761618275222798,,,,,,,,,,
0.5,,,,,,,4C_option_3_observer_scale_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compact source A,0.8772545463856274,,,,,,,,,,
1.0,,,,,,,4C_option_3_observer_scale_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compact source A,0.8773371206146615,,,,,,,,,,
2.0,,,,,,,4C_option_3_observer_scale_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compact source A,0.8710556743194965,,,,,,,,,,
0.5,,,,,,,4C_option_3_observer_scale_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compact source B,0.86679930050566,,,,,,,,,,
1.0,,,,,,,4C_option_3_observer_scale_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compact source B,0.866857962458057,,,,,,,,,,
2.0,,,,,,,4C_option_3_observer_scale_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compact source B,0.871752269229163,,,,,,,,,,
0.5,,,,,,,4C_option_3_observer_scale_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,known eye,0.9273524336780122,,,,,,,,,,
1.0,,,,,,,4C_option_3_observer_scale_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,known eye,0.9358022795936284,,,,,,,,,,
2.0,,,,,,,4C_option_3_observer_scale_heatmap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,known eye,0.9487607040649944,,,,,,,,,,
0.5,,,,,,,4C_option_4_scale_robustness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zero eye,,0.0,,,,,,,,,
1.0,,,,,,,4C_option_4_scale_robustness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zero eye,,-0.09752304105297593,,,,,,,,,
2.0,,,,,,,4C_option_4_scale_robustness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zero eye,,-0.1891914343144102,,,,,,,,,
0.5,,,,,,,4C_option_4_scale_robustness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compact source A,,0.0,,,,,,,,,
1.0,,,,,,,4C_option_4_scale_robustness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compact source A,,8.257422903412692e-05,,,,,,,,,
2.0,,,,,,,4C_option_4_scale_robustness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compact source A,,-0.0061988720661309005,,,,,,,,,
0.5,,,,,,,4C_option_4_scale_robustness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compact source B,,0.0,,,,,,,,,
1.0,,,,,,,4C_option_4_scale_robustness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compact source B,,5.866195239701e-05,,,,,,,,,
2.0,,,,,,,4C_option_4_scale_robustness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compact source B,,0.004952968723503037,,,,,,,,,
