logmar,condition,normalization,pair,pair_label,mimicry_sym_mean,mimicry_sym_max,mimicry_sym_min,mimicry_ab,mimicry_ba
-0.4,real,raw,0-90,0↔90,0.48597387557106275,0.4967027301494759,0.47524502099264954,0.4967027301494759,0.47524502099264954
-0.4,real,raw,0-180,0↔180,0.5026202692551995,0.5035434236445036,0.5016971148658956,0.5016971148658956,0.5035434236445036
-0.4,real,raw,0-270,0↔270,0.5379547574681318,0.5543150508698484,0.5215944640664153,0.5543150508698484,0.5215944640664153
-0.4,real,raw,90-180,90↔180,0.3853460738552965,0.4065832855871728,0.36410886212342025,0.36410886212342025,0.4065832855871728
-0.4,real,raw,90-270,90↔270,0.052052180958351096,0.0895827251026842,0.014521636814018002,0.014521636814018002,0.0895827251026842
-0.4,real,raw,180-270,180↔270,0.4251045457686017,0.4421496130832294,0.40805947845397395,0.4421496130832294,0.40805947845397395
-0.4,real,zscore,0-90,0↔90,0.5036143243727195,0.5092465459039539,0.497982102841485,0.5092465459039539,0.497982102841485
-0.4,real,zscore,0-180,0↔180,0.5900466277237875,0.5941882468531575,0.5859050085944175,0.5859050085944175,0.5941882468531575
-0.4,real,zscore,0-270,0↔270,0.508750689710402,0.5269860999672473,0.49051527945355683,0.5269860999672473,0.49051527945355683
-0.4,real,zscore,90-180,90↔180,0.4047807078444058,0.4608461645292233,0.34871525115958824,0.34871525115958824,0.4608461645292233
-0.4,real,zscore,90-270,90↔270,0.004869760726309105,0.007210228499988706,0.0025292929526295033,0.007210228499988706,0.0025292929526295033
-0.4,real,zscore,180-270,180↔270,0.3942212635111487,0.45027693846467254,0.33816558855762496,0.45027693846467254,0.33816558855762496
-0.4,stabilized,raw,0-90,0↔90,0.6006335643224787,0.6199237551919935,0.5813433734529639,0.6199237551919935,0.5813433734529639
-0.4,stabilized,raw,0-180,0↔180,0.6412725310431182,0.6762241284304906,0.6063209336557459,0.6063209336557459,0.6762241284304906
-0.4,stabilized,raw,0-270,0↔270,0.6497140018604377,0.6825043735272213,0.6169236301936543,0.6825043735272213,0.6169236301936543
-0.4,stabilized,raw,90-180,90↔180,0.4650180429522002,0.5117047447068509,0.4183313411975495,0.4183313411975495,0.5117047447068509
-0.4,stabilized,raw,90-270,90↔270,0.04141956163894807,0.06055575992250727,0.022283363355388858,0.022283363355388858,0.06055575992250727
-0.4,stabilized,raw,180-270,180↔270,0.503505191975193,0.539895988822961,0.46711439512742486,0.539895988822961,0.46711439512742486
