centering_mode,delta_over_ceiling_2d,matched_over_ceiling_2d,model_object,session,transform_mode
baseline,0.22057489769734834,0.9931259533746415,B_model,Allen_2022-02-16,x_negy
current,0.2277536762805308,1.0162736505114431,B_model,Allen_2022-02-16,x_negy
baseline,0.12358722587417416,0.8148771077814219,B_model,Allen_2022-02-16,xy
current,0.1375537004295457,0.8695389613134024,B_model,Allen_2022-02-16,xy
baseline,0.1165943238985667,0.948871237033901,FEM_PCs,Allen_2022-02-16,x_negy
current,0.1326667818687566,0.9714671935881197,FEM_PCs,Allen_2022-02-16,x_negy
baseline,0.15319510223648475,0.9535596443658974,FEM_PCs,Allen_2022-02-16,xy
current,0.1609856163476208,0.9748244354645789,FEM_PCs,Allen_2022-02-16,xy
baseline,-0.17770223465514257,0.2881541678829134,J_local,Allen_2022-02-16,x_negy
current,-0.20290402373403083,0.2745947673556133,J_local,Allen_2022-02-16,x_negy
baseline,-0.17770223465514257,0.2881541678829134,J_local,Allen_2022-02-16,xy
current,-0.20290402373403083,0.2745947673556133,J_local,Allen_2022-02-16,xy
