b_emp_model_x_corr,b_emp_model_y_corr,centering_mode,delta_2d,delta_2d_ci_high,delta_2d_ci_low,delta_over_ceiling_2d,delta_top1,delta_top1_ci_high,delta_top1_ci_low,emp_ceiling_2d,emp_ceiling_top1,matched_2d,matched_over_ceiling_2d,matched_top1,median_samples_per_window,mixture_mode,model_object,n_windows,notes,predictor_mode,session,shuffled_2d,shuffled_top1,transform_mode,window_level
-0.20089667405469702,-0.27080657350649906,baseline,0.023824053014028762,0.14430595750036512,-0.028024468721058488,0.31731887330110264,0.0342168700276076,0.2211288661240707,-0.0260568995125958,0.23866877813992998,0.2384871669538565,0.19144207286222947,1.0390704353626892,0.1544094964696246,213.0,single_baseline,B_model,16,empirical_target=local_regenerated_split_bundles;window_level=image_id,emp_xy,Allen_2022-02-16,0.17549836447725348,0.19084610897864943,x_negy,image_id
-0.25414582363603877,-0.24661843966756364,current,0.05659109494309328,0.1387978137983068,-0.01567205438018332,0.3301907249578772,0.0193894531985676,0.19650061730629104,-0.04223329207709492,0.24835237016387918,0.26233533798030084,0.19378443882826432,1.0138602098696818,0.1447672731470484,213.0,single_baseline,B_model,16,empirical_target=local_regenerated_split_bundles;window_level=image_id,emp_xy,Allen_2022-02-16,0.16644163529404424,0.19317679523299797,x_negy,image_id
-0.23656533762643878,0.3865581985847053,baseline,0.04634176491518797,0.09318193100255795,-0.004299325893380168,0.23842465621206788,0.009332022759558162,0.2062066519127984,-0.040196493557734775,0.23866877813992998,0.2384871669538565,0.2138880528562478,1.0206834548606492,0.1441796974109976,213.0,single_baseline,B_model,16,empirical_target=local_regenerated_split_bundles;window_level=image_id,emp_xy,Allen_2022-02-16,0.15307487770978176,0.1311708968022235,xy,image_id
-0.2322823983673909,0.4385610019478262,current,0.06343055362044381,0.09033781042820332,-0.006389817804623721,0.20719989856937795,0.006949477621416539,0.20881564813325332,-0.06494511465306296,0.24835237016387918,0.26233533798030084,0.2350579654550654,0.9756085743134366,0.18328947231882736,213.0,single_baseline,B_model,16,empirical_target=local_regenerated_split_bundles;window_level=image_id,emp_xy,Allen_2022-02-16,0.1629923399927275,0.15552706628432733,xy,image_id
nan,nan,baseline,0.042309624007570976,0.04387066465767436,0.015341211861947215,0.11344264416977201,0.012910480533876317,0.10640727470080323,-0.12106347672007385,0.23866877813992998,0.2384871669538565,0.2471538134496892,1.1932920362031951,0.07857796153630435,213.0,single_baseline,FEM_PCs,16,empirical_target=local_regenerated_split_bundles;window_level=image_id,emp_xy,Allen_2022-02-16,0.2702801524316639,0.1041834967411767,x_negy,image_id
nan,nan,current,0.01407171554516859,0.05077660571902226,-0.0012958408603993554,0.0527815966380985,-4.485892454504821e-05,0.06662865697478026,-0.11807625702555422,0.24835237016387918,0.26233533798030084,0.2561450696996904,1.1096633113516035,0.07973547017967672,213.0,single_baseline,FEM_PCs,16,empirical_target=local_regenerated_split_bundles;window_level=image_id,emp_xy,Allen_2022-02-16,0.26844404225265195,0.17058018901956284,x_negy,image_id
nan,nan,baseline,0.03641400054721636,0.05471617924712496,0.015395774805354007,0.1796803416670272,0.022999828564800956,0.08619528566599266,-0.026560805570365484,0.23866877813992998,0.2384871669538565,0.2719705701609666,1.2249293423275558,0.07323782732963238,213.0,single_baseline,FEM_PCs,16,empirical_target=local_regenerated_split_bundles;window_level=image_id,emp_xy,Allen_2022-02-16,0.26126639697565085,0.0953117358201798,xy,image_id
nan,nan,current,0.03199917894107668,0.0590039059777408,0.007185661445652025,0.12235591604088741,0.020952529569595722,0.13645931302768055,-0.05415714161551567,0.24835237016387918,0.26233533798030084,0.26632254499805946,1.1886332265373478,0.07900605580640856,213.0,single_baseline,FEM_PCs,16,empirical_target=local_regenerated_split_bundles;window_level=image_id,emp_xy,Allen_2022-02-16,0.2571937504420217,0.11140853179625565,xy,image_id
nan,nan,baseline,0.0066362403969610975,0.058739672042297825,-0.07592057359172878,-0.09084020927951308,0.005603933462465247,0.06748750661422742,-0.04510726694319737,0.23866877813992998,0.2384871669538565,0.10442209748111667,0.5548180555948563,0.09408934114380607,213.0,single_baseline,J_local,16,empirical_target=local_regenerated_split_bundles;window_level=image_id,emp_xy,Allen_2022-02-16,0.103031460879946,0.10933261386157812,x_negy,image_id
nan,nan,current,0.01075987313859796,0.07163367169897283,-0.06065069002880506,0.0325308817453394,0.010728576608883357,0.06529657987525322,-0.03955095031580236,0.24835237016387918,0.26233533798030084,0.10533954544967708,0.5614036236968117,0.10284342198277671,213.0,single_baseline,J_local,16,empirical_target=local_regenerated_split_bundles;window_level=image_id,emp_xy,Allen_2022-02-16,0.10668066235409554,0.11019790467956103,x_negy,image_id
