centering_mode,delta_over_ceiling_2d,matched_over_ceiling_2d,model_object,session,transform_mode,window_level
baseline,0.31731887330110264,1.0390704353626892,B_model,Allen_2022-02-16,x_negy,image_id
current,0.3301907249578772,1.0138602098696818,B_model,Allen_2022-02-16,x_negy,image_id
baseline,0.23842465621206788,1.0206834548606492,B_model,Allen_2022-02-16,xy,image_id
current,0.20719989856937795,0.9756085743134366,B_model,Allen_2022-02-16,xy,image_id
baseline,0.11344264416977201,1.1932920362031951,FEM_PCs,Allen_2022-02-16,x_negy,image_id
current,0.0527815966380985,1.1096633113516035,FEM_PCs,Allen_2022-02-16,x_negy,image_id
baseline,0.1796803416670272,1.2249293423275558,FEM_PCs,Allen_2022-02-16,xy,image_id
current,0.12235591604088741,1.1886332265373478,FEM_PCs,Allen_2022-02-16,xy,image_id
baseline,-0.09084020927951308,0.5548180555948563,J_local,Allen_2022-02-16,x_negy,image_id
current,0.0325308817453394,0.5614036236968117,J_local,Allen_2022-02-16,x_negy,image_id
baseline,-0.09084020927951308,0.5548180555948563,J_local,Allen_2022-02-16,xy,image_id
current,0.0325308817453394,0.5614036236968117,J_local,Allen_2022-02-16,xy,image_id
baseline,0.0885783463857807,1.0611793895241952,B_model,Allen_2022-02-16,x_negy,prev_next
current,0.1895295045186613,1.0938001985183954,B_model,Allen_2022-02-16,x_negy,prev_next
baseline,0.15897799986390196,1.003711807687685,B_model,Allen_2022-02-16,xy,prev_next
current,0.17431193200111395,1.0402943061723904,B_model,Allen_2022-02-16,xy,prev_next
baseline,0.05599155035211729,1.203755926233928,FEM_PCs,Allen_2022-02-16,x_negy,prev_next
current,0.1015687760758607,1.194988749175569,FEM_PCs,Allen_2022-02-16,x_negy,prev_next
baseline,0.10934891464639376,1.2148561773525017,FEM_PCs,Allen_2022-02-16,xy,prev_next
current,0.09700730195072156,1.1921276422177307,FEM_PCs,Allen_2022-02-16,xy,prev_next
baseline,0.04044893321343347,0.6605593660097078,J_local,Allen_2022-02-16,x_negy,prev_next
current,0.06575654600480287,0.6516016931303499,J_local,Allen_2022-02-16,x_negy,prev_next
baseline,0.04044893321343347,0.6605593660097078,J_local,Allen_2022-02-16,xy,prev_next
current,0.06575654600480287,0.6516016931303499,J_local,Allen_2022-02-16,xy,prev_next
